date,open,high,low,close,volume
2019-09-27 04:00:00,4.7,4.84,4.6,4.625,10610041
2019-09-30 04:00:00,4.58,4.6,4.33,4.39,18193032
2019-10-01 04:00:00,4.33,4.39,4.05,4.11,23370906
2019-10-02 04:00:00,4.05,4.33,3.8,4.1525,26707045
2019-10-03 04:00:00,4.23,4.52,4.07,4.51,19578113
2019-10-04 04:00:00,4.62,4.64,4.36,4.4,13767207
2019-10-07 04:00:00,4.36,4.3719,4.11,4.11,14268204
2019-10-08 04:00:00,4.08,4.25,3.95,4.16,14280166
2019-10-09 04:00:00,4.17,4.28,4.085,4.115,12407345
2019-10-10 04:00:00,4.03,4.0585,3.72,3.73,28167987
2019-10-11 04:00:00,3.74,3.87,3.64,3.68,19617578
2019-10-14 04:00:00,3.6401,3.68,3.4,3.51,17367031
2019-10-15 04:00:00,3.63,3.85,3.52,3.76,26055716
2019-10-16 04:00:00,3.8,3.81,3.59,3.6,14946553
2019-10-17 04:00:00,3.81,3.91,3.7,3.88,20291582
2019-10-18 04:00:00,3.89,3.91,3.66,3.68,15159470
2019-10-21 04:00:00,3.7,3.74,3.51,3.69,14229052
2019-10-22 04:00:00,3.61,3.66,3.55,3.59,11502659
2019-10-23 04:00:00,3.55,3.73,3.5,3.68,12733346
2019-10-24 04:00:00,3.68,3.74,3.6,3.71,8992947
2019-10-25 04:00:00,3.7,3.83,3.64,3.79,12818244
2019-10-28 04:00:00,3.85,3.94,3.68,3.69,12909964
2019-10-29 04:00:00,3.67,3.67,3.58,3.6,9449064
2019-10-30 04:00:00,3.6,3.69,3.58,3.6175,6152789
2019-10-31 04:00:00,3.54,3.65,3.54,3.6,4924215
2019-11-01 04:00:00,3.58,3.64,3.55,3.57,5633368
2019-11-04 05:00:00,3.61,3.6655,3.58,3.595,8004238
2019-11-05 05:00:00,3.6,3.84,3.59,3.76,13328736
2019-11-06 05:00:00,3.8,3.92,3.72,3.72,12434811
2019-11-07 05:00:00,3.79,3.82,3.58,3.5899,11908993
2019-11-08 05:00:00,3.62,3.82,3.56,3.8,18296991
2019-11-11 05:00:00,3.75,3.79,3.6,3.62,12333203
2019-11-12 05:00:00,3.6,3.7,3.55,3.5675,12960693
2019-11-13 05:00:00,3.57,3.58,3.5,3.54,14135019
2019-11-14 05:00:00,3.42,3.43,3.11,3.2897,27515218
2019-11-15 05:00:00,2.76,3.17,2.7,2.72,54935351
2019-11-18 05:00:00,2.72,2.76,2.26,2.2721,63571001
2019-11-19 05:00:00,2.18,2.45,2.14,2.33,54783425
2019-11-20 05:00:00,2.41,2.73,2.36,2.64,76124690
2019-11-21 05:00:00,2.79,3.25,2.7,3.1158,102238613
2019-11-22 05:00:00,3.08,3.1,2.69,2.7,59655484
2019-11-25 05:00:00,2.69,2.82,2.5,2.515,34840422
2019-11-26 05:00:00,2.45,2.57,2.36,2.39,39190741
2019-11-27 05:00:00,2.47,2.54,2.43,2.515,34093879
2019-11-29 05:00:00,2.61,2.62,2.45,2.495,11891262
2019-12-02 05:00:00,2.52,2.55,2.41,2.44,17161108
2019-12-03 05:00:00,2.4,2.55,2.38,2.4682,24425394
2019-12-04 05:00:00,2.49,2.5,2.42,2.48,20531378
2019-12-05 05:00:00,2.49,2.52,2.42,2.44,18763845
2019-12-06 05:00:00,2.43,2.45,2.42,2.43,13182957
2019-12-09 05:00:00,2.43,2.63,2.4,2.615,36439173
2019-12-10 05:00:00,2.59,2.64,2.5,2.53,17452458
2019-12-11 05:00:00,2.52,2.6,2.44,2.46,23070249
2019-12-12 05:00:00,2.47,2.61,2.45,2.605,26397936
2019-12-13 05:00:00,2.63,2.74,2.59,2.62,23771016
2019-12-16 05:00:00,2.65,2.69,2.52,2.52,19109918
2019-12-17 05:00:00,2.49,2.5,2.3,2.34,42747700
2019-12-18 05:00:00,2.31,2.32,2.18,2.19,36914426
2019-12-19 05:00:00,2.19,2.35,2.15,2.2765,28830371
2019-12-20 05:00:00,2.26,2.3,2.22,2.24,15593353
2019-12-23 05:00:00,2.15,2.18,2.01,2.02,38784507
2019-12-24 05:00:00,2.02,2.03,1.9,1.98,26986514
2019-12-26 05:00:00,2.07,2.08,2.0,2.01,23845184
2019-12-27 05:00:00,1.97,1.98,1.91,1.915,24697143
2019-12-30 05:00:00,1.9,1.97,1.88,1.91,20866087
2019-12-31 05:00:00,1.9,2.18,1.88,2.15,47294440
2020-01-02 05:00:00,2.25,2.27,2.02,2.0299,30322534
2020-01-03 05:00:00,2.02,2.12,2.0,2.0004,17842073
2020-01-06 05:00:00,2.02,2.03,1.89,1.905,29799005
2020-01-07 05:00:00,1.9,1.93,1.83,1.8348,24015409
2020-01-08 05:00:00,1.78,1.84,1.71,1.745,38855704
2020-01-09 05:00:00,1.78,1.88,1.73,1.86,28263673
2020-01-10 05:00:00,1.73,1.74,1.65,1.6501,35158158
2020-01-13 05:00:00,1.57,1.72,1.5,1.695,46312756
2020-01-14 05:00:00,1.68,1.85,1.63,1.79,43131274
