date,open,high,low,close,volume
2019-09-27 04:00:00,10.87,11.05,10.675,10.78,880711
2019-09-30 04:00:00,10.82,10.97,10.65,10.71,1171933
2019-10-01 04:00:00,10.75,10.95,10.6,10.62,1222492
2019-10-02 04:00:00,10.54,10.55,9.9,10.22,2028205
2019-10-03 04:00:00,10.14,10.18,9.81,9.93,2523612
2019-10-04 04:00:00,9.95,10.04,9.65,9.81,2360102
2019-10-07 04:00:00,9.72,9.955,9.66,9.77,1403778
2019-10-08 04:00:00,9.7,9.915,9.43,9.83,2166444
2019-10-09 04:00:00,9.87,9.87,9.05,9.39,4386629
2019-10-10 04:00:00,9.36,9.42,9.12,9.16,1915256
2019-10-11 04:00:00,9.28,9.5,9.1892,9.22,2028785
2019-10-14 04:00:00,9.18,9.22,8.78,8.95,2554690
2019-10-15 04:00:00,9.05,9.4875,8.97,9.16,3919351
2019-10-16 04:00:00,9.22,9.55,9.22,9.34,2254954
2019-10-17 04:00:00,9.37,9.4,9.15,9.34,1596620
2019-10-18 04:00:00,9.32,9.45,9.2,9.37,1600371
2019-10-21 04:00:00,9.43,9.54,9.18,9.22,1708196
2019-10-22 04:00:00,9.21,9.91,9.19,9.76,2067899
2019-10-23 04:00:00,9.82,10.14,9.7247,9.86,2347881
2019-10-24 04:00:00,9.9,9.93,9.33,9.59,2364218
2019-10-25 04:00:00,9.58,9.81,9.38,9.73,1488066
2019-10-28 04:00:00,9.78,10.06,9.75,9.92,1051405
2019-10-29 04:00:00,9.9,9.96,9.74,9.81,1122180
2019-10-30 04:00:00,9.78,9.79,9.21,9.395,2672660
2019-10-31 04:00:00,9.295,9.4271,9.27,9.37,1363219
2019-11-01 04:00:00,9.45,9.835,9.33,9.62,1987174
2019-11-04 05:00:00,9.74,9.8,9.4859,9.75,1895788
2019-11-05 05:00:00,9.79,10.085,9.76,9.79,2141550
2019-11-06 05:00:00,9.79,9.86,9.56,9.7,1658529
2019-11-07 05:00:00,9.94,10.35,9.12,9.23,5271065
2019-11-08 05:00:00,9.37,9.73,9.245,9.61,2186837
2019-11-11 05:00:00,9.55,9.67,9.2699,9.54,1503311
2019-11-12 05:00:00,9.54,9.62,9.28,9.285,2106912
2019-11-13 05:00:00,9.25,9.28,8.5356,8.78,6313865
2019-11-14 05:00:00,8.77,9.01,8.67,8.89,3081592
2019-11-15 05:00:00,8.98,8.99,8.705,8.76,2983728
2019-11-18 05:00:00,8.76,8.79,8.22,8.47,6782583
2019-11-19 05:00:00,8.65,9.05,8.4,8.48,5769504
2019-11-20 05:00:00,8.49,8.49,8.11,8.14,3809831
2019-11-21 05:00:00,8.13,8.33,7.87,7.92,4215427
2019-11-22 05:00:00,7.96,8.06,7.47,7.95,5494294
2019-11-25 05:00:00,8.08,8.45,8.05,8.37,3431505
2019-11-26 05:00:00,8.4,8.4,7.9,7.9,4396512
2019-11-27 05:00:00,8.0,8.65,8.0,8.43,5558973
2019-11-29 05:00:00,8.26,8.3913,8.08,8.18,2145221
2019-12-02 05:00:00,8.24,8.71,8.22,8.67,3875277
2019-12-03 05:00:00,8.57,8.5827,8.21,8.27,3305962
2019-12-04 05:00:00,8.3,8.32,7.88,7.94,4020168
2019-12-05 05:00:00,7.95,8.02,7.77,7.86,2575990
2019-12-06 05:00:00,7.88,8.15,7.88,8.05,1500835
2019-12-09 05:00:00,8.03,8.27,7.84,8.23,1765601
2019-12-10 05:00:00,8.19,8.41,8.09,8.11,2175254
2019-12-11 05:00:00,8.06,8.18,8.01,8.16,1523165
2019-12-12 05:00:00,8.25,8.44,8.18,8.29,2131082
2019-12-13 05:00:00,8.3,8.41,8.19,8.23,1179991
2019-12-16 05:00:00,8.45,8.78,8.35,8.37,4431194
