date,open,high,low,close,volume
2019-09-27 04:00:00,5.61,5.68,5.43,5.46,2719756
2019-09-30 04:00:00,5.45,5.47,5.1,5.19,4116714
2019-10-01 04:00:00,5.2,5.34,4.92,5.07,4528682
2019-10-02 04:00:00,5.0,5.42,4.85,5.17,7777148
2019-10-03 04:00:00,5.2,5.37,5.07,5.365,6106170
2019-10-04 04:00:00,5.44,5.53,5.2901,5.36,2522945
2019-10-07 04:00:00,5.37,5.525,5.17,5.39,4465160
2019-10-08 04:00:00,5.25,5.365,5.08,5.31,4584894
2019-10-09 04:00:00,5.25,5.43,5.23,5.39,3285773
2019-10-10 04:00:00,5.22,5.25,4.44,4.63,11692512
2019-10-11 04:00:00,4.64,4.88,4.63,4.704,5586602
2019-10-14 04:00:00,4.73,4.75,4.23,4.3487,10419713
2019-10-15 04:00:00,5.24,5.54,5.12,5.42,16590728
2019-10-16 04:00:00,5.3,5.3,4.85,4.86,10769963
2019-10-17 04:00:00,4.99,5.06,4.87,4.91,3793371
2019-10-18 04:00:00,4.95,4.95,4.63,4.75,5144563
2019-10-21 04:00:00,4.66,4.9,4.52,4.82,4506101
2019-10-22 04:00:00,4.82,4.885,4.701,4.86,3258406
2019-10-23 04:00:00,4.79,5.08,4.68,5.07,4448249
2019-10-24 04:00:00,5.08,5.15,4.94,5.14,4321082
2019-10-25 04:00:00,5.1,5.62,5.06,5.59,8656962
2019-10-28 04:00:00,5.62,5.6996,5.26,5.275,4539419
2019-10-29 04:00:00,5.23,5.2399,5.02,5.035,3490953
2019-10-30 04:00:00,5.01,5.18,5.0,5.06,2408977
2019-10-31 04:00:00,4.9853,5.13,4.95,5.01,1770848
2019-11-01 04:00:00,4.98,5.2,4.9404,5.19,2533584
2019-11-04 05:00:00,5.38,5.41,5.105,5.13,4448842
2019-11-05 05:00:00,5.17,5.29,5.035,5.14,3662003
2019-11-06 05:00:00,5.14,5.21,4.93,4.955,5049606
2019-11-07 05:00:00,5.0,5.05,4.8,4.82,3317741
2019-11-08 05:00:00,4.8,5.1,4.73,5.07,6553075
2019-11-11 05:00:00,5.05,5.08,4.91,4.96,3173221
2019-11-12 05:00:00,4.94,4.98,4.7,4.74,3984280
2019-11-13 05:00:00,4.75,4.785,4.42,4.46,5301708
2019-11-14 05:00:00,4.26,4.45,4.08,4.41,5911660
2019-11-15 05:00:00,4.23,4.44,4.23,4.24,3337412
2019-11-18 05:00:00,4.2,4.26,3.79,3.81,9786540
2019-11-19 05:00:00,3.76,4.44,3.76,4.29,6657522
2019-11-20 05:00:00,4.37,4.661,4.36,4.51,7911998
2019-11-21 05:00:00,4.73,5.1849,4.62,4.955,10649699
2019-11-22 05:00:00,4.83,4.88,4.56,4.665,5080795
2019-11-25 05:00:00,4.75,4.89,4.5458,4.565,3787732
2019-11-26 05:00:00,4.5,4.66,4.38,4.55,3525040
2019-11-27 05:00:00,4.61,4.74,4.54,4.72,2713019
2019-11-29 05:00:00,4.77,4.8,4.63,4.74,1167822
2019-12-02 05:00:00,4.75,4.79,4.6,4.645,2360772
2019-12-03 05:00:00,4.6,4.77,4.52,4.74,2010351
2019-12-04 05:00:00,4.77,4.86,4.66,4.675,2702700
2019-12-05 05:00:00,4.78,4.78,4.63,4.685,1813423
2019-12-06 05:00:00,4.67,4.74,4.6356,4.7,1591900
2019-12-09 05:00:00,4.74,5.11,4.73,5.09,5507861
2019-12-10 05:00:00,5.02,5.09,4.87,4.955,4240387
2019-12-11 05:00:00,4.92,5.08,4.8399,4.9,2442607
2019-12-12 05:00:00,4.97,5.32,4.86,5.27,5544652
2019-12-13 05:00:00,5.4,5.55,5.28,5.51,8329576
2019-12-16 05:00:00,5.5,5.61,5.27,5.31,4507139
2019-12-17 05:00:00,5.27,5.33,5.09,5.13,3866421
2019-12-18 05:00:00,5.1,5.14,4.76,4.7814,6594918
2019-12-19 05:00:00,4.78,5.02,4.73,4.925,4939615
2019-12-20 05:00:00,4.91,5.04,4.84,4.985,3185409
2019-12-23 05:00:00,4.97,5.03,4.82,4.87,3602006
2019-12-24 05:00:00,4.84,5.0,4.79,4.98,2446864
2019-12-26 05:00:00,4.95,4.98,4.82,4.83,2316718
2019-12-27 05:00:00,4.85,4.95,4.78,4.89,3124385
2019-12-30 05:00:00,4.84,4.9038,4.7,4.73,4767501
2019-12-31 05:00:00,4.7,5.28,4.641,5.21,9226302
2020-01-02 05:00:00,5.32,5.36,4.95,5.015,8094684
2020-01-03 05:00:00,4.98,5.11,4.9,4.955,3784895
2020-01-06 05:00:00,4.94,5.02,4.71,4.805,6476435
2020-01-07 05:00:00,4.78,4.83,4.66,4.71,3668485
2020-01-08 05:00:00,4.67,4.91,4.52,4.74,6369987
2020-01-09 05:00:00,4.8,4.88,4.6897,4.835,4862886
2020-01-10 05:00:00,4.82,4.975,4.71,4.945,3983537
2020-01-13 05:00:00,4.98,5.49,4.81,5.42,9956833
2020-01-14 05:00:00,5.02,5.32,4.87,4.99,13731156
2020-01-15 05:00:00,5.1,5.48,5.06,5.24,9500266
2020-01-16 05:00:00,5.36,5.4601,5.09,5.2,7706352
2020-01-17 05:00:00,5.16,5.33,5.08,5.28,6264017
2020-01-21 05:00:00,5.48,5.63,5.3,5.32,16238974
2020-01-22 05:00:00,5.4,5.835,5.32,5.72,23209664
2020-01-23 05:00:00,5.74,5.98,5.54,5.76,16379352
2020-01-24 05:00:00,6.0,6.0,5.21,5.28,28881036
2020-01-27 05:00:00,5.17,5.17,4.85,4.8599,9110076
2020-01-28 05:00:00,4.96,5.05,4.81,4.99,6703472
2020-01-29 05:00:00,5.02,5.035,4.85,4.87,4423177
2020-01-30 05:00:00,4.85,4.91,4.74,4.81,5045880
2020-01-31 05:00:00,4.79,4.799,4.62,4.6666,5170802
2020-02-03 05:00:00,4.68,4.78,4.57,4.605,4128187
2020-02-04 05:00:00,4.67,4.81,4.6,4.745,5071405
