date,open,high,low,close,volume
2019-09-27 04:00:00,29.41,29.71,29.21,29.35,34760771
2019-09-30 04:00:00,29.49,29.52,29.075,29.17,31323014
2019-10-01 04:00:00,29.44,29.51,28.41,28.43,42562037
2019-10-02 04:00:00,28.2,28.3,27.81,27.85,42311383
2019-10-03 04:00:00,27.76,27.88,27.16,27.81,44216115
2019-10-04 04:00:00,27.85,28.395,27.84,28.35,35836597
2019-10-07 04:00:00,28.33,28.62,28.18,28.29,31077515
2019-10-08 04:00:00,27.87,27.915,27.46,27.62,50405842
2019-10-09 04:00:00,27.83,28.07,27.75,27.9,32103292
2019-10-10 04:00:00,28.04,28.75,28.04,28.45,42763872
2019-10-11 04:00:00,28.99,29.34,28.86,28.89,59727002
2019-10-14 04:00:00,28.8,29.16,28.7965,29.15,29377198
2019-10-15 04:00:00,29.34,30.24,29.11,29.74,67443871
2019-10-16 04:00:00,30.37,30.72,30.15,30.18,76052400
2019-10-17 04:00:00,30.3,30.54,30.0,30.27,50211989
2019-10-18 04:00:00,30.13,30.49,30.1,30.36,44846276
2019-10-21 04:00:00,30.67,31.15,30.63,31.02,54015763
2019-10-22 04:00:00,30.97,31.37,30.75,31.19,52738394
2019-10-23 04:00:00,31.13,31.44,31.09,31.425,41413779
2019-10-24 04:00:00,31.45,31.52,31.2,31.35,32655230
2019-10-25 04:00:00,31.36,31.85,31.34,31.69,36653332
2019-10-28 04:00:00,31.97,32.23,31.74,31.84,52070443
2019-10-29 04:00:00,31.94,32.14,31.81,32.06,42934719
2019-10-30 04:00:00,32.01,32.01,31.53,31.63,40562060
2019-10-31 04:00:00,30.925,31.28,30.92,31.28,26162501
2019-11-01 04:00:00,31.7,31.84,31.3738,31.805,35498020
2019-11-04 05:00:00,32.24,32.5,32.1,32.4,46415716
2019-11-05 05:00:00,32.51,33.09,32.5,32.815,54932744
2019-11-06 05:00:00,32.76,33.06,32.67,32.785,39288787
2019-11-07 05:00:00,33.11,33.6,33.01,33.21,56539879
2019-11-08 05:00:00,33.07,33.27,32.9342,33.255,34164148
2019-11-11 05:00:00,33.03,33.25,32.97,33.19,25078101
2019-11-12 05:00:00,33.13,33.32,32.99,33.1,32746090
2019-11-13 05:00:00,32.72,32.89,32.48,32.77,36053200
2019-11-14 05:00:00,32.69,32.86,32.49,32.74,30555474
2019-11-15 05:00:00,32.92,32.9597,32.7,32.92,30426697
2019-11-18 05:00:00,32.86,33.03,32.75,32.95,26568897
2019-11-19 05:00:00,33.12,33.15,32.82,32.93,27199232
2019-11-20 05:00:00,32.79,32.83,32.42,32.68,36201503
2019-11-21 05:00:00,32.78,33.04,32.63,32.84,35544837
2019-11-22 05:00:00,32.96,33.32,32.94,33.18,33300358
2019-11-25 05:00:00,33.33,33.51,33.255,33.46,38197744
2019-11-26 05:00:00,33.38,33.4,33.1248,33.34,34849064
2019-11-27 05:00:00,33.49,33.6,33.31,33.43,28193666
2019-11-29 05:00:00,33.37,33.52,33.24,33.34,15845781
2019-12-02 05:00:00,33.45,33.75,33.34,33.46,41594164
2019-12-03 05:00:00,32.87,32.9,32.55,32.85,48310073
2019-12-04 05:00:00,33.08,33.3,32.85,33.16,39561116
2019-12-05 05:00:00,33.16,33.22,33.0,33.1,32033353
2019-12-06 05:00:00,33.68,33.8,33.57,33.66,40276216
2019-12-09 05:00:00,33.5,33.7,33.435,33.515,26668882
2019-12-10 05:00:00,33.4,33.63,33.3,33.53,33750236
2019-12-11 05:00:00,33.48,33.76,33.48,33.63,34925829
2019-12-12 05:00:00,33.78,34.805,33.677,34.67,55301697
2019-12-13 05:00:00,34.69,34.96,34.345,34.44,40189996
2019-12-16 05:00:00,34.95,35.09,34.7,34.7,39413819
2019-12-17 05:00:00,34.85,35.27,34.74,35.03,37848535
2019-12-18 05:00:00,35.11,35.27,35.05,35.11,35908125
2019-12-19 05:00:00,35.14,35.23,34.89,34.945,31782217
2019-12-20 05:00:00,35.24,35.24,34.91,34.97,55586481
2019-12-23 05:00:00,35.04,35.19,34.95,35.17,30864917
2019-12-24 05:00:00,35.19,35.2799,35.12,35.23,12355584
2019-12-26 05:00:00,35.32,35.56,35.29,35.51,23467931
2019-12-27 05:00:00,35.7,35.72,35.26,35.35,22173168
2019-12-30 05:00:00,35.57,35.65,35.09,35.16,25229962
2019-12-31 05:00:00,35.03,35.26,34.97,35.2,23425646
2020-01-02 05:00:00,35.35,35.66,35.29,35.65,30804474
2020-01-03 05:00:00,34.98,35.15,34.76,34.9,40963905
2020-01-06 05:00:00,34.41,34.9,34.37,34.86,29681514
2020-01-07 05:00:00,34.7,34.92,34.53,34.62,27722247
2020-01-08 05:00:00,34.57,35.19,34.55,34.98,35529368
2020-01-09 05:00:00,35.3,35.33,34.94,35.04,32357376
2020-01-10 05:00:00,35.0,35.07,34.66,34.75,33493888
2020-01-13 05:00:00,34.84,35.07,34.66,35.04,30516120
2020-01-14 05:00:00,35.3,35.67,35.11,35.32,56071048
2020-01-15 05:00:00,34.765,34.79,34.34,34.68,62464386
