date,open,high,low,close,volume
2019-09-27 04:00:00,43.1,44.21,43.09,43.53,7023031
2019-09-30 04:00:00,43.81,44.12,43.515,43.72,4044617
2019-10-01 04:00:00,43.8,44.17,42.15,42.5,6260326
2019-10-02 04:00:00,42.15,42.16,41.43,41.44,5828795
2019-10-03 04:00:00,41.26,41.37,40.595,41.0,6447940
2019-10-04 04:00:00,41.05,41.325,40.825,41.14,4629856
2019-10-07 04:00:00,40.81,41.35,40.525,40.88,5059746
2019-10-08 04:00:00,40.4,40.4725,39.9201,40.11,3808054
2019-10-09 04:00:00,40.53,40.7868,40.33,40.54,3171032
2019-10-10 04:00:00,40.82,41.45,40.75,40.95,3704305
2019-10-11 04:00:00,41.93,42.32,41.53,41.55,5319682
2019-10-14 04:00:00,41.4428,42.24,41.34,42.04,3671625
2019-10-15 04:00:00,42.07,42.865,41.93,42.49,2891277
2019-10-16 04:00:00,42.65,42.89,42.18,42.38,2478944
2019-10-17 04:00:00,42.4,42.749,42.15,42.45,2840431
2019-10-18 04:00:00,42.35,42.97,42.31,42.79,4509353
2019-10-21 04:00:00,43.07,43.515,42.97,43.12,4231451
2019-10-22 04:00:00,43.14,43.24,42.53,42.55,3606959
2019-10-23 04:00:00,43.03,44.08,42.64,44.01,6272899
2019-10-24 04:00:00,44.05,44.09,43.19,43.9,3915734
2019-10-25 04:00:00,43.9,44.82,43.88,44.57,2416499
2019-10-28 04:00:00,44.59,44.86,44.13,44.18,2478062
2019-10-29 04:00:00,44.64,44.7,44.15,44.17,2992700
2019-10-30 04:00:00,44.49,44.49,42.96,43.21,3894892
2019-10-31 04:00:00,42.765,43.03,42.455,42.89,2827686
2019-11-01 04:00:00,43.23,43.32,42.87,42.95,3930313
2019-11-04 05:00:00,43.25,44.37,43.25,44.21,3687666
2019-11-05 05:00:00,44.36,45.32,44.31,44.87,3375127
2019-11-06 05:00:00,44.87,44.91,44.22,44.38,2661378
2019-11-07 05:00:00,44.89,45.34,44.67,45.06,3144555
2019-11-08 05:00:00,44.6,45.05,44.26,45.04,2351800
2019-11-11 05:00:00,44.64,45.0135,44.42,44.68,2090995
2019-11-12 05:00:00,44.96,45.04,44.25,44.49,1923550
2019-11-13 05:00:00,44.26,44.3754,43.87,44.06,2279015
2019-11-14 05:00:00,44.16,44.5,43.945,44.45,1677192
2019-11-15 05:00:00,44.85,45.08,44.557,44.845,1931400
2019-11-18 05:00:00,44.8,44.93,44.46,44.69,1646017
2019-11-19 05:00:00,44.96,45.05,44.48,44.5,2174874
2019-11-20 05:00:00,44.04,44.15,43.5114,43.67,2790267
2019-11-21 05:00:00,42.9,43.2775,42.47,43.02,3240221
2019-11-22 05:00:00,43.53,43.93,43.24,43.68,3722774
2019-11-25 05:00:00,43.88,44.6157,43.84,44.49,2643689
2019-11-26 05:00:00,44.71,44.75,44.14,44.68,2509386
2019-11-27 05:00:00,44.99,45.3,44.79,45.22,4380886
2019-11-29 05:00:00,45.22,45.36,45.01,45.09,1694162
2019-12-02 05:00:00,45.16,45.18,44.44,44.5,2988233
2019-12-03 05:00:00,43.85,43.85,43.27,43.55,2733295
2019-12-04 05:00:00,43.55,44.34,43.55,43.89,2311527
2019-12-05 05:00:00,44.4,44.5,43.87,44.2,2809585
2019-12-06 05:00:00,44.87,45.12,44.715,44.77,2948120
2019-12-09 05:00:00,45.07,45.52,44.95,45.41,2788754
2019-12-10 05:00:00,45.06,45.41,44.88,45.32,2981734
2019-12-11 05:00:00,45.46,45.91,45.38,45.79,2354498
2019-12-12 05:00:00,45.88,46.955,45.76,46.88,4693205
2019-12-13 05:00:00,47.16,47.995,47.11,47.46,6378002
2019-12-16 05:00:00,48.06,48.06,46.86,46.99,3494980
2019-12-17 05:00:00,46.76,47.31,46.54,47.19,2864247
2019-12-18 05:00:00,46.95,47.16,46.57,46.59,5640425
2019-12-19 05:00:00,46.69,47.03,46.57,46.64,3969308
2019-12-20 05:00:00,48.9,51.21,48.26,50.21,13716193
2019-12-23 05:00:00,50.32,51.27,50.15,51.27,4718130
2019-12-24 05:00:00,51.4,51.62,50.74,50.93,2005408
2019-12-26 05:00:00,51.0,51.445,50.76,51.34,2706885
2019-12-27 05:00:00,51.62,51.74,51.185,51.33,1848654
2019-12-30 05:00:00,51.64,51.69,50.94,51.03,2367361
2019-12-31 05:00:00,51.03,51.13,50.745,50.82,2551458
2020-01-02 05:00:00,51.35,51.67,50.725,51.31,3539494
2020-01-03 05:00:00,50.05,50.4,49.565,49.88,4283415
2020-01-06 05:00:00,49.35,49.4,48.27,48.38,5766971
2020-01-07 05:00:00,48.14,48.67,48.13,48.5,3567004
2020-01-08 05:00:00,48.5,49.025,48.43,48.77,4558462
2020-01-09 05:00:00,49.14,49.29,48.928,49.21,2232187
2020-01-10 05:00:00,49.26,49.5775,48.8034,48.85,2617989
2020-01-13 05:00:00,49.1,49.65,48.82,49.37,3197372
2020-01-14 05:00:00,49.43,50.28,49.36,50.22,3888928
2020-01-15 05:00:00,50.51,50.94,50.1,50.45,3225436
2020-01-16 05:00:00,50.59,51.36,50.455,51.35,3512738
2020-01-17 05:00:00,51.41,51.94,51.31,51.9,4571054
2020-01-21 05:00:00,51.38,51.38,50.3,50.68,20273236
2020-01-22 05:00:00,50.68,51.04,49.74,49.87,8657629
2020-01-23 05:00:00,49.03,49.61,48.13,49.44,10234006
2020-01-24 05:00:00,49.14,49.3,47.12,47.52,11928086
2020-01-27 05:00:00,45.4,46.14,44.73,45.275,7225376
2020-01-28 05:00:00,45.8,46.855,45.375,46.51,5619403
2020-01-29 05:00:00,46.36,46.97,46.27,46.505,2897290
2020-01-30 05:00:00,43.76,45.79,43.76,44.75,12727914
2020-01-31 05:00:00,44.99,45.16,43.21,43.47,6733721
2020-02-03 05:00:00,43.75,44.11,42.1,42.74,7459805
2020-02-04 05:00:00,44.22,44.41,43.38,43.56,5556551
2020-02-05 05:00:00,44.36,45.04,43.915,44.14,5983436
2020-02-06 05:00:00,44.63,44.82,43.74,43.78,3996829
2020-02-07 05:00:00,42.98,43.03,41.9801,42.2,10510765
2020-02-10 05:00:00,42.08,42.4014,41.665,41.79,4439005
