date,open,high,low,close,volume
2019-09-27 04:00:00,5.28,5.4959,5.2,5.27,842946
2019-09-30 04:00:00,5.21,5.4,5.2001,5.31,1375559
2019-10-01 04:00:00,5.3,5.34,4.88,5.01,3543326
2019-10-02 04:00:00,5.0,5.11,4.82,5.11,2693316
2019-10-03 04:00:00,5.07,5.1,4.78,4.85,3437859
2019-10-04 04:00:00,4.91,5.0,4.8,4.83,5695632
2019-10-07 04:00:00,4.83,4.955,4.62,4.66,5383688
2019-10-08 04:00:00,4.62,4.65,4.42,4.53,5194559
2019-10-09 04:00:00,4.6,4.7181,4.45,4.5,3130856
2019-10-10 04:00:00,4.5,4.62,4.41,4.55,3273897
2019-10-11 04:00:00,4.59,4.92,4.52,4.8319,3926751
2019-10-14 04:00:00,4.87,5.09,4.76,4.95,2687639
2019-10-15 04:00:00,5.01,5.34,5.0,5.265,3296218
2019-10-16 04:00:00,5.27,5.37,5.14,5.22,2619822
2019-10-17 04:00:00,5.21,5.35,5.1801,5.29,1460200
2019-10-18 04:00:00,5.28,5.31,5.06,5.245,1584022
2019-10-21 04:00:00,5.2738,5.52,5.2301,5.45,918761
2019-10-22 04:00:00,5.49,5.645,5.43,5.49,1388376
2019-10-23 04:00:00,5.49,5.54,5.35,5.5,988657
2019-10-24 04:00:00,5.59,5.59,5.37,5.43,827729
2019-10-25 04:00:00,5.4,5.66,5.39,5.5979,946748
2019-10-28 04:00:00,5.6,5.715,5.56,5.64,797820
2019-10-29 04:00:00,5.63,5.83,5.61,5.7,2024772
2019-10-30 04:00:00,4.75,5.13,4.61,4.96,3647452
2019-10-31 04:00:00,4.91,4.93,4.59,4.73,2749815
2019-11-01 04:00:00,4.76,4.99,4.65,4.8,2661581
2019-11-04 05:00:00,4.85,4.9,4.64,4.65,1640179
2019-11-05 05:00:00,4.68,4.76,4.58,4.64,1890084
2019-11-06 05:00:00,4.67,4.76,4.5722,4.67,2183917
2019-11-07 05:00:00,4.71,4.75,4.6,4.66,1482323
2019-11-08 05:00:00,4.7,5.07,4.62,5.065,1724067
2019-11-11 05:00:00,5.11,5.26,5.0,5.02,1655763
2019-11-12 05:00:00,5.09,5.1,4.79,4.92,2150903
2019-11-13 05:00:00,4.83,4.92,4.25,4.53,6342415
2019-11-14 05:00:00,4.48,4.82,4.43,4.69,3907516
2019-11-15 05:00:00,4.6,4.61,4.16,4.435,3901171
2019-11-18 05:00:00,4.43,4.6,4.3801,4.53,1802195
2019-11-19 05:00:00,4.59,4.6001,4.32,4.51,2054592
2019-11-20 05:00:00,4.46,4.74,4.4115,4.615,2190404
2019-11-21 05:00:00,4.62,4.725,4.29,4.34,2447449
2019-11-22 05:00:00,4.38,4.48,4.225,4.445,1812745
2019-11-25 05:00:00,4.49,4.5,4.28,4.47,2738410
2019-11-26 05:00:00,4.46,4.47,4.31,4.36,1650774
2019-11-27 05:00:00,4.38,4.826,4.2701,4.68,2692949
2019-11-29 05:00:00,4.64,4.75,4.57,4.63,896008
2019-12-02 05:00:00,4.65,4.745,4.59,4.64,1371169
2019-12-03 05:00:00,4.62,4.6614,4.46,4.54,2489418
2019-12-04 05:00:00,4.59,4.78,4.56,4.63,2068353
2019-12-05 05:00:00,4.66,5.0731,4.66,4.69,3410454
2019-12-06 05:00:00,4.78,4.87,4.61,4.66,2067073
2019-12-09 05:00:00,4.7,4.775,4.47,4.5,1798302
2019-12-10 05:00:00,4.49,4.695,4.43,4.56,1822450
2019-12-11 05:00:00,4.54,4.55,4.24,4.29,2463004
2019-12-12 05:00:00,4.32,4.47,4.25,4.31,2049687
2019-12-13 05:00:00,4.32,4.48,4.32,4.43,2022381
2019-12-16 05:00:00,4.45,4.52,4.39,4.4,2007735
2019-12-17 05:00:00,4.47,4.48,4.36,4.38,2601153
2019-12-18 05:00:00,4.38,4.44,4.15,4.2,3144407
2019-12-19 05:00:00,4.19,4.35,4.05,4.08,3329231
2019-12-20 05:00:00,4.14,4.1469,3.76,3.79,5364184
2019-12-23 05:00:00,3.92,3.96,3.705,3.85,2937640
2019-12-24 05:00:00,3.85,4.0,3.82,4.0,1154918
2019-12-26 05:00:00,4.03,4.05,3.82,3.86,2151917
2019-12-27 05:00:00,3.87,3.915,3.74,3.77,1798314
2019-12-30 05:00:00,3.78,3.81,3.65,3.68,1588730
2019-12-31 05:00:00,3.67,3.84,3.6482,3.75,1755079
2020-01-02 05:00:00,3.8,3.82,3.65,3.78,1467557
2020-01-03 05:00:00,3.71,3.83,3.69,3.73,1311674
2020-01-06 05:00:00,3.76,4.275,3.65,4.22,3897366
2020-01-07 05:00:00,4.25,4.51,4.06,4.3,3357968
2020-01-08 05:00:00,4.23,4.63,4.211,4.4,3049547
2020-01-09 05:00:00,4.45,4.535,4.31,4.47,1971941
2020-01-10 05:00:00,4.49,4.5,4.31,4.38,3176480
2020-01-13 05:00:00,4.37,4.42,4.17,4.245,1872019
2020-01-14 05:00:00,4.25,4.41,4.12,4.385,2061787
2020-01-15 05:00:00,4.36,4.5,4.34,4.39,1108320
2020-01-16 05:00:00,4.39,4.4,4.22,4.28,1770421
2020-01-17 05:00:00,4.31,4.31,4.13,4.17,1286927
2020-01-21 05:00:00,4.17,4.2,3.965,4.13,3354596
2020-01-22 05:00:00,4.09,4.24,4.09,4.12,2285464
2020-01-23 05:00:00,4.11,4.26,4.02,4.2,2238892
2020-01-24 05:00:00,4.2,4.21,3.98,3.99,3482526
2020-01-27 05:00:00,3.97,4.08,3.84,3.99,1197894
2020-01-28 05:00:00,4.03,4.33,4.03,4.28,1750683
2020-01-29 05:00:00,4.28,4.52,4.28,4.32,1460112
2020-01-30 05:00:00,4.31,4.38,4.15,4.19,932668
2020-01-31 05:00:00,4.17,4.24,4.07,4.11,1042072
2020-02-03 05:00:00,4.15,4.25,4.15,4.21,1131612
2020-02-04 05:00:00,4.17,4.34,4.17,4.26,1143603
2020-02-05 05:00:00,4.28,4.69,4.27,4.617,2421685
2020-02-06 05:00:00,4.65,4.68,4.43,4.5,1210737
2020-02-07 05:00:00,4.54,4.587,4.36,4.4,721272
2020-02-10 05:00:00,4.4,4.54,4.36,4.46,1386152
2020-02-11 05:00:00,4.52,4.7,4.44,4.59,1450369
2020-02-12 05:00:00,4.63,4.77,4.59,4.68,1082928
2020-02-13 05:00:00,4.64,4.9,4.61,4.78,1307145
2020-02-14 05:00:00,4.89,4.935,4.77,4.77,1381599
2020-02-18 05:00:00,4.85,5.19,4.76,5.12,2435831
2020-02-19 05:00:00,5.21,5.22,4.97,5.14,2104727
2020-02-20 05:00:00,5.15,5.28,5.0401,5.21,1835284
2020-02-21 05:00:00,5.2,5.27,5.0,5.22,2135518
2020-02-24 05:00:00,4.95,5.13,4.8,4.91,2550443
2020-02-25 05:00:00,5.01,5.0339,4.51,4.54,2797811
2020-02-26 05:00:00,4.4389,4.81,4.4359,4.67,2196172
2020-02-27 05:00:00,4.57,4.63,4.18,4.19,2998324
2020-02-28 05:00:00,3.99,4.39,3.99,4.2,2194640
2020-03-02 05:00:00,4.23,4.4,4.08,4.4,1651050
2020-03-03 05:00:00,4.44,4.46,3.995,4.02,2224504
2020-03-04 05:00:00,4.11,4.32,4.085,4.31,1310719
2020-03-05 05:00:00,4.2,4.235,4.09,4.22,1606960
2020-03-06 05:00:00,4.07,4.17,3.8,3.95,2197958
2020-03-09 04:00:00,3.5,3.85,3.45,3.47,1859666
2020-03-10 04:00:00,3.68,3.81,3.51,3.81,3499936
2020-03-11 04:00:00,3.71,3.79,3.42,3.52,4042284
2020-03-12 04:00:00,3.35,3.36,2.88,2.93,2633104
2020-03-13 04:00:00,3.2,3.54,2.55,3.4099,3579305
2020-03-16 04:00:00,2.62,3.2,2.62,2.97,5736024
2020-03-17 04:00:00,2.92,3.35,2.68,2.8702,3766284
2020-03-18 04:00:00,2.83,3.1399,2.56,2.7614,2465382
2020-03-19 04:00:00,2.75,3.1,2.6,2.87,4601774
2020-03-20 04:00:00,2.98,3.15,2.89,2.94,3043448
2020-03-23 04:00:00,2.99,3.3,2.93,3.12,2102973
2020-03-24 04:00:00,3.44,3.63,3.24,3.59,2699484
2020-03-25 04:00:00,3.76,3.9,3.41,3.83,4662646
2020-03-26 04:00:00,3.84,4.08,3.74,3.89,2422888
2020-03-27 04:00:00,3.75,4.0,3.615,3.79,4148546
2020-03-30 04:00:00,3.82,3.96,3.73,3.87,1105097
2020-03-31 04:00:00,3.95,4.0572,3.68,3.83,2889520
2020-04-01 04:00:00,3.84,3.84,3.47,3.48,1828041
2020-04-02 04:00:00,3.42,3.74,3.4,3.63,3418702
2020-04-03 04:00:00,3.62,3.77,3.49,3.53,1592414
2020-04-06 04:00:00,3.74,3.92,3.67,3.9,1251551
2020-04-07 04:00:00,4.0,4.12,3.7,3.71,1671793
2020-04-08 04:00:00,3.82,4.27,3.82,4.15,5048070
2020-04-09 04:00:00,4.28,4.43,4.2,4.39,2032191
2020-04-13 04:00:00,4.46,4.5199,4.235,4.365,1278577
2020-04-14 04:00:00,4.47,4.54,4.33,4.4,3415476
2020-04-15 04:00:00,4.35,4.43,4.185,4.34,4298981
2020-04-16 04:00:00,4.37,4.6092,4.2399,4.41,4200608
2020-04-17 04:00:00,4.56,4.6,4.38,4.57,4052186
2020-04-20 04:00:00,4.58,4.925,4.52,4.85,7493716
2020-04-21 04:00:00,4.86,4.9,4.51,4.69,6006529
2020-04-22 04:00:00,4.83,4.85,4.68,4.78,1834014
2020-04-23 04:00:00,4.79,5.02,4.7214,4.87,4644399
2020-04-24 04:00:00,4.98,5.03,4.8,5.0,3308130
2020-04-27 04:00:00,5.11,5.15,4.9,4.91,8344826
2020-04-28 04:00:00,5.01,5.035,4.83,4.9,2762735
2020-04-29 04:00:00,4.95,4.96,4.74,4.8,3957722
2020-04-30 04:00:00,4.8,4.83,4.67,4.7,3195528
2020-05-01 04:00:00,4.62,4.69,4.38,4.59,1508159
2020-05-04 04:00:00,4.58,4.97,4.48,4.95,1489038
2020-05-05 04:00:00,4.99,5.03,4.76,4.84,2602332
2020-05-06 04:00:00,4.88,4.88,4.69,4.7,921722
2020-05-07 04:00:00,4.79,4.86,4.62,4.82,1867666
2020-05-08 04:00:00,4.89,4.9,4.76,4.88,1893076
2020-05-11 04:00:00,4.93,5.12,4.8303,5.035,5067414
2020-05-12 04:00:00,4.9,4.96,4.54,4.585,6466830
2020-05-13 04:00:00,4.63,4.7,4.06,4.38,2624176
2020-05-14 04:00:00,4.35,4.35,4.11,4.24,1770836
2020-05-15 04:00:00,4.21,4.56,4.17,4.55,3307968
2020-05-18 04:00:00,4.69,4.71,4.465,4.54,3278952
2020-05-19 04:00:00,4.53,4.541,4.29,4.3,1534616
2020-05-20 04:00:00,4.38,4.55,4.33,4.46,1460548
2020-05-21 04:00:00,4.51,4.54,4.375,4.405,1877784
2020-05-22 04:00:00,4.4,4.5,4.325,4.41,1879552
2020-05-26 04:00:00,4.52,4.55,4.38,4.38,1603865
2020-05-27 04:00:00,4.43,4.46,4.26,4.43,3422670
2020-05-28 04:00:00,4.45,4.45,4.29,4.3,1420696
