date,open,high,low,close,volume
2019-09-27 04:00:00,9.2,9.55,9.06,9.145,2734533
2019-09-30 04:00:00,9.11,9.215,8.84,9.03,3576891
2019-10-01 04:00:00,8.98,9.31,8.86,8.95,3919972
2019-10-02 04:00:00,8.81,9.16,8.3966,8.895,4470184
2019-10-03 04:00:00,8.86,9.31,8.85,9.3,3656804
2019-10-04 04:00:00,9.33,9.44,8.88,9.02,5396719
2019-10-07 04:00:00,8.98,9.06,8.7486,8.87,3988551
2019-10-08 04:00:00,8.7,8.85,8.53,8.53,8940721
2019-10-09 04:00:00,8.54,8.7639,8.45,8.57,5377372
2019-10-10 04:00:00,8.3,8.575,7.8886,7.935,13084845
2019-10-11 04:00:00,7.87,8.15,7.7,7.8455,10945193
2019-10-14 04:00:00,7.7973,7.95,7.4,7.87,7618282
2019-10-15 04:00:00,8.0,8.46,7.91,8.31,10600656
2019-10-16 04:00:00,8.33,8.56,7.82,8.4,12524868
2019-10-17 04:00:00,10.52,10.56,8.33,8.8612,70071808
2019-10-18 04:00:00,9.14,9.1409,8.275,8.3115,23581674
2019-10-21 04:00:00,8.1529,8.64,8.06,8.51,5621150
2019-10-22 04:00:00,8.44,8.55,8.25,8.31,3876978
2019-10-23 04:00:00,8.31,8.79,8.23,8.7602,4655330
2019-10-24 04:00:00,8.75,9.37,8.6,9.11,12845895
2019-10-25 04:00:00,9.01,9.19,8.885,8.965,5328562
2019-10-28 04:00:00,8.97,9.12,8.72,8.75,5764258
2019-10-29 04:00:00,8.67,8.7393,8.3,8.39,4429524
2019-10-30 04:00:00,8.35,8.5481,8.23,8.3,2656928
2019-10-31 04:00:00,8.26,8.29,7.93,8.21,4530217
2019-11-01 04:00:00,8.17,8.38,8.12,8.22,2942508
2019-11-04 05:00:00,8.2,8.3,8.075,8.09,4160184
2019-11-05 05:00:00,8.12,8.43,8.08,8.23,3517692
2019-11-06 05:00:00,8.31,8.48,8.165,8.33,3546101
2019-11-07 05:00:00,8.4,8.52,7.86,7.92,6112443
2019-11-08 05:00:00,7.95,8.6,7.86,8.52,7793899
2019-11-11 05:00:00,8.5,8.67,7.9,8.08,9997018
2019-11-12 05:00:00,8.05,8.5,7.6,7.835,11254558
2019-11-13 05:00:00,7.8,7.8,7.18,7.26,11280844
2019-11-14 05:00:00,6.96,7.07,6.65,6.82,9840823
2019-11-15 05:00:00,6.62,6.79,6.15,6.28,17213655
2019-11-18 05:00:00,6.28,6.36,6.04,6.14,8092511
2019-11-19 05:00:00,6.1,7.0,6.09,6.7,17099294
2019-11-20 05:00:00,6.71,7.08,6.58,6.87,17528741
2019-11-21 05:00:00,7.24,8.05,6.98,7.62,23867897
2019-11-22 05:00:00,7.44,7.4739,6.85,7.07,11202936
2019-11-25 05:00:00,7.09,7.2973,6.85,6.9,6037704
2019-11-26 05:00:00,6.8,6.99,6.61,6.72,7517831
2019-11-27 05:00:00,6.8,6.9601,6.73,6.86,5102389
2019-11-29 05:00:00,6.9,6.94,6.76,6.845,2853872
2019-12-02 05:00:00,6.82,6.845,6.43,6.4941,5568659
2019-12-03 05:00:00,6.37,6.9,6.37,6.88,6275113
2019-12-04 05:00:00,7.0,7.0,6.56,6.57,4849867
2019-12-05 05:00:00,6.59,6.7266,6.55,6.6328,4291970
2019-12-06 05:00:00,6.64,6.75,6.61,6.7102,2558917
2019-12-09 05:00:00,6.76,7.1,6.75,6.96,6063129
2019-12-10 05:00:00,6.95,7.07,6.77,6.83,4789534
2019-12-11 05:00:00,6.87,7.02,6.8,6.8195,4407191
