date,open,high,low,close,volume
2019-09-27 04:00:00,13.05,13.15,13.01,13.115,9314242
2019-09-30 04:00:00,13.12,13.155,13.01,13.085,7180117
2019-10-01 04:00:00,13.15,13.21,12.99,13.0,11577429
2019-10-02 04:00:00,12.97,12.99,12.62,12.67,14617266
2019-10-03 04:00:00,12.81,12.86,12.51,12.85,10041717
2019-10-04 04:00:00,12.9,13.125,12.86,12.93,7902712
2019-10-07 04:00:00,12.91,12.97,12.71,12.71,7624595
2019-10-08 04:00:00,12.65,12.7,12.36,12.36,12237916
2019-10-09 04:00:00,12.55,12.6,12.32,12.33,8699244
2019-10-10 04:00:00,12.34,12.45,12.25,12.42,10565894
2019-10-11 04:00:00,12.55,12.71,12.45,12.57,9383323
2019-10-14 04:00:00,12.5,12.57,12.32,12.475,6598335
2019-10-15 04:00:00,12.5,12.62,12.39,12.5,6594927
2019-10-16 04:00:00,12.5,12.605,12.43,12.545,6515097
2019-10-17 04:00:00,12.57,12.66,12.48,12.56,7836473
2019-10-18 04:00:00,12.57,12.9,12.55,12.75,10702544
2019-10-21 04:00:00,12.76,12.95,12.7,12.86,6325985
2019-10-22 04:00:00,12.94,12.97,12.67,12.7,11911461
2019-10-23 04:00:00,12.76,12.78,12.56,12.61,9877731
2019-10-24 04:00:00,12.68,12.69,12.43,12.46,9509469
2019-10-25 04:00:00,12.45,12.65,12.42,12.53,10003802
2019-10-28 04:00:00,12.65,12.76,12.33,12.35,10989347
2019-10-29 04:00:00,12.35,12.55,12.27,12.33,12953513
2019-10-30 04:00:00,12.42,12.5,12.25,12.345,11734898
2019-10-31 04:00:00,12.245,12.605,12.245,12.59,12646266
2019-11-01 04:00:00,12.69,12.96,12.67,12.89,15604218
2019-11-04 05:00:00,12.81,12.84,12.51,12.64,12803762
2019-11-05 05:00:00,12.69,12.71,12.38,12.66,12375751
2019-11-06 05:00:00,12.6,12.62,12.24,12.27,13414382
2019-11-07 05:00:00,12.64,12.7,11.95,12.1,17134029
2019-11-08 05:00:00,12.12,12.22,11.87,12.22,16209504
2019-11-11 05:00:00,12.12,12.14,11.95,11.975,11811287
2019-11-12 05:00:00,12.0,12.13,11.55,11.61,28675392
2019-11-13 05:00:00,11.32,11.41,10.835,11.15,50172299
2019-11-14 05:00:00,11.16,11.3,10.9,11.18,25742484
2019-11-15 05:00:00,11.35,11.705,11.32,11.62,20164362
