date,open,high,low,close,volume
2019-09-27 04:00:00,180.5,180.755,175.66,177.07,13156288
2019-09-30 04:00:00,177.87,178.67,176.85,178.07,8886101
2019-10-01 04:00:00,179.15,179.84,174.88,175.79,15821576
2019-10-02 04:00:00,174.84,176.53,173.09,174.6,14322684
2019-10-03 04:00:00,175.57,179.84,173.63,179.42,14706025
2019-10-04 04:00:00,179.55,180.98,178.1,180.4,18008184
2019-10-07 04:00:00,180.0,181.18,178.09,179.68,15310362
2019-10-08 04:00:00,178.26,180.37,177.72,177.73,16806524
2019-10-09 04:00:00,179.16,180.72,177.94,179.83,13268798
2019-10-10 04:00:00,180.32,181.61,179.17,180.19,14880819
2019-10-11 04:00:00,182.24,186.49,182.14,184.11,27162518
2019-10-14 04:00:00,184.2,184.62,182.5735,183.29,12331878
2019-10-15 04:00:00,183.8,190.38,183.66,188.83,27710318
2019-10-16 04:00:00,188.32,189.7,186.9002,189.61,18318801
2019-10-17 04:00:00,190.29,190.84,188.765,190.4,17418890
2019-10-18 04:00:00,190.23,191.49,183.9239,185.86,29021855
2019-10-21 04:00:00,186.9,189.91,186.9,189.75,6617879
2019-10-22 04:00:00,190.0,190.65,181.5,182.31,17844142
2019-10-23 04:00:00,182.01,186.38,182.0,186.17,10854128
2019-10-24 04:00:00,184.62,186.73,182.8,186.38,10028450
2019-10-25 04:00:00,185.83,189.0,185.0876,187.87,6891050
2019-10-28 04:00:00,187.2,189.53,185.08,189.46,11722063
2019-10-29 04:00:00,191.69,192.53,188.47,189.32,12514972
2019-10-30 04:00:00,189.56,190.45,185.98,188.18,20020339
2019-10-31 04:00:00,196.7,198.09,188.25,191.68,38226966
2019-11-01 04:00:00,192.85,194.11,189.91,193.69,19278486
2019-11-04 05:00:00,194.55,197.3672,193.8119,194.72,15532371
2019-11-05 05:00:00,195.37,195.75,193.6,194.33,8464929
2019-11-06 05:00:00,194.03,194.37,191.35,191.54,9013854
2019-11-07 05:00:00,191.91,193.44,189.47,190.42,11424516
2019-11-08 05:00:00,190.0,192.34,189.7,190.88,9819379
2019-11-11 05:00:00,189.93,190.08,188.54,189.6,7915131
2019-11-12 05:00:00,190.1,195.06,189.74,194.54,16163287
2019-11-13 05:00:00,194.7,195.7,192.74,193.21,9726545
2019-11-14 05:00:00,192.93,194.03,191.45,193.12,7665115
2019-11-15 05:00:00,194.23,195.3,193.38,195.0895,10040438
2019-11-18 05:00:00,194.56,198.63,193.05,197.46,14489833
2019-11-19 05:00:00,197.4,200.0,196.86,199.33,16970875
2019-11-20 05:00:00,198.58,199.59,195.43,197.5,10748544
2019-11-21 05:00:00,197.42,199.09,196.86,197.93,10477726
2019-11-22 05:00:00,198.38,199.3,197.62,198.88,7930358
2019-11-25 05:00:00,199.515,200.97,199.25,199.75,13337281
2019-11-26 05:00:00,200.0,200.15,198.0387,198.8,7717611
2019-11-27 05:00:00,199.79,203.14,199.42,202.0,11592729
2019-11-29 05:00:00,201.58,203.8,201.25,201.66,6818030
2019-12-02 05:00:00,202.13,202.18,198.05,199.69,9914187
2019-12-03 05:00:00,197.6,198.93,195.08,198.83,10543904
2019-12-04 05:00:00,200.0,200.0288,198.05,198.7,7647338
2019-12-05 05:00:00,199.86,201.29,198.2126,199.37,8290537
2019-12-06 05:00:00,200.5,201.57,200.06,201.04,10470491
2019-12-09 05:00:00,200.65,203.1418,200.21,201.33,9900507
2019-12-10 05:00:00,201.66,202.05,200.15,200.9,8273906
2019-12-11 05:00:00,200.57,202.63,200.28,202.21,6790583
2019-12-12 05:00:00,202.35,203.66,194.1,196.67,21774628
2019-12-13 05:00:00,196.31,196.8,193.17,194.21,17060438
2019-12-16 05:00:00,195.27,199.12,194.81,197.92,11211461
2019-12-17 05:00:00,198.84,199.0,196.13,198.38,8689927
2019-12-18 05:00:00,200.09,204.3,200.09,202.36,18952124
2019-12-19 05:00:00,202.86,206.3,202.51,206.06,14359765
2019-12-20 05:00:00,207.48,207.71,203.43,206.29,22032010
2019-12-23 05:00:00,206.7,208.59,205.68,206.18,9744492
2019-12-24 05:00:00,206.3,206.79,205.0,205.15,3999834
2019-12-26 05:00:00,205.51,207.82,205.31,207.79,7525951
2019-12-27 05:00:00,208.6697,208.93,206.5875,208.1,8717172
2019-12-30 05:00:00,207.96,207.96,203.9001,204.41,9184949
2019-12-31 05:00:00,203.995,205.56,203.6001,205.09,7032528
2020-01-02 05:00:00,206.75,209.79,206.27,209.78,10718923
2020-01-03 05:00:00,207.2135,210.4,206.95,208.51,10045001
2020-01-06 05:00:00,206.7,212.78,206.52,212.5855,14622198
2020-01-07 05:00:00,212.82,214.58,211.75,213.05,12505490
