date,open,high,low,close,volume
2019-09-27 04:00:00,3.85,3.945,3.83,3.9,3379273
2019-09-30 04:00:00,3.93,3.93,3.78,3.815,2384031
2019-10-01 04:00:00,3.86,3.94,3.73,3.75,3941595
2019-10-02 04:00:00,3.71,3.75,3.65,3.67,2191614
2019-10-03 04:00:00,3.63,3.81,3.57,3.78,4467517
2019-10-04 04:00:00,3.81,4.025,3.68,3.93,6923109
2019-10-07 04:00:00,3.92,3.97,3.755,3.82,3866402
2019-10-08 04:00:00,3.78,3.87,3.61,3.69,4444826
2019-10-09 04:00:00,3.75,3.8,3.58,3.7,4121666
2019-10-10 04:00:00,3.69,3.7,3.3,3.56,7187064
2019-10-11 04:00:00,3.59,3.7,3.54,3.66,4015547
2019-10-14 04:00:00,3.66,3.665,3.56,3.65,2492052
2019-10-15 04:00:00,3.65,3.66,3.42,3.45,6016871
2019-10-16 04:00:00,3.45,3.86,3.45,3.739,8133493
2019-10-17 04:00:00,3.8,4.07,3.69,3.99,9406973
2019-10-18 04:00:00,4.03,4.06,3.805,3.85,4692238
2019-10-21 04:00:00,3.92,4.21,3.89,4.18,8806389
2019-10-22 04:00:00,4.18,4.45,4.05,4.375,12687544
2019-10-23 04:00:00,4.38,4.53,4.29,4.49,7429092
2019-10-24 04:00:00,4.53,4.53,4.325,4.38,5823809
2019-10-25 04:00:00,4.37,4.42,4.24,4.32,4587952
2019-10-28 04:00:00,4.29,6.09,4.28,5.6254,62248611
2019-10-29 04:00:00,5.55,6.3,5.27,6.06,38227069
2019-10-30 04:00:00,6.17,6.37,5.51,5.85,31190004
2019-10-31 04:00:00,6.005,6.37,5.93,6.18,21085421
2019-11-01 04:00:00,7.25,7.26,7.08,7.12,172584818
2019-11-04 05:00:00,7.14,7.17,7.02,7.035,46474409
2019-11-05 05:00:00,7.03,7.08,7.01,7.05,20866048
2019-11-06 05:00:00,7.03,7.08,7.0,7.03,14966965
2019-11-07 05:00:00,7.02,7.04,6.93,6.98,16669529
2019-11-08 05:00:00,6.96,7.06,6.94,7.06,12257558
2019-11-11 05:00:00,7.02,7.08,6.85,6.99,16231240
2019-11-12 05:00:00,6.99,7.01,6.95,6.96,9757534
2019-11-13 05:00:00,6.93,6.93,6.84,6.86,17549132
2019-11-14 05:00:00,6.84,6.87,6.76,6.8,10867438
2019-11-15 05:00:00,6.78,6.89,6.76,6.8,8979397
2019-11-18 05:00:00,6.8,6.82,6.73,6.75,7734443
2019-11-19 05:00:00,6.75,6.76,6.67,6.695,6181783
2019-11-20 05:00:00,6.7,6.72,6.62,6.7,7481021
2019-11-21 05:00:00,6.7,6.745,6.65,6.68,4137735
2019-11-22 05:00:00,6.71,6.9,6.69,6.855,8322130
2019-11-25 05:00:00,6.85,6.86,6.745,6.78,4548831
2019-11-26 05:00:00,7.01,7.06,6.81,6.9,32057291
2019-11-27 05:00:00,6.9,7.08,6.87,7.07,16036691
2019-11-29 05:00:00,7.01,7.04,6.93,6.94,2898076
2019-12-02 05:00:00,6.93,6.95,6.85,6.87,7211609
2019-12-03 05:00:00,6.85,6.88,6.84,6.86,3844349
2019-12-04 05:00:00,6.88,6.9,6.81,6.86,8858892
2019-12-05 05:00:00,6.86,6.895,6.75,6.775,7405760
