date,open,high,low,close,volume
2019-09-27 04:00:00,9.04,9.17,8.99,9.045,26255328
2019-09-30 04:00:00,9.08,9.1,8.94,8.94,27049927
2019-10-01 04:00:00,8.96,9.035,8.51,8.61,60616709
2019-10-02 04:00:00,8.56,8.62,8.41,8.51,40139239
2019-10-03 04:00:00,8.5,8.71,8.25,8.71,48948411
2019-10-04 04:00:00,8.61,8.7,8.54,8.57,43462118
2019-10-07 04:00:00,8.55,8.65,8.48,8.55,27558633
2019-10-08 04:00:00,8.48,8.4997,8.27,8.27,39037781
2019-10-09 04:00:00,8.31,8.37,8.24,8.34,28391186
2019-10-10 04:00:00,8.34,8.52,8.31,8.45,25546833
2019-10-11 04:00:00,8.59,8.92,8.58,8.79,48874321
2019-10-14 04:00:00,8.66,8.8,8.64,8.71,26405756
2019-10-15 04:00:00,8.74,8.92,8.6105,8.88,31447618
2019-10-16 04:00:00,8.86,9.07,8.835,8.91,45051364
2019-10-17 04:00:00,8.92,9.09,8.88,9.04,27360508
2019-10-18 04:00:00,9.0099,9.1,8.95,8.96,32829368
2019-10-21 04:00:00,8.99,9.12,8.76,8.78,44556871
2019-10-22 04:00:00,8.77,9.06,8.61,9.0574,50535449
2019-10-23 04:00:00,8.98,9.15,8.93,9.14,40894620
2019-10-24 04:00:00,9.12,9.15,8.88,8.95,30040721
2019-10-25 04:00:00,8.92,9.09,8.92,9.0,32096883
2019-10-28 04:00:00,9.02,9.12,8.99,9.07,25670931
2019-10-29 04:00:00,9.01,9.14,8.93,9.04,35468808
2019-10-30 04:00:00,9.78,10.37,9.71,10.1148,178127514
2019-10-31 04:00:00,9.94,10.09,9.93,9.99,47739948
2019-11-01 04:00:00,10.08,10.385,10.065,10.37,67490997
2019-11-04 05:00:00,10.42,10.95,10.42,10.93,83756539
2019-11-05 05:00:00,10.92,10.97,10.72,10.97,60010829
2019-11-06 05:00:00,10.93,11.1,10.79,11.03,55928392
2019-11-07 05:00:00,11.1,11.315,11.09,11.28,56806445
2019-11-08 05:00:00,11.23,11.55,11.14,11.52,53834148
2019-11-11 05:00:00,11.4,11.5,11.24,11.33,38223710
2019-11-12 05:00:00,11.32,11.58,11.29,11.42,40393457
2019-11-13 05:00:00,11.29,11.355,11.18,11.3,42793109
2019-11-14 05:00:00,11.18,11.35,11.18,11.29,26480634
2019-11-15 05:00:00,11.34,11.55,11.33,11.51,32356364
2019-11-18 05:00:00,11.41,11.5,11.33,11.43,35352723
2019-11-19 05:00:00,11.43,11.545,11.26,11.5,36698076
2019-11-20 05:00:00,11.44,11.49,11.26,11.39,38424384
2019-11-21 05:00:00,11.33,11.615,11.31,11.53,33753981
2019-11-22 05:00:00,11.49,11.72,11.49,11.53,32386065
2019-11-25 05:00:00,11.66,11.84,11.57,11.6,43593602
2019-11-26 05:00:00,11.62,11.67,11.31,11.35,48205408
2019-11-27 05:00:00,11.39,11.47,11.26,11.3,37733017
2019-11-29 05:00:00,11.28,11.36,11.26,11.29,17869085
2019-12-02 05:00:00,11.31,11.52,11.14,11.16,55717350
2019-12-03 05:00:00,11.0,11.11,10.81,10.99,48056872
2019-12-04 05:00:00,11.17,11.18,10.87,10.895,34760371
2019-12-05 05:00:00,10.89,10.96,10.76,10.79,35127211
2019-12-06 05:00:00,10.9,11.11,10.85,11.0952,36531652
2019-12-09 05:00:00,10.98,11.13,10.97,10.99,22427484
2019-12-10 05:00:00,10.99,11.03,10.92,11.0,20908693
2019-12-11 05:00:00,10.97,11.09,10.95,10.97,26500305
2019-12-12 05:00:00,11.35,11.57,11.24,11.44,84613699
2019-12-13 05:00:00,11.52,11.6,11.33,11.35,43008968
2019-12-16 05:00:00,11.28,11.36,11.13,11.17,42394863
2019-12-17 05:00:00,11.15,11.23,11.08,11.1,34843477
2019-12-18 05:00:00,11.02,11.14,10.915,10.975,55996362
2019-12-19 05:00:00,10.98,11.15,10.97,11.04,33383736
2019-12-20 05:00:00,11.08,11.14,10.9,11.03,54472895
2019-12-23 05:00:00,11.0,11.17,11.0,11.17,32216372
2019-12-24 05:00:00,11.1,11.2,11.09,11.19,17040361
2019-12-26 05:00:00,11.18,11.23,11.13,11.23,23300243
2019-12-27 05:00:00,11.17,11.21,11.13,11.18,22668199
2019-12-30 05:00:00,11.07,11.16,11.03,11.08,42007049
2019-12-31 05:00:00,11.0,11.16,10.96,11.15,44396436
2020-01-02 05:00:00,11.23,11.955,11.23,11.94,72456864
2020-01-03 05:00:00,11.57,12.0,11.53,11.97,72496606
2020-01-06 05:00:00,11.84,12.21,11.84,12.14,88077970
2020-01-07 05:00:00,12.15,12.235,11.92,12.055,60320592
2020-01-08 05:00:00,11.99,12.05,11.87,11.93,37749100
2020-01-09 05:00:00,12.07,12.09,11.83,11.9,30503177
2020-01-10 05:00:00,11.84,11.91,11.59,11.67,51097374
2020-01-13 05:00:00,11.74,12.15,11.68,12.11,56024792
2020-01-14 05:00:00,12.16,12.19,11.99,12.02,35759406
2020-01-15 05:00:00,12.02,12.02,11.83,11.87,39077074
2020-01-16 05:00:00,11.94,11.98,11.82,11.84,30074879
2020-01-17 05:00:00,11.85,11.91,11.76,11.8,38612898
2020-01-21 05:00:00,11.74,11.8,11.61,11.66,67833196
2020-01-22 05:00:00,11.71,11.71,11.35,11.37,94685398
2020-01-23 05:00:00,11.73,11.85,11.595,11.78,117996965
2020-01-24 05:00:00,11.88,11.89,11.62,11.71,97879433
2020-01-27 05:00:00,11.45,11.587,11.38,11.44,38841550
2020-01-28 05:00:00,11.52,11.82,11.47,11.73,52000062
2020-01-29 05:00:00,12.57,13.0,12.49,12.94,182272374
2020-01-30 05:00:00,12.89,12.99,12.5,12.72,87019609
2020-01-31 05:00:00,12.68,12.74,12.34,12.43,63835986
2020-02-03 05:00:00,12.46,12.68,12.25,12.26,43884993
2020-02-04 05:00:00,12.49,12.62,12.3898,12.58,39237648
2020-02-05 05:00:00,12.76,12.86,12.57,12.85,43848391
2020-02-06 05:00:00,12.94,13.0,12.83,12.941,49751324
2020-02-07 05:00:00,13.02,13.09,12.81,12.83,54333677
2020-02-10 05:00:00,12.84,12.97,12.77,12.91,29413553
2020-02-11 05:00:00,12.95,12.98,12.78,12.8448,36266288
2020-02-12 05:00:00,12.95,13.26,12.88,13.17,56599161
