date,open,high,low,close,volume
2019-09-27 04:00:00,37.84,37.97,36.97,37.42,5907949
2019-09-30 04:00:00,37.53,37.58,37.005,37.47,4612191
2019-10-01 04:00:00,37.47,37.48,36.035,36.11,7098404
2019-10-02 04:00:00,35.77,35.77,34.41,34.68,10532346
2019-10-03 04:00:00,34.51,34.99,34.16,34.99,8181473
2019-10-04 04:00:00,35.0,35.19,34.58,34.9,5350308
2019-10-07 04:00:00,34.6,35.11,34.31,34.74,5158389
2019-10-08 04:00:00,34.3135,34.47,33.71,33.89,8933115
2019-10-09 04:00:00,33.98,34.34,33.79,34.14,5205099
2019-10-10 04:00:00,34.45,34.82,34.22,34.67,8597435
2019-10-11 04:00:00,35.22,36.0,35.21,35.57,10027604
2019-10-14 04:00:00,35.38,35.56,35.265,35.5,4202005
2019-10-15 04:00:00,35.47,36.56,35.17,36.25,8444855
2019-10-16 04:00:00,36.46,37.2187,36.45,36.65,11148734
2019-10-17 04:00:00,36.81,36.82,35.87,36.205,7264119
2019-10-18 04:00:00,36.09,36.37,36.01,36.165,5678974
2019-10-21 04:00:00,36.44,36.72,35.63,35.93,5846706
2019-10-22 04:00:00,35.77,36.58,35.56,36.32,5793100
2019-10-23 04:00:00,36.25,36.64,35.83,36.61,5341577
2019-10-24 04:00:00,36.62,36.77,35.745,35.81,5931589
2019-10-25 04:00:00,35.78,36.82,35.76,36.73,7270109
2019-10-28 04:00:00,37.21,37.3,36.49,36.64,9127194
2019-10-29 04:00:00,37.6,38.7,37.6,38.21,16240183
2019-10-30 04:00:00,38.26,38.26,37.415,37.91,6439015
2019-10-31 04:00:00,36.98,37.25,36.95,37.15,3664028
2019-11-01 04:00:00,37.21,38.07,37.21,37.975,6617611
2019-11-04 05:00:00,38.35,38.49,38.22,38.4,5984302
2019-11-05 05:00:00,38.61,38.89,38.21,38.22,5724109
2019-11-06 05:00:00,38.37,38.48,37.76,38.42,5886848
2019-11-07 05:00:00,38.6,38.9,38.46,38.51,4991051
2019-11-08 05:00:00,38.42,38.67,37.82,38.665,4933539
2019-11-11 05:00:00,38.6,38.8,38.38,38.72,3094914
2019-11-12 05:00:00,38.74,38.955,38.36,38.59,5422623
2019-11-13 05:00:00,38.4,38.4,37.09,37.19,10309752
2019-11-14 05:00:00,37.1,37.45,36.69,36.8,10838369
2019-11-15 05:00:00,37.0,37.11,36.725,36.89,10865913
2019-11-18 05:00:00,36.68,36.83,36.39,36.62,7931154
2019-11-19 05:00:00,36.67,36.7,36.005,36.39,8746943
2019-11-20 05:00:00,36.21,36.26,35.18,35.27,11284313
2019-11-21 05:00:00,35.53,35.58,34.59,34.68,12298129
2019-11-22 05:00:00,35.27,35.5,34.93,35.33,11904680
2019-11-25 05:00:00,35.5,35.89,35.35,35.83,7889118
2019-11-26 05:00:00,35.7,35.93,35.51,35.91,4991287
2019-11-27 05:00:00,36.01,36.27,35.85,36.14,4761604
2019-11-29 05:00:00,36.05,36.13,35.855,36.0,2657031
2019-12-02 05:00:00,36.01,36.36,35.84,35.88,5354884
2019-12-03 05:00:00,35.47,35.62,34.96,35.535,7039012
2019-12-04 05:00:00,35.74,36.05,35.68,35.81,7517503
2019-12-05 05:00:00,35.6,35.65,35.22,35.32,5908736
2019-12-06 05:00:00,35.64,35.76,35.445,35.54,6649996
2019-12-09 05:00:00,35.45,35.59,35.35,35.38,5387149
2019-12-10 05:00:00,35.35,35.38,34.96,35.1,6124473
2019-12-11 05:00:00,35.13,35.41,35.1,35.24,4933666
2019-12-12 05:00:00,35.37,36.29,35.24,36.115,8903887
2019-12-13 05:00:00,36.16,36.335,35.61,35.65,6609519
2019-12-16 05:00:00,35.82,36.245,35.65,36.11,6583654
2019-12-17 05:00:00,36.2,36.39,36.11,36.31,6010639
2019-12-18 05:00:00,36.34,37.43,36.33,37.32,9990954
2019-12-19 05:00:00,37.31,37.36,36.835,37.26,9062601
2019-12-20 05:00:00,37.54,37.62,37.19,37.26,8548783
2019-12-23 05:00:00,37.39,37.41,36.63,36.75,7119688
2019-12-24 05:00:00,36.73,36.74,36.5,36.58,2607540
2019-12-26 05:00:00,36.59,36.6,36.33,36.48,4490426
2019-12-27 05:00:00,36.56,36.71,36.43,36.55,4901852
2019-12-30 05:00:00,36.5,36.64,36.2,36.45,4605983
2019-12-31 05:00:00,36.37,36.735,36.32,36.6,3953666
2020-01-02 05:00:00,37.0,37.38,36.55,37.38,5911901
2020-01-03 05:00:00,36.73,36.92,36.11,36.3,7193403
2020-01-06 05:00:00,35.95,36.18,35.8,35.84,6534769
2020-01-07 05:00:00,35.75,35.84,34.74,35.15,13207500
2020-01-08 05:00:00,35.04,35.2,34.41,34.66,10722570
2020-01-09 05:00:00,34.99,35.1,34.5301,35.08,7818459
2020-01-10 05:00:00,35.15,36.45,34.505,34.65,8007780
2020-01-13 05:00:00,34.69,35.0,34.49,34.97,5904860
2020-01-14 05:00:00,35.0,35.35,34.96,35.14,5472854
2020-01-15 05:00:00,35.0,35.32,34.89,35.15,6199173
2020-01-16 05:00:00,35.21,35.58,35.15,35.55,6263250
2020-01-17 05:00:00,35.57,35.7286,35.41,35.58,7791510
2020-01-21 05:00:00,35.36,35.55,34.96,34.98,15359336
2020-01-22 05:00:00,35.13,35.3455,34.86,34.91,12453708
2020-01-23 05:00:00,34.77,34.995,34.01,34.88,14157516
2020-01-24 05:00:00,34.9,34.99,34.01,34.3,15815501
2020-01-27 05:00:00,33.63,33.76,33.17,33.41,8691906
2020-01-28 05:00:00,33.57,33.86,33.34,33.64,7165409
2020-01-29 05:00:00,33.8,34.04,33.59,33.6,5520032
2020-01-30 05:00:00,33.4,33.45,32.97,33.34,9426155
2020-01-31 05:00:00,33.25,33.49,33.14,33.38,12194556
2020-02-03 05:00:00,33.56,34.34,33.52,33.72,14132976
2020-02-04 05:00:00,34.35,34.82,34.2,34.35,12004910
2020-02-05 05:00:00,34.9,35.3888,34.19,35.03,15628465
2020-02-06 05:00:00,35.05,35.1,34.25,34.33,10240084
2020-02-07 05:00:00,34.08,34.16,33.425,33.64,11970823
2020-02-10 05:00:00,33.99,34.3,33.67,34.26,10440617
2020-02-11 05:00:00,34.34,35.26,34.07,35.01,10668261
2020-02-12 05:00:00,35.33,35.79,35.13,35.49,10788949
2020-02-13 05:00:00,35.21,35.53,35.16,35.3,6237728
2020-02-14 05:00:00,35.3,35.39,34.42,34.755,7231969
2020-02-18 05:00:00,34.25,34.74,33.955,34.42,9130248
2020-02-19 05:00:00,34.53,35.1,34.52,34.91,7813014
2020-02-20 05:00:00,34.66,35.4,34.59,35.29,6838864
2020-02-21 05:00:00,34.99,35.08,34.41,34.65,6720552
2020-02-24 05:00:00,33.64,33.75,32.79,33.1,11560267
2020-02-25 05:00:00,33.25,33.28,31.395,31.74,11129347
2020-02-26 05:00:00,32.1,32.61,31.8853,32.02,11519042
2020-02-27 05:00:00,31.3,31.915,30.55,30.7,13005033
2020-02-28 05:00:00,29.78,30.5,29.33,30.5,17569444
2020-03-02 05:00:00,30.52,31.45,29.74,31.43,12618246
2020-03-03 05:00:00,31.5,32.3,30.26,30.52,13577399
2020-03-04 05:00:00,31.0,31.565,30.355,31.53,12077540
2020-03-05 05:00:00,30.54,30.77,30.01,30.09,15892294
2020-03-06 05:00:00,29.21,29.54,28.45,28.69,17635069
2020-03-09 04:00:00,26.0,26.12,24.15,24.65,24892507
2020-03-10 04:00:00,25.98,27.14,24.59,27.11,16488496
2020-03-11 04:00:00,26.0,26.62,25.76,26.0,18966529
2020-03-12 04:00:00,23.6,24.345,22.5,23.04,18223616
2020-03-13 04:00:00,24.6,25.33,22.9,24.685,15281002
2020-03-16 04:00:00,21.51,22.41,21.0,21.0,15031308
2020-03-17 04:00:00,21.31,21.58,19.5,20.32,21187393
2020-03-18 04:00:00,18.83,19.05,14.325,17.15,31804688
2020-03-19 04:00:00,16.34,18.99,15.0,17.87,31961495
2020-03-20 04:00:00,18.42,18.9569,17.68,18.14,33232737
2020-03-23 04:00:00,18.01,18.56,17.23,17.61,24033555
2020-03-24 04:00:00,19.32,21.6697,18.6,21.11,21342732
2020-03-25 04:00:00,23.0,23.145,21.0,21.39,24825486
2020-03-26 04:00:00,21.64,22.97,21.0601,22.53,14797405
2020-03-27 04:00:00,21.37,21.96,20.74,21.375,16616420
2020-03-30 04:00:00,22.31,22.48,20.6259,21.31,16231099
2020-03-31 04:00:00,20.97,22.21,20.55,20.77,18086583
2020-04-01 04:00:00,19.5,20.165,18.99,19.25,15378590
2020-04-02 04:00:00,19.1,19.69,17.79,18.19,16179364
2020-04-03 04:00:00,18.4,18.78,17.85,18.03,12334468
2020-04-06 04:00:00,19.1,19.75,18.55,19.52,18402242
2020-04-07 04:00:00,21.27,22.21,20.71,21.29,26906493
2020-04-08 04:00:00,21.74,23.6,21.4694,23.13,21640752
2020-04-09 04:00:00,24.16,24.99,23.5832,24.05,19075504
2020-04-13 04:00:00,24.04,24.1,22.72,23.02,12535137
2020-04-14 04:00:00,23.6,23.77,22.67,22.96,11537503
2020-04-15 04:00:00,21.92,22.27,21.47,21.66,11489849
2020-04-16 04:00:00,21.64,21.65,20.555,20.86,9995114
2020-04-17 04:00:00,21.92,22.54,21.83,22.49,15185164
2020-04-20 04:00:00,21.72,22.64,21.44,22.38,12953783
2020-04-21 04:00:00,21.27,21.89,20.98,21.23,12435913
2020-04-22 04:00:00,21.65,21.78,21.07,21.3,6799292
2020-04-23 04:00:00,21.55,22.055,21.445,21.52,9909878
2020-04-24 04:00:00,21.71,22.24,21.54,21.95,8245226
2020-04-27 04:00:00,21.52,22.57,21.1401,22.45,19500338
2020-04-28 04:00:00,23.18,23.4,22.1,22.18,19477385
2020-04-29 04:00:00,22.75,24.565,22.68,23.78,22283066
2020-04-30 04:00:00,23.44,23.44,22.25,22.29,13761663
2020-05-01 04:00:00,21.65,21.76,20.8,20.9,17005017
2020-05-04 04:00:00,20.45,20.875,20.1201,20.75,15161045
2020-05-05 04:00:00,21.25,21.97,21.12,21.24,16713113
2020-05-06 04:00:00,23.05,23.65,21.83,21.89,28418897
2020-05-07 04:00:00,22.18,22.98,22.03,22.45,16257151
2020-05-08 04:00:00,23.07,24.0,23.05,23.93,15054613
2020-05-11 04:00:00,23.25,23.39,22.59,22.79,14884267
2020-05-12 04:00:00,22.99,23.27,22.55,22.555,10939883
2020-05-13 04:00:00,22.44,22.45,21.13,21.45,14773334
2020-05-14 04:00:00,20.66,22.34,20.49,22.31,14945648
2020-05-15 04:00:00,21.97,22.68,21.83,22.63,12393323
2020-05-18 04:00:00,24.0,25.205,24.0,24.8,20984858
2020-05-19 04:00:00,24.75,25.7,24.29,24.68,17675694
2020-05-20 04:00:00,25.31,25.89,25.215,25.48,13275625
2020-05-21 04:00:00,25.29,26.02,25.21,25.8,12917853
2020-05-22 04:00:00,25.99,26.23,25.215,25.98,11827952
2020-05-26 04:00:00,27.82,27.89,27.25,27.39,14279860
2020-05-27 04:00:00,28.53,28.83,26.91,27.79,13319105
2020-05-28 04:00:00,27.86,27.94,26.6,26.69,10336456
2020-05-29 04:00:00,26.35,26.57,25.69,25.885,16935836
2020-06-01 04:00:00,25.99,27.22,25.91,26.94,9388313
2020-06-02 04:00:00,27.32,27.615,26.945,27.41,9055581
2020-06-03 04:00:00,28.42,29.13,28.25,29.065,15321063
2020-06-04 04:00:00,28.86,29.435,28.52,29.15,15584043
2020-06-05 04:00:00,31.0,31.15,29.81,30.605,27560001
2020-06-08 04:00:00,31.22,31.66,30.6,30.66,14084644
2020-06-09 04:00:00,29.4,30.215,28.71,29.905,14614559
2020-06-10 04:00:00,29.8,29.84,28.42,28.7581,14373816
2020-06-11 04:00:00,26.62,27.8,26.29,26.495,17355530
2020-06-12 04:00:00,28.72,28.96,27.3,27.33,6981718
2020-06-15 04:00:00,26.61,28.1,26.57,27.79,13972044
2020-06-16 04:00:00,29.11,29.18,27.475,27.79,15976190
2020-06-17 04:00:00,27.78,28.01,27.13,27.16,9619319
2020-06-18 04:00:00,26.9,27.55,26.71,27.09,10075998
2020-06-19 04:00:00,27.74,27.83,26.33,26.6,13933542
2020-06-22 04:00:00,26.6,26.64,25.85,26.37,9605994
2020-06-23 04:00:00,26.75,26.85,26.23,26.24,10731237
2020-06-24 04:00:00,25.85,25.98,25.01,25.28,12968051
2020-06-25 04:00:00,25.0,25.29,24.535,25.24,13353691
2020-06-26 04:00:00,25.0,25.11,24.25,24.45,13129005
2020-06-29 04:00:00,24.71,25.35,24.475,25.3,9018865
2020-06-30 04:00:00,25.09,25.595,24.74,25.29,12477305
2020-07-01 04:00:00,25.3,25.935,24.93,24.96,10874639
2020-07-02 04:00:00,25.62,25.85,25.082,25.24,33452888
2020-07-06 04:00:00,25.96,26.04,25.4299,25.73,8363654
2020-07-07 04:00:00,25.59,25.625,25.06,25.125,9045059
2020-07-08 04:00:00,25.19,25.255,24.67,24.95,10148076
2020-07-09 04:00:00,24.76,24.8299,23.33,23.4119,16206826
2020-07-10 04:00:00,23.55,24.4,23.33,24.38,14185293
2020-07-13 04:00:00,24.65,25.19,24.37,24.86,12695310
2020-07-14 04:00:00,24.8,25.845,24.67,25.64,15115578
2020-07-15 04:00:00,26.32,27.03,26.13,26.87,13531747
2020-07-16 04:00:00,26.35,27.185,26.26,26.9,8886848
2020-07-17 04:00:00,26.99,27.0,26.25,26.44,7593760
2020-07-20 04:00:00,26.21,26.54,25.77,26.0,7558690
2020-07-21 04:00:00,26.17,26.48,25.97,26.15,8838780
2020-07-22 04:00:00,25.87,26.5,25.8,26.3,10041916
2020-07-23 04:00:00,26.44,27.325,26.33,26.76,9101456
2020-07-24 04:00:00,26.6,26.875,26.11,26.26,7597411
2020-07-27 04:00:00,25.88,25.92,25.31,25.7,15848081
2020-07-28 04:00:00,25.78,26.745,25.69,26.36,19966521
2020-07-29 04:00:00,27.04,27.05,24.93,25.89,54132640
2020-07-30 04:00:00,25.13,25.46,25.02,25.205,30496693
2020-07-31 04:00:00,25.12,25.15,24.44,24.89,25100069
2020-08-03 04:00:00,25.06,25.77,24.82,25.64,14427820
2020-08-04 04:00:00,25.87,26.03,25.51,25.82,30060366
2020-08-05 04:00:00,26.2,26.35,25.88,26.325,16634180
