date,open,high,low,close,volume
2019-09-27 04:00:00,5.09,5.52,4.76,5.02,13911089
2019-09-30 04:00:00,5.39,5.43,5.04,5.18,10255974
2019-10-01 04:00:00,5.44,5.79,5.26,5.29,10793932
2019-10-02 04:00:00,5.31,5.33,4.9649,5.14,4746674
2019-10-03 04:00:00,4.24,4.28,3.8007,4.155,26919701
2019-10-04 04:00:00,4.16,4.24,3.92,3.97,19160211
2019-10-07 04:00:00,3.98,3.99,3.7,3.7,19895735
2019-10-08 04:00:00,3.75,3.76,3.4,3.44,19336104
2019-10-09 04:00:00,3.5,3.56,3.4,3.505,15823358
2019-10-10 04:00:00,3.54,3.58,3.25,3.38,19077300
2019-10-11 04:00:00,3.41,3.83,3.41,3.735,29167083
2019-10-14 04:00:00,3.75,3.84,3.61,3.64,7625482
2019-10-15 04:00:00,3.7,3.75,3.625,3.655,6778670
2019-10-16 04:00:00,3.65,3.705,3.62,3.66,4681303
2019-10-17 04:00:00,3.66,3.8,3.65,3.8,6302960
2019-10-18 04:00:00,3.8,3.818,3.575,3.6,7174280
2019-10-21 04:00:00,3.6599,3.69,3.62,3.65,2263192
2019-10-22 04:00:00,3.63,3.87,3.6,3.775,3755488
2019-10-23 04:00:00,3.76,3.89,3.73,3.885,2771263
2019-10-24 04:00:00,3.9,3.905,3.76,3.845,2405014
2019-10-25 04:00:00,3.85,3.99,3.84,3.96,2870615
2019-10-28 04:00:00,3.96,4.22,3.96,4.05,5833245
2019-10-29 04:00:00,4.1,4.14,3.99,4.135,3373191
2019-10-30 04:00:00,4.11,4.15,3.98,4.1,2771201
2019-10-31 04:00:00,4.09,4.17,4.02,4.16,2183222
2019-11-01 04:00:00,4.17,4.43,4.16,4.385,7974621
2019-11-04 05:00:00,4.44,4.56,4.37,4.45,5021076
2019-11-05 05:00:00,4.47,4.54,4.42,4.455,4128803
2019-11-06 05:00:00,4.44,4.49,4.27,4.44,3936997
2019-11-07 05:00:00,4.42,4.62,4.365,4.4499,5701867
2019-11-08 05:00:00,4.78,5.03,4.52,4.71,14658675
2019-11-11 05:00:00,4.68,4.705,4.29,4.47,8992987
2019-11-12 05:00:00,4.46,4.64,4.38,4.57,3972785
2019-11-13 05:00:00,4.52,4.66,4.425,4.6,3472358
2019-11-14 05:00:00,4.59,4.74,4.575,4.68,3309310
2019-11-15 05:00:00,4.7,4.78,4.59,4.6,3980236
2019-11-18 05:00:00,4.6,4.61,4.14,4.16,7976649
2019-11-19 05:00:00,4.23,4.23,3.98,4.01,5913176
2019-11-20 05:00:00,4.0,4.1,3.95,4.03,4063059
2019-11-21 05:00:00,4.08,4.085,3.94,3.99,4789401
2019-11-22 05:00:00,4.0,4.07,3.96,4.035,3506398
2019-11-25 05:00:00,4.04,4.15,4.0,4.02,4049677
2019-11-26 05:00:00,4.03,4.08,3.9,3.9,4072888
2019-11-27 05:00:00,3.95,3.98,3.9,3.98,3033035
2019-11-29 05:00:00,3.98,4.07,3.93,4.05,1649177
2019-12-02 05:00:00,4.07,4.08,3.82,3.84,4160507
2019-12-03 05:00:00,3.83,3.88,3.69,3.865,3600239
2019-12-04 05:00:00,4.08,4.285,3.81,3.91,13082036
2019-12-05 05:00:00,3.94,4.09,3.94,4.045,4834786
2019-12-06 05:00:00,4.08,4.17,4.02,4.16,4224073
2019-12-09 05:00:00,4.13,4.24,4.03,4.145,4099085
2019-12-10 05:00:00,4.15,4.3,4.08,4.295,3443612
2019-12-11 05:00:00,4.29,4.475,4.26,4.28,3892604
2019-12-12 05:00:00,4.24,4.39,4.225,4.355,2708503
2019-12-13 05:00:00,4.39,4.48,4.31,4.42,2883651
2019-12-16 05:00:00,4.44,4.55,4.41,4.43,2632011
2019-12-17 05:00:00,4.44,4.49,4.37,4.415,2595787
2019-12-18 05:00:00,4.41,4.44,4.33,4.36,2434795
2019-12-19 05:00:00,4.34,4.4218,4.2601,4.36,2639435
2019-12-20 05:00:00,4.37,4.43,4.3,4.38,2511806
2019-12-23 05:00:00,4.39,4.43,4.34,4.405,1845567
2019-12-24 05:00:00,4.39,4.59,4.38,4.58,2252414
2019-12-26 05:00:00,4.58,4.58,4.14,4.19,5746001
2019-12-27 05:00:00,4.25,4.38,4.2,4.29,4080413
2019-12-30 05:00:00,4.27,4.48,4.2,4.275,4679252
2019-12-31 05:00:00,4.25,4.415,4.22,4.33,3844301
2020-01-02 05:00:00,4.4,4.49,4.34,4.405,3373150
2020-01-03 05:00:00,4.32,4.39,4.25,4.33,2705622
2020-01-06 05:00:00,4.28,4.49,4.26,4.465,3761133
2020-01-07 05:00:00,4.44,4.48,4.38,4.405,2733263
2020-01-08 05:00:00,4.41,4.5,4.4,4.425,3132893
2020-01-09 05:00:00,4.45,4.47,4.37,4.435,4222526
2020-01-10 05:00:00,4.4,4.415,4.24,4.28,4835570
2020-01-13 05:00:00,4.25,4.28,4.07,4.26,5411603
2020-01-14 05:00:00,4.23,4.24,4.12,4.15,4275190
2020-01-15 05:00:00,4.16,4.46,4.145,4.24,7524964
