date,open,high,low,close,volume
2019-09-27 04:00:00,3.27,3.53,3.25,3.39,8111415
2019-09-30 04:00:00,3.3,3.35,3.2208,3.31,7517676
2019-10-01 04:00:00,3.38,3.49,2.93,2.9638,15799570
2019-10-02 04:00:00,2.93,3.03,2.67,2.7,21774556
2019-10-03 04:00:00,2.62,2.86,2.5301,2.825,16522265
2019-10-04 04:00:00,2.9,2.91,2.66,2.8142,16884625
2019-10-07 04:00:00,2.83,2.88,2.6603,2.709,11943890
2019-10-08 04:00:00,2.6,2.6773,2.48,2.4862,17094492
2019-10-09 04:00:00,2.63,2.64,2.49,2.55,11705791
2019-10-10 04:00:00,2.6,2.69,2.52,2.64,14536196
2019-10-11 04:00:00,2.745,2.92,2.74,2.83,17604188
2019-10-14 04:00:00,2.67,2.73,2.5,2.685,12275574
2019-10-15 04:00:00,2.67,2.87,2.57,2.71,9825811
2019-10-16 04:00:00,2.7,2.84,2.62,2.63,13546414
2019-10-17 04:00:00,2.66,2.72,2.56,2.695,9071548
2019-10-18 04:00:00,2.71,2.76,2.5,2.5,15186456
2019-10-21 04:00:00,2.5,2.62,2.46,2.59,11135469
2019-10-22 04:00:00,2.62,2.85,2.53,2.72,17101079
2019-10-23 04:00:00,2.69,2.97,2.6,2.88,16942991
2019-10-24 04:00:00,2.955,2.98,2.745,2.85,9928931
2019-10-25 04:00:00,2.82,3.07,2.79,3.03,12258338
2019-10-28 04:00:00,3.09,3.2,2.94,2.945,9826619
2019-10-29 04:00:00,2.87,3.21,2.83,3.1,11288134
2019-10-30 04:00:00,3.2,3.2,2.72,2.75,15971036
2019-10-31 04:00:00,2.59,2.73,2.57,2.71,7807820
2019-11-01 04:00:00,2.82,3.07,2.77,3.01,20347447
2019-11-04 05:00:00,3.19,3.52,3.18,3.42,21511328
2019-11-05 05:00:00,3.53,3.73,3.36,3.43,17173277
2019-11-06 05:00:00,3.39,3.53,3.05,3.1053,19546574
2019-11-07 05:00:00,3.31,3.4,3.2,3.31,13202985
2019-11-08 05:00:00,3.2,3.39,3.08,3.36,10232463
2019-11-11 05:00:00,3.17,3.2997,3.1,3.14,11204552
2019-11-12 05:00:00,3.22,3.27,3.02,3.11,11431917
2019-11-13 05:00:00,3.05,3.1,2.9,2.95,12497180
2019-11-14 05:00:00,3.0,3.06,2.83,2.88,11703655
2019-11-15 05:00:00,2.91,3.05,2.91,2.99,10809772
2019-11-18 05:00:00,2.91,2.93,2.64,2.69,17486756
2019-11-19 05:00:00,2.62,2.65,2.42,2.44,19570489
2019-11-20 05:00:00,2.48,2.62,2.34,2.49,20703633
2019-11-21 05:00:00,2.56,2.61,2.44,2.59,14022658
2019-11-22 05:00:00,25.96,26.69,25.0648,25.97,2131297
2019-11-25 05:00:00,25.66,26.73,25.21,26.62,1083770
2019-11-26 05:00:00,26.79,26.79,24.44,24.7,1915660
2019-11-27 05:00:00,24.79,25.57,24.34,25.36,1481150
2019-11-29 05:00:00,24.35,24.5,23.28,23.38,1256585
2019-12-02 05:00:00,24.0,24.46,23.1751,23.4,1165116
2019-12-03 05:00:00,22.58,23.37,21.8,22.34,2151244
2019-12-04 05:00:00,23.45,25.09,23.16,24.47,2090443
