date,open,high,low,close,volume
2019-09-27 04:00:00,0.58,0.58,0.53,0.53,99397
2019-09-30 04:00:00,0.56,0.5801,0.54,0.5423,100362
2019-10-01 04:00:00,0.54,0.5601,0.5055,0.55,143801
2019-10-02 04:00:00,0.52,0.5579,0.502,0.516,116545
2019-10-03 04:00:00,0.516,0.55,0.515,0.5387,78470
2019-10-04 04:00:00,0.5295,0.5499,0.5,0.515,125667
2019-10-07 04:00:00,0.51,0.57,0.51,0.5412,114736
2019-10-08 04:00:00,0.5682,0.5682,0.52,0.52,87045
2019-10-09 04:00:00,0.523,0.5301,0.4501,0.4728,232009
2019-10-10 04:00:00,0.499,0.505,0.4478,0.48,223972
2019-10-11 04:00:00,0.48,0.5005,0.4277,0.46,226380
2019-10-14 04:00:00,0.45,0.4725,0.417,0.4325,260569
2019-10-15 04:00:00,0.39,0.4567,0.37,0.38,689294
2019-10-16 04:00:00,0.3825,0.42,0.373,0.4151,422587
2019-10-17 04:00:00,0.4216,0.499,0.4201,0.4988,508884
2019-10-18 04:00:00,0.5015,0.561,0.4671,0.5205,367080
2019-10-21 04:00:00,0.5228,0.5471,0.47,0.5,182583
2019-10-22 04:00:00,0.5096,0.579,0.4854,0.5755,480497
2019-10-23 04:00:00,0.533,0.533,0.46,0.4749,331933
2019-10-24 04:00:00,0.391,0.44,0.34,0.3701,2782087
2019-10-25 04:00:00,0.2281,0.28,0.201,0.21,6144185
2019-10-28 04:00:00,0.21,0.21,0.182,0.19,1950480
2019-10-29 04:00:00,0.2,0.2,0.166,0.1701,1971970
2019-10-30 04:00:00,0.1788,0.1811,0.152,0.16,1300256
2019-10-31 04:00:00,0.16705,0.1778,0.16,0.1621,837294
2019-11-01 04:00:00,0.1699,0.174,0.1621,0.165,865595
2019-11-04 05:00:00,0.19,0.19,0.1636,0.166,721968
2019-11-05 05:00:00,0.1792,0.18,0.165,0.17,1070293
2019-11-06 05:00:00,0.17,0.177,0.165,0.1672,615593
2019-11-07 05:00:00,0.17,0.1708,0.161,0.162,577781
2019-11-08 05:00:00,0.163,0.1631,0.1529,0.1536,510269
2019-11-11 05:00:00,0.155,0.1697,0.1531,0.157,747256
2019-11-12 05:00:00,0.1643,0.1699,0.151,0.1525,522473
2019-11-13 05:00:00,0.1601,0.1601,0.1529,0.1535,238550
2019-11-14 05:00:00,0.16,0.175,0.1536,0.1665,4049021
2019-11-15 05:00:00,0.169,0.1701,0.14,0.1475,2532787
2019-11-18 05:00:00,0.15,0.15,0.131,0.1341,1262750
2019-11-19 05:00:00,0.05,0.13,0.05,0.1111,1716812
2019-11-20 05:00:00,0.11,0.12,0.1033,0.1132,899125
2019-11-21 05:00:00,0.115,0.119,0.11,0.1108,427167
2019-11-22 05:00:00,0.1136,0.1198,0.1091,0.115,503943
2019-11-25 05:00:00,0.1176,0.1229,0.111,0.1145,686389
2019-11-26 05:00:00,0.116,0.1166,0.11,0.1125,444504
2019-11-27 05:00:00,0.1112,0.1149,0.106,0.109,1220626
2019-11-29 05:00:00,0.115,0.115,0.109,0.11095,449597
2019-12-02 05:00:00,0.116,0.14,0.11,0.133,2920174
2019-12-03 05:00:00,0.187,0.248,0.1436,0.184,39062723
2019-12-04 05:00:00,0.225,0.3135,0.219,0.289899,63545021
2019-12-05 05:00:00,0.31,0.32,0.248,0.275,22885277
2019-12-06 05:00:00,0.26,0.28,0.2425,0.2749,7619100
2019-12-09 05:00:00,0.28,0.28,0.25,0.2694,4949778
2019-12-10 05:00:00,0.2698,0.31,0.189,0.2441,23563637
2019-12-11 05:00:00,0.2836,0.2836,0.24,0.25055,6434833
2019-12-12 05:00:00,0.245,0.25,0.22,0.2401,4917682
2019-12-13 05:00:00,0.24,0.244,0.1999,0.2239,4956394
2019-12-16 05:00:00,0.205,0.2143,0.19,0.19297,5153611
2019-12-17 05:00:00,0.265,0.275,0.222,0.2337,11555963
2019-12-18 05:00:00,0.225,0.2377,0.2142,0.219,4567835
2019-12-19 05:00:00,0.219,0.219,0.205,0.2141,2320726
2019-12-20 05:00:00,0.2199,0.23,0.205,0.221,2421802
2019-12-23 05:00:00,0.245,0.27,0.231,0.245,5793865
2019-12-24 05:00:00,0.245,0.245,0.23,0.238799,1456988
2019-12-26 05:00:00,0.23,0.239,0.2222,0.2315,2207754
2019-12-27 05:00:00,0.23,0.2398,0.22,0.2325,2688317
2019-12-30 05:00:00,0.24,0.263,0.23,0.2481,5579174
2019-12-31 05:00:00,0.2407,0.26,0.24,0.254,3353428
2020-01-02 05:00:00,0.264,0.31,0.2456,0.296,11872424
2020-01-03 05:00:00,0.31,0.3347,0.28,0.3101,11346610
2020-01-06 05:00:00,0.322,0.343,0.2605,0.2733,18346613
2020-01-07 05:00:00,0.27,0.275,0.25,0.256875,4886807
2020-01-08 05:00:00,0.25,0.285,0.232,0.2779,5550275
2020-01-09 05:00:00,0.28,0.28,0.25,0.264638,2835063
2020-01-10 05:00:00,0.2646,0.2815,0.26,0.2661,3014571
2020-01-13 05:00:00,0.26,0.26,0.21,0.22897,8874487
2020-01-14 05:00:00,0.235,0.236941,0.225,0.226,2431696
2020-01-15 05:00:00,0.224,0.235,0.22,0.224,2571053
2020-01-16 05:00:00,0.25,0.26,0.235,0.242,6122962
2020-01-17 05:00:00,0.2498,0.2498,0.2302,0.2349,3118186
2020-01-21 05:00:00,0.2599,0.32,0.2425,0.314,50530044
2020-01-22 05:00:00,0.306,0.309,0.2631,0.2851,26499980
2020-01-23 05:00:00,0.31,0.34,0.295,0.3038,52422648
2020-01-24 05:00:00,0.3,0.306,0.271,0.279,20684466
2020-01-27 05:00:00,0.3002,0.315,0.28,0.282,9082695
2020-01-28 05:00:00,0.28,0.283124,0.26,0.262,6385894
2020-01-29 05:00:00,0.25,0.26,0.24,0.244,5636788
2020-01-30 05:00:00,0.24,0.305,0.2302,0.29299,35633267
2020-01-31 05:00:00,0.305,0.315,0.2622,0.2749,16376199
2020-02-03 05:00:00,0.284,0.284,0.2529,0.2721,9006749
2020-02-04 05:00:00,0.48,0.52,0.3765,0.43613,92998999
2020-02-05 05:00:00,0.399,0.4085,0.3321,0.3429,24430857
2020-02-06 05:00:00,0.4,0.405,0.356,0.366,19963932
2020-02-07 05:00:00,0.3955,0.397,0.37,0.382904,11868088
2020-02-10 05:00:00,0.38,0.385,0.355,0.3631,8937376
2020-02-11 05:00:00,0.3629,0.367,0.335,0.3465,11234040
2020-02-12 05:00:00,0.348,0.35,0.323,0.3339,5989661
2020-02-13 05:00:00,0.3434,0.385,0.335,0.379068,10520417
2020-02-14 05:00:00,0.39,0.3949,0.34,0.3469,8134861
2020-02-18 05:00:00,0.3455,0.3474,0.315,0.3297,6512715
2020-02-19 05:00:00,0.3292,0.3292,0.29,0.29601,9775347
2020-02-20 05:00:00,0.3,0.37,0.295,0.3449,14590594
2020-02-21 05:00:00,0.28,0.3035,0.2652,0.295,16574971
2020-02-24 05:00:00,0.32,0.32,0.2905,0.3001,11691499
2020-02-25 05:00:00,0.301,0.333,0.281,0.30551,13857860
2020-02-26 05:00:00,0.3015,0.368,0.29,0.3299,24170454
