date,open,high,low,close,volume
2019-09-27 04:00:00,128.61,129.4,126.7,128.6,4771949
2019-09-30 04:00:00,129.07,130.28,129.0,129.41,4781024
2019-10-01 04:00:00,130.02,130.8,129.77,129.96,4398874
2019-10-02 04:00:00,132.76,134.7,131.22,132.01,10425457
2019-10-03 04:00:00,131.64,132.3715,130.01,131.22,4950542
2019-10-04 04:00:00,131.34,133.72,131.25,133.61,5731323
2019-10-07 04:00:00,133.09,133.825,132.1446,133.18,4090028
2019-10-08 04:00:00,132.45,133.265,131.49,131.86,5723802
2019-10-09 04:00:00,131.14,131.25,128.52,129.23,6893099
2019-10-10 04:00:00,128.95,130.1179,128.63,129.02,4238868
2019-10-11 04:00:00,131.14,132.62,130.82,131.31,6330698
2019-10-14 04:00:00,130.8,131.18,130.42,130.66,4089409
2019-10-15 04:00:00,133.0,134.25,132.1,132.79,8602990
2019-10-16 04:00:00,134.9,136.59,133.8,135.26,10836652
2019-10-17 04:00:00,135.96,137.49,135.65,136.21,7395521
2019-10-18 04:00:00,133.31,134.3875,127.72,127.74,24216613
2019-10-21 04:00:00,128.67,129.67,127.06,128.0,12155965
2019-10-22 04:00:00,128.76,130.54,128.09,129.2,7040060
2019-10-23 04:00:00,129.66,130.48,129.07,129.82,4793461
2019-10-24 04:00:00,130.42,130.58,126.1,127.47,10543163
2019-10-25 04:00:00,127.83,129.1,127.31,128.35,5923042
2019-10-28 04:00:00,128.62,130.0,128.51,129.16,5827753
2019-10-29 04:00:00,129.7,129.97,128.56,129.1244,3502497
2019-10-30 04:00:00,133.3,133.53,131.73,132.825,8831989
2019-10-31 04:00:00,131.18,132.25,131.01,132.08,3503834
2019-11-01 04:00:00,132.05,133.0,131.14,131.22,3637210
2019-11-04 05:00:00,131.8,131.95,130.09,130.25,4783710
2019-11-05 05:00:00,130.53,131.47,129.68,130.42,4650959
2019-11-06 05:00:00,130.42,131.48,129.7,130.96,3349382
2019-11-07 05:00:00,131.73,132.38,131.01,131.56,4757646
2019-11-08 05:00:00,131.3,133.04,130.97,132.97,4047354
2019-11-11 05:00:00,132.27,132.5247,131.33,131.97,3156536
2019-11-12 05:00:00,132.0,132.09,131.02,131.39,3921117
2019-11-13 05:00:00,131.04,131.487,130.72,131.26,4369083
2019-11-14 05:00:00,131.03,131.36,130.14,131.0,3408000
2019-11-15 05:00:00,131.25,134.97,130.78,134.9,7367795
2019-11-18 05:00:00,134.22,135.69,132.66,134.86,7141566
2019-11-19 05:00:00,135.0,135.19,134.21,134.8,3486534
2019-11-20 05:00:00,135.11,136.34,134.07,135.95,5225319
2019-11-21 05:00:00,135.94,136.85,135.0,136.46,4622714
2019-11-22 05:00:00,136.65,138.63,136.5,138.035,7522695
2019-11-25 05:00:00,137.06,137.65,136.24,137.2,4434132
2019-11-26 05:00:00,136.47,137.34,135.15,137.12,6035664
2019-11-27 05:00:00,137.16,138.25,136.9,137.75,3211577
2019-11-29 05:00:00,137.6,138.27,136.94,137.58,2339659
2019-12-02 05:00:00,137.72,137.85,136.85,137.48,3532130
