date,open,high,low,close,volume
2019-09-27 04:00:00,54.56,54.635,54.0,54.32,5650510
2019-09-30 04:00:00,54.15,54.68,54.15,54.43,6521597
2019-10-01 04:00:00,54.53,54.78,54.01,54.65,10815924
2019-10-02 04:00:00,54.21,54.435,52.9,53.11,11328101
2019-10-03 04:00:00,53.5,53.9773,52.8236,53.85,10097682
2019-10-04 04:00:00,54.0,54.54,53.89,54.53,5670418
2019-10-07 04:00:00,54.33,54.36,53.77,53.87,4792056
2019-10-08 04:00:00,53.88,54.07,53.45,53.57,9251208
2019-10-09 04:00:00,54.06,54.065,53.535,53.83,6042691
2019-10-10 04:00:00,53.55,53.88,53.36,53.68,6778144
2019-10-11 04:00:00,53.65,53.7,53.195,53.29,7509785
2019-10-14 04:00:00,53.37,53.68,53.22,53.3,5578289
2019-10-15 04:00:00,53.43,53.68,53.27,53.51,6593375
2019-10-16 04:00:00,53.46,53.57,53.1341,53.49,7607532
2019-10-17 04:00:00,53.69,54.12,53.58,53.81,9847221
2019-10-18 04:00:00,55.0,55.39,54.45,54.78,16485212
2019-10-21 04:00:00,54.45,54.56,53.68,54.24,10008681
2019-10-22 04:00:00,54.23,54.42,53.74,53.87,7500372
2019-10-23 04:00:00,54.06,54.66,54.01,54.65,7062294
2019-10-24 04:00:00,54.57,54.817,54.485,54.62,5377200
2019-10-25 04:00:00,54.55,54.56,53.67,53.73,7674501
2019-10-28 04:00:00,53.74,53.95,53.37,53.56,7211643
2019-10-29 04:00:00,53.39,53.66,53.26,53.41,6817797
2019-10-30 04:00:00,53.52,54.05,53.16,53.94,6584984
2019-10-31 04:00:00,53.97,54.47,53.85,54.43,5971130
2019-11-01 04:00:00,54.63,54.67,53.85,53.9,7730702
2019-11-04 05:00:00,53.96,54.0,52.97,53.14,13238344
2019-11-05 05:00:00,52.89,52.89,52.12,52.42,15880191
2019-11-06 05:00:00,52.53,52.8,52.41,52.79,10297397
2019-11-07 05:00:00,52.88,53.0,51.96,52.3,10018569
2019-11-08 05:00:00,52.46,52.6,52.09,52.2,5792427
2019-11-11 05:00:00,52.33,52.37,51.775,51.84,6577735
2019-11-12 05:00:00,51.91,51.91,51.5831,51.71,9632046
