date,open,high,low,close,volume
2019-09-27 04:00:00,2.69,2.73,2.62,2.65,55050
2019-09-30 04:00:00,2.67,2.67,2.595,2.64,36787
2019-10-01 04:00:00,2.67,2.67,2.48,2.53,76377
2019-10-02 04:00:00,2.55,2.55,2.43,2.5,63836
2019-10-03 04:00:00,2.51,2.54,2.41,2.51,43645
2019-10-04 04:00:00,2.56,2.6,2.4796,2.55,48783
2019-10-07 04:00:00,2.51,2.55,2.51,2.52,40302
2019-10-08 04:00:00,2.5,2.65,2.48,2.5855,136607
2019-10-09 04:00:00,2.6,2.6,2.55,2.55,29879
2019-10-10 04:00:00,2.53,2.59,2.49,2.4999,34338
2019-10-11 04:00:00,2.5,2.5,2.41,2.4601,73299
2019-10-14 04:00:00,2.42,2.48,2.42,2.48,29763
2019-10-15 04:00:00,2.47,2.51,2.43,2.47,45822
2019-10-16 04:00:00,2.47,2.49,2.41,2.42,31412
2019-10-17 04:00:00,2.45,2.45,2.4,2.405,27624
2019-10-18 04:00:00,2.42,2.49,2.42,2.48,79881
2019-10-21 04:00:00,2.51,2.57,2.4627,2.57,53870
2019-10-22 04:00:00,2.52,2.59,2.4971,2.59,28325
2019-10-23 04:00:00,2.56,2.74,2.52,2.7,170953
2019-10-24 04:00:00,2.68,2.75,2.64,2.7,148156
2019-10-25 04:00:00,2.71,2.8,2.673,2.69,77527
2019-10-28 04:00:00,2.7,2.73,2.62,2.67,76463
2019-10-29 04:00:00,2.65,2.7,2.6,2.7,48442
2019-10-30 04:00:00,2.65,2.6931,2.64,2.67,39705
2019-10-31 04:00:00,2.61,2.67,2.61,2.67,14798
2019-11-01 04:00:00,2.66,2.7,2.6314,2.66,32379
2019-11-04 05:00:00,2.69,2.72,2.64,2.69,52038
2019-11-05 05:00:00,2.69,2.8,2.66,2.72,190441
2019-11-06 05:00:00,2.7,2.7035,2.66,2.69,41649
2019-11-07 05:00:00,2.66,2.7,2.56,2.67,109210
2019-11-08 05:00:00,2.7,2.7,2.48,2.54,116492
2019-11-11 05:00:00,2.45,2.535,2.45,2.5,412623
2019-11-12 05:00:00,2.48,2.52,2.41,2.44,65150
2019-11-13 05:00:00,2.41,2.48,2.36,2.41,252043
2019-11-14 05:00:00,2.36,2.4,2.36,2.36,38776
2019-11-15 05:00:00,2.33,2.45,2.33,2.44,67730
2019-11-18 05:00:00,2.43,2.51,2.4,2.5,45132
2019-11-19 05:00:00,2.46,2.55,2.46,2.475,123063
2019-11-20 05:00:00,2.5,2.55,2.47,2.47,34939
2019-11-21 05:00:00,2.42,2.4485,2.36,2.42,111432
2019-11-22 05:00:00,2.4,2.43,2.39,2.39,111923
2019-11-25 05:00:00,2.45,2.45,2.39,2.42,69284
2019-11-26 05:00:00,2.4,2.44,2.39,2.41,87764
2019-11-27 05:00:00,2.38,2.8,2.37,2.65,634874
2019-11-29 05:00:00,2.65,2.72,2.54,2.7001,51816
2019-12-02 05:00:00,2.7,2.7,2.56,2.57,170788
2019-12-03 05:00:00,2.62,2.62,2.51,2.51,76916
2019-12-04 05:00:00,2.48,2.58,2.4601,2.49,47652
2019-12-05 05:00:00,2.46,2.6379,2.46,2.61,105279
2019-12-06 05:00:00,2.68,2.9,2.65,2.71,420153
2019-12-09 05:00:00,2.75,2.95,2.7139,2.8401,263067
2019-12-10 05:00:00,2.85,2.9094,2.72,2.7686,146234
2019-12-11 05:00:00,2.72,3.24,2.68,2.97,782019
2019-12-12 05:00:00,3.0,3.29,3.0,3.15,614094
2019-12-13 05:00:00,3.16,3.1671,2.99,3.1,243512
2019-12-16 05:00:00,3.11,3.11,2.93,3.01,272913
2019-12-17 05:00:00,3.0,3.3882,2.95,3.28,364371
2019-12-18 05:00:00,3.25,3.7566,3.25,3.65,1055789
2019-12-19 05:00:00,3.64,3.65,3.33,3.49,410784
2019-12-20 05:00:00,3.47,3.55,3.35,3.39,164650
2019-12-23 05:00:00,3.39,3.69,3.35,3.58,372520
2019-12-24 05:00:00,3.61,3.64,3.51,3.55,86925
2019-12-26 05:00:00,3.58,3.58,3.45,3.52,148419
2019-12-27 05:00:00,3.49,4.07,3.34,3.83,849529
2019-12-30 05:00:00,3.87,4.39,3.85,4.14,885743
2019-12-31 05:00:00,4.2,4.775,4.2,4.67,967347
2020-01-02 05:00:00,4.52,4.6,3.87,4.1078,1069560
2020-01-03 05:00:00,4.0,4.19,3.92,4.03,244634
2020-01-06 05:00:00,4.0,4.03,3.75,3.77,365561
2020-01-07 05:00:00,3.71,3.72,3.26,3.29,744815
2020-01-08 05:00:00,3.31,3.4671,3.21,3.21,443072
2020-01-09 05:00:00,3.26,3.48,3.22,3.23,405155
2020-01-10 05:00:00,3.3,3.6,3.26,3.39,510103
2020-01-13 05:00:00,3.47,3.8,3.41,3.76,821073
2020-01-14 05:00:00,3.77,4.09,3.64,3.67,692766
2020-01-15 05:00:00,3.62,3.84,3.62,3.72,223315
2020-01-16 05:00:00,3.71,3.85,3.65,3.79,193304
2020-01-17 05:00:00,3.81,3.82,3.52,3.68,255302
2020-01-21 05:00:00,3.63,3.75,3.6,3.67,333910
2020-01-22 05:00:00,3.67,3.96,3.64,3.88,447046
2020-01-23 05:00:00,3.92,3.9285,3.6109,3.69,588044
2020-01-24 05:00:00,3.79,3.79,3.55,3.56,490506
2020-01-27 05:00:00,3.5,3.56,3.3568,3.5,168944
2020-01-28 05:00:00,3.52,3.63,3.49,3.56,115776
2020-01-29 05:00:00,3.58,3.64,3.455,3.52,178830
2020-01-30 05:00:00,3.57,3.57,3.32,3.49,188734
2020-01-31 05:00:00,3.46,3.55,3.41,3.41,95196
2020-02-03 05:00:00,3.4,3.47,3.34,3.36,110849
2020-02-04 05:00:00,3.35,3.53,3.32,3.51,134026
2020-02-05 05:00:00,3.51,3.56,3.43,3.49,75256
2020-02-06 05:00:00,3.4,3.55,3.4,3.43,107937
2020-02-07 05:00:00,3.43,3.56,3.4,3.54,150084
2020-02-10 05:00:00,3.48,3.55,3.27,3.36,231087
2020-02-11 05:00:00,3.37,3.4588,3.3401,3.39,187531
2020-02-12 05:00:00,3.4,3.48,3.4,3.47,82303
2020-02-13 05:00:00,3.45,3.55,3.4,3.53,200717
2020-02-14 05:00:00,3.54,3.6,3.46,3.6,212393
2020-02-18 05:00:00,3.55,3.6,3.47,3.58,165497
2020-02-19 05:00:00,3.6,3.65,3.51,3.6,95970
2020-02-20 05:00:00,3.51,3.6,3.426,3.57,213841
2020-02-21 05:00:00,3.54,3.555,3.43,3.48,120315
2020-02-24 05:00:00,3.31,3.35,3.17,3.23,317346
2020-02-25 05:00:00,3.23,3.2802,3.2,3.21,275471
2020-02-26 05:00:00,3.2,3.32,3.08,3.13,178911
2020-02-27 05:00:00,3.06,3.18,3.02,3.03,197497
2020-02-28 05:00:00,2.88,3.125,2.8703,3.09,248663
2020-03-02 05:00:00,3.11,3.2,3.02,3.15,162728
2020-03-03 05:00:00,3.14,3.14,2.865,2.92,137897
2020-03-04 05:00:00,3.05,3.05,2.91,2.94,75284
2020-03-05 05:00:00,2.89,2.9297,2.53,2.59,311648
2020-03-06 05:00:00,2.6,2.6948,2.6,2.61,423196
2020-03-09 04:00:00,2.4,2.44,2.181,2.26,644136
2020-03-10 04:00:00,2.48,2.5,2.4,2.45,599374
2020-03-11 04:00:00,2.35,2.39,2.25,2.35,447602
2020-03-12 04:00:00,2.18,2.2,2.0,2.05,480506
2020-03-13 04:00:00,2.19,2.19,1.87,2.01,587774
2020-03-16 04:00:00,2.0,2.0,1.74,1.89,743390
2020-03-17 04:00:00,1.81,1.99,1.7,1.84,749894
2020-03-18 04:00:00,1.73,2.0,1.55,1.61,1061488
2020-03-19 04:00:00,1.62,1.79,1.62,1.67,932998
2020-03-20 04:00:00,1.71,2.0,1.6,1.62,1099736
2020-03-23 04:00:00,1.61,1.68,1.5,1.61,726518
2020-03-24 04:00:00,1.68,1.85,1.68,1.74,746952
2020-03-25 04:00:00,1.85,1.98,1.79,1.84,1156088
2020-03-26 04:00:00,1.81,1.91,1.77,1.83,940080
2020-03-27 04:00:00,1.8,1.81,1.6701,1.69,404086
2020-03-30 04:00:00,1.76,1.8,1.7278,1.74,434274
2020-03-31 04:00:00,1.85,1.85,1.69,1.72,420294
2020-04-01 04:00:00,1.62,1.74,1.61,1.63,300226
2020-04-02 04:00:00,1.61,1.77,1.6,1.65,617550
2020-04-03 04:00:00,1.67,1.69,1.57,1.59,337170
2020-04-06 04:00:00,1.67,1.775,1.6501,1.73,616504
2020-04-07 04:00:00,1.83,1.8957,1.7449,1.81,525730
2020-04-08 04:00:00,1.84,2.0,1.81,1.98,455386
2020-04-09 04:00:00,2.03,2.1799,2.03,2.14,560306
2020-04-13 04:00:00,2.2,2.2,2.08,2.16,207896
2020-04-14 04:00:00,2.2,2.41,2.14,2.22,408336
2020-04-15 04:00:00,2.23,2.23,2.0058,2.13,255006
2020-04-16 04:00:00,2.15,2.16,2.07,2.14,146486
2020-04-17 04:00:00,2.21,2.21,2.0865,2.14,176316
2020-04-20 04:00:00,2.14,2.15,2.0399,2.04,269888
2020-04-21 04:00:00,2.07,2.08,1.91,1.96,364540
