date,open,high,low,close,volume
2019-09-27 04:00:00,6.44,6.555,6.27,6.3,3551860
2019-09-30 04:00:00,6.23,6.29,6.08,6.23,3230656
2019-10-01 04:00:00,6.23,6.3088,5.91,6.03,4058207
2019-10-02 04:00:00,6.0,6.04,5.6,5.6505,4066114
2019-10-03 04:00:00,5.61,5.76,5.59,5.7,2216609
2019-10-04 04:00:00,5.73,5.8,5.38,5.435,5885914
2019-10-07 04:00:00,5.45,5.59,5.4,5.41,6246689
2019-10-08 04:00:00,5.35,5.5,5.28,5.28,5744557
2019-10-09 04:00:00,5.36,5.38,5.2,5.33,4266880
2019-10-10 04:00:00,5.32,5.4,5.29,5.35,3717262
2019-10-11 04:00:00,5.41,5.69,5.41,5.61,4848602
2019-10-14 04:00:00,5.52,5.66,5.405,5.59,3187434
2019-10-15 04:00:00,5.57,5.725,5.47,5.48,3831907
2019-10-16 04:00:00,5.47,5.59,5.45,5.51,2619376
2019-10-17 04:00:00,5.53,5.61,5.43,5.55,5453790
2019-10-18 04:00:00,5.57,5.625,5.53,5.59,3596320
2019-10-21 04:00:00,5.6,5.645,5.485,5.53,3744306
2019-10-22 04:00:00,5.55,5.845,5.495,5.74,3326876
2019-10-23 04:00:00,5.73,5.93,5.6,5.835,13453468
2019-10-24 04:00:00,5.91,5.94,5.745,5.8,1961609
2019-10-25 04:00:00,5.8,5.9,5.705,5.88,3600196
2019-10-28 04:00:00,5.93,6.17,5.92,6.0,4309882
2019-10-29 04:00:00,5.93,6.35,5.92,6.23,5820222
2019-10-30 04:00:00,6.24,6.32,6.11,6.13,5072322
2019-10-31 04:00:00,6.035,6.215,6.03,6.2,2143134
2019-11-01 04:00:00,6.28,6.39,6.25,6.3,9066729
2019-11-04 05:00:00,7.02,7.05,6.6,6.65,12444667
2019-11-05 05:00:00,6.73,6.95,6.68,6.85,8112257
2019-11-06 05:00:00,6.84,7.07,6.78,6.82,8756741
2019-11-07 05:00:00,6.92,7.36,6.92,7.33,6195497
2019-11-08 05:00:00,7.26,7.54,7.15,7.32,6672237
2019-11-11 05:00:00,7.21,7.39,7.16,7.31,4031907
2019-11-12 05:00:00,7.35,7.55,7.3,7.48,3605845
2019-11-13 05:00:00,7.45,7.51,7.22,7.31,3686930
2019-11-14 05:00:00,7.31,7.425,7.0,7.08,4098463
2019-11-15 05:00:00,7.14,7.28,7.05,7.23,3509928
2019-11-18 05:00:00,7.2,7.22,6.93,6.97,3061497
2019-11-19 05:00:00,6.97,7.0,6.83,6.87,2560731
2019-11-20 05:00:00,6.82,7.07,6.8,6.94,4111506
2019-11-21 05:00:00,6.95,7.27,6.95,7.21,3705770
2019-11-22 05:00:00,7.23,7.26,6.91,6.96,4005866
2019-11-25 05:00:00,6.96,6.99,6.83,6.87,5432230
2019-11-26 05:00:00,6.65,6.75,6.37,6.42,6188709
2019-11-27 05:00:00,6.45,6.45,6.19,6.23,2961020
2019-11-29 05:00:00,6.15,6.235,5.96,5.97,2332743
2019-12-02 05:00:00,6.02,6.04,5.85,5.905,7059082
2019-12-03 05:00:00,5.85,6.06,5.85,5.97,5255560
2019-12-04 05:00:00,6.06,6.28,6.04,6.15,3949062
