date,open,high,low,close,volume
2019-09-27 04:00:00,54.9,55.17,54.06,54.35,2762471
2019-09-30 04:00:00,54.4,54.69,53.73,54.0,3156689
2019-10-01 04:00:00,54.29,54.9,53.29,53.37,3819782
2019-10-02 04:00:00,52.72,53.0,51.19,52.04,4481313
2019-10-03 04:00:00,52.04,52.44,51.26,52.27,3728475
2019-10-04 04:00:00,52.16,52.99,52.16,52.78,2436074
2019-10-07 04:00:00,53.0,53.45,52.78,53.03,2147336
2019-10-08 04:00:00,52.73,53.715,52.41,53.02,3068613
2019-10-09 04:00:00,53.57,54.14,53.13,53.47,3395174
2019-10-10 04:00:00,52.7,53.84,52.6,53.67,2601863
2019-10-11 04:00:00,54.37,54.61,53.88,53.91,2580419
2019-10-14 04:00:00,53.895,54.3,53.895,54.02,1674088
2019-10-15 04:00:00,53.99,54.78,53.65,54.15,3115984
2019-10-16 04:00:00,54.16,54.6,53.655,53.67,3197239
2019-10-17 04:00:00,54.05,54.21,53.69,53.84,3140767
2019-10-18 04:00:00,53.87,54.72,53.45,53.46,5792857
2019-10-21 04:00:00,54.31,54.31,53.14,53.22,6189766
2019-10-22 04:00:00,53.12,53.51,52.29,52.91,4910242
2019-10-23 04:00:00,52.93,53.41,52.66,53.2,4083365
2019-10-24 04:00:00,54.2,57.1,54.2,56.28,9031647
2019-10-25 04:00:00,56.07,56.8,55.73,56.73,3670106
2019-10-28 04:00:00,56.92,57.82,56.83,57.63,4364417
2019-10-29 04:00:00,57.61,57.9,57.145,57.21,2615470
2019-10-30 04:00:00,57.19,57.27,56.48,57.04,1984820
2019-10-31 04:00:00,55.91,56.24,55.76,56.13,1478529
2019-11-01 04:00:00,56.34,56.37,55.85,56.27,1885617
2019-11-04 05:00:00,56.53,56.99,56.37,56.98,1802440
2019-11-05 05:00:00,57.16,57.98,57.01,57.89,2455316
2019-11-06 05:00:00,57.9,57.9,57.04,57.86,2178248
2019-11-07 05:00:00,58.0,58.495,57.86,58.26,2391034
2019-11-08 05:00:00,58.2,58.35,57.8892,58.17,2002165
2019-11-11 05:00:00,58.01,58.295,57.2,58.26,2933107
2019-11-12 05:00:00,58.34,58.41,57.665,57.87,1533650
2019-11-13 05:00:00,57.6,57.8401,57.45,57.59,1411902
2019-11-14 05:00:00,57.24,57.72,57.08,57.63,1651358
2019-11-15 05:00:00,57.89,58.15,57.68,57.81,1284625
2019-11-18 05:00:00,57.68,57.8,57.195,57.76,1424988
2019-11-19 05:00:00,57.99,58.05,57.2968,57.54,1677400
2019-11-20 05:00:00,57.33,57.485,56.26,56.83,2567941
2019-11-21 05:00:00,56.85,57.07,56.54,56.59,1722105
2019-11-22 05:00:00,56.81,57.12,56.6,57.0,1316876
2019-11-25 05:00:00,57.2,57.77,56.84,57.56,1711561
2019-11-26 05:00:00,57.78,57.89,57.12,57.61,1957976
2019-11-27 05:00:00,57.67,57.95,57.39,57.75,1325399
2019-11-29 05:00:00,57.75,57.95,57.465,57.64,850611
2019-12-02 05:00:00,57.6,57.8,56.7,56.71,2129527
2019-12-03 05:00:00,56.2,56.34,55.62,55.93,2977507
2019-12-04 05:00:00,56.08,56.55,55.76,55.79,2538384
2019-12-05 05:00:00,56.05,56.18,55.49,55.53,2184827
2019-12-06 05:00:00,55.82,56.27,55.77,55.94,1667729
2019-12-09 05:00:00,55.81,55.94,55.4101,55.459,1909428
2019-12-10 05:00:00,55.29,55.58,54.755,54.92,2488539
2019-12-11 05:00:00,54.54,54.85,53.81,53.98,3993465
2019-12-12 05:00:00,54.46,55.42,54.16,54.48,3483915
2019-12-13 05:00:00,54.34,54.85,54.13,54.14,1986756
2019-12-16 05:00:00,54.55,54.925,54.335,54.34,2614957
2019-12-17 05:00:00,54.3,55.11,54.02,54.17,3081693
2019-12-18 05:00:00,54.35,54.52,53.425,53.61,3368835
2019-12-19 05:00:00,53.51,54.2,53.51,54.1,2958023
2019-12-20 05:00:00,54.28,54.7,54.01,54.62,4618690
2019-12-23 05:00:00,54.81,56.09,54.67,55.25,6022313
2019-12-24 05:00:00,55.27,55.3235,54.67,54.92,1179823
2019-12-26 05:00:00,54.94,55.34,54.6,54.91,1584865
2019-12-27 05:00:00,54.97,55.0,54.06,54.33,2281367
2019-12-30 05:00:00,54.32,54.4,53.82,54.09,2269148
2019-12-31 05:00:00,54.04,54.12,53.82,53.98,2303643
2020-01-02 05:00:00,54.38,54.87,54.285,54.85,2874807
2020-01-03 05:00:00,53.6,54.42,53.04,54.33,2920067
2020-01-06 05:00:00,53.69,54.56,53.48,54.14,3127299
2020-01-07 05:00:00,54.33,54.4,53.88,54.29,2162798
2020-01-08 05:00:00,53.68,54.66,53.64,54.37,3397899
2020-01-09 05:00:00,54.5,54.82,54.2,54.3,3102653
2020-01-10 05:00:00,54.35,54.4,53.69,53.94,3585318
2020-01-13 05:00:00,53.94,54.075,53.605,54.005,3307045
2020-01-14 05:00:00,54.58,55.175,54.34,54.49,3385738
2020-01-15 05:00:00,54.29,55.095,54.115,55.05,2364648
2020-01-16 05:00:00,55.38,55.68,55.075,55.31,2118427
2020-01-17 05:00:00,55.2,55.49,54.76,55.01,2752176
2020-01-21 05:00:00,54.63,55.07,53.18,53.54,11707525
2020-01-22 05:00:00,53.9,54.28,53.46,53.49,8922849
2020-01-23 05:00:00,53.0,55.46,51.85,55.4,12028929
2020-01-24 05:00:00,55.61,56.56,54.96,56.55,14222222
2020-01-27 05:00:00,55.23,56.66,55.15,56.25,7329761
2020-01-28 05:00:00,56.59,57.73,56.39,57.605,5390309
2020-01-29 05:00:00,57.75,58.1902,56.82,56.89,5451992
2020-01-30 05:00:00,55.31,56.47,55.22,55.83,4553635
2020-01-31 05:00:00,55.62,55.92,54.63,54.97,4481788
2020-02-03 05:00:00,55.41,55.734,54.69,55.22,2867808
2020-02-04 05:00:00,55.99,56.365,55.5,55.69,2579673
2020-02-05 05:00:00,56.43,57.23,56.2,56.95,2705723
2020-02-06 05:00:00,57.38,58.01,57.075,57.72,3633589
2020-02-07 05:00:00,57.46,57.71,56.99,57.26,2120817
2020-02-10 05:00:00,57.2,57.49,56.53,57.44,1943011
2020-02-11 05:00:00,57.82,58.585,57.59,57.93,2484002
2020-02-12 05:00:00,58.27,58.655,58.0,58.49,1890792
2020-02-13 05:00:00,58.06,58.685,57.845,58.54,2082693
2020-02-14 05:00:00,58.68,58.83,57.89,57.99,1756717
2020-02-18 05:00:00,58.0,58.34,57.38,57.6,1912562
2020-02-19 05:00:00,57.68,57.74,57.07,57.08,1651837
2020-02-20 05:00:00,57.04,57.51,56.71,56.92,2174023
2020-02-21 05:00:00,56.53,56.8,55.46,56.52,1914137
2020-02-24 05:00:00,54.87,54.99,53.3529,54.11,5992300
2020-02-25 05:00:00,54.41,54.5,49.55,49.67,7833615
2020-02-26 05:00:00,50.09,50.48,48.08,48.86,8153918
2020-02-27 05:00:00,47.15,49.2057,45.64,46.62,9191164
2020-02-28 05:00:00,45.07,46.77,44.98,46.22,10011687
2020-03-02 05:00:00,46.54,47.18,44.34,46.97,7823861
2020-03-03 05:00:00,47.54,48.3934,45.05,45.2,6349485
2020-03-04 05:00:00,45.89,47.065,44.855,46.92,7889264
2020-03-05 05:00:00,45.06,45.7,44.18,45.24,13677439
2020-03-06 05:00:00,43.56,46.8,42.72,45.74,19544518
2020-03-09 04:00:00,42.9,45.61,42.75,43.58,17275654
2020-03-10 04:00:00,45.28,45.85,42.51,45.58,16863752
2020-03-11 04:00:00,43.99,44.38,41.63,42.48,18777980
2020-03-12 04:00:00,39.33,40.6,35.6101,36.07,29867678
2020-03-13 04:00:00,39.19,41.28,36.31,41.28,25792596
2020-03-16 04:00:00,36.5,39.45,35.85,37.52,27756286
2020-03-17 04:00:00,38.21,40.69,36.0,38.25,13825022
2020-03-18 04:00:00,35.78,36.42,29.15,35.15,24561659
2020-03-19 04:00:00,34.65,35.05,30.5,30.85,33818030
2020-03-20 04:00:00,32.06,33.95,29.65,31.94,23991516
2020-03-23 04:00:00,31.69,34.49,30.25,33.72,17946010
2020-03-24 04:00:00,38.2,39.13,36.05,37.66,23539260
2020-03-25 04:00:00,41.52,41.7262,37.31,39.33,29720640
2020-03-26 04:00:00,40.9,43.56,40.06,41.2,16850432
2020-03-27 04:00:00,39.84,40.135,36.1,36.375,15633688
2020-03-30 04:00:00,35.52,37.15,34.5,35.105,13905726
2020-03-31 04:00:00,35.27,37.47,34.95,35.57,13872460
2020-04-01 04:00:00,34.05,34.2,31.81,32.0301,14560242
2020-04-02 04:00:00,32.11,32.84,30.87,31.51,14379710
2020-04-03 04:00:00,31.33,31.87,29.73,30.54,17416466
2020-04-06 04:00:00,31.79,31.96,30.0,30.7,24486264
2020-04-07 04:00:00,33.84,35.43,32.32,32.77,25163208
2020-04-08 04:00:00,33.56,34.78,32.63,34.29,16509138
2020-04-09 04:00:00,36.3,37.31,35.13,36.5,19283226
2020-04-13 04:00:00,36.72,36.72,33.75,34.26,17206012
2020-04-14 04:00:00,35.17,36.05,34.71,34.77,15193604
2020-04-15 04:00:00,35.15,35.26,32.52,32.83,37923898
2020-04-16 04:00:00,32.12,32.35,30.2,30.66,33134402
2020-04-17 04:00:00,32.5,32.95,30.9,31.19,33417460
2020-04-20 04:00:00,30.64,31.48,29.51,31.05,26562376
2020-04-21 04:00:00,30.05,31.23,29.6,30.11,21951924
2020-04-22 04:00:00,30.63,30.81,28.8,29.76,28363668
2020-04-23 04:00:00,29.81,30.775,29.59,30.1,20659380
2020-04-24 04:00:00,30.2,30.43,28.8,29.33,26914536
2020-04-27 04:00:00,29.79,29.91,28.85,29.105,26584338
2020-04-28 04:00:00,29.12,30.48,28.25,29.72,103454776
2020-04-29 04:00:00,29.49,31.795,29.43,30.97,175427386
2020-04-30 04:00:00,30.71,31.69,30.18,31.24,105483346
2020-05-01 04:00:00,30.5,30.955,28.75,29.23,67866166
2020-05-04 04:00:00,27.23,27.94,26.5,27.59,80229789
2020-05-05 04:00:00,28.07,28.13,26.175,26.42,63686102
2020-05-06 04:00:00,26.55,26.74,24.77,24.92,70915224
2020-05-07 04:00:00,24.99,26.27,24.95,25.44,46441926
2020-05-08 04:00:00,26.04,27.23,25.91,27.1887,34017788
2020-05-11 04:00:00,26.62,26.86,25.78,26.08,37351996
2020-05-12 04:00:00,26.19,26.62,25.14,25.21,30987788
2020-05-13 04:00:00,25.02,25.1,23.52,23.99,43997420
2020-05-14 04:00:00,23.38,24.81,22.465,24.77,44434262
