date,open,high,low,close,volume
2019-09-27 04:00:00,42.89,42.9,40.86,41.38,6235694
2019-09-30 04:00:00,41.41,41.59,40.56,40.86,3768578
2019-10-01 04:00:00,40.82,40.96,38.68,39.57,7759914
2019-10-02 04:00:00,38.63,39.305,37.9201,38.44,7290200
2019-10-03 04:00:00,38.44,39.66,38.01,39.52,4897068
2019-10-04 04:00:00,39.38,39.74,38.32,39.15,7165648
2019-10-07 04:00:00,39.55,40.13,39.1138,39.25,7480218
2019-10-08 04:00:00,38.8,39.24,38.07,38.69,6439518
2019-10-09 04:00:00,38.7,38.75,38.01,38.19,6901970
2019-10-10 04:00:00,38.39,38.7,37.0678,37.695,13256417
2019-10-11 04:00:00,37.9,39.92,37.9,39.48,13103914
2019-10-14 04:00:00,39.71,40.31,39.25,39.81,8527819
2019-10-15 04:00:00,39.8,41.18,39.65,41.08,10965008
2019-10-16 04:00:00,40.9,41.02,39.85,40.49,8608655
2019-10-17 04:00:00,40.53,42.07,40.21,41.7,11951194
2019-10-18 04:00:00,41.61,41.66,40.35,40.74,9190954
2019-10-21 04:00:00,41.31,41.67,40.57,40.88,2499722
2019-10-22 04:00:00,41.15,45.36,40.06,43.59,19084188
2019-10-23 04:00:00,43.67,44.19,42.88,43.08,4619266
2019-10-24 04:00:00,43.01,43.75,42.12,43.71,3943822
2019-10-25 04:00:00,43.71,44.68,43.38,44.5345,4844309
2019-10-28 04:00:00,44.68,44.78,43.55,44.42,4484924
2019-10-29 04:00:00,44.25,44.25,42.58,43.67,3753511
2019-10-30 04:00:00,43.45,44.21,43.0002,44.1409,6523645
2019-10-31 04:00:00,45.63,45.82,41.16,41.41,15581078
2019-11-01 04:00:00,41.7,43.32,41.61,42.99,7231710
2019-11-04 05:00:00,43.0,43.8,42.37,42.83,5862157
2019-11-05 05:00:00,42.4,43.09,41.25,41.37,6487809
2019-11-06 05:00:00,40.6,43.275,40.48,42.96,9236085
2019-11-07 05:00:00,43.31,43.64,42.27,43.3,5957684
2019-11-08 05:00:00,43.23,43.38,42.53,43.19,4633600
2019-11-11 05:00:00,42.85,43.01,41.8,42.99,3739100
2019-11-12 05:00:00,42.74,43.45,42.2,42.32,4166039
2019-11-13 05:00:00,42.2,43.43,42.01,43.27,3780406
2019-11-14 05:00:00,42.83,42.91,40.65,41.9,8641453
2019-11-15 05:00:00,42.18,43.93,41.73,43.02,7185086
2019-11-18 05:00:00,43.29,45.36,42.8,44.87,8502490
2019-11-19 05:00:00,45.0,45.0,43.81,44.14,3681992
2019-11-20 05:00:00,44.0,44.54,42.77,43.95,7011639
2019-11-21 05:00:00,44.24,46.83,44.1,46.76,10673356
2019-11-22 05:00:00,46.7,47.2,46.23,46.45,6284535
2019-11-25 05:00:00,46.5,49.33,46.47,48.94,8822477
2019-11-26 05:00:00,48.6,49.785,48.17,48.97,6006242
2019-11-27 05:00:00,49.29,49.75,48.8,49.42,3029102
2019-11-29 05:00:00,49.0,49.69,48.65,49.0,1675976
2019-12-02 05:00:00,49.08,49.11,47.17,47.39,4093123
2019-12-03 05:00:00,46.55,47.56,46.08,47.5,2784314
2019-12-04 05:00:00,47.81,48.0819,46.94,47.32,2995747
2019-12-05 05:00:00,47.09,47.18,44.05,45.09,10391534
2019-12-06 05:00:00,45.0,45.45,44.17,45.2,4910332
2019-12-09 05:00:00,45.2,46.09,44.88,45.41,2696232
2019-12-10 05:00:00,45.69,45.69,45.07,45.24,2855531
2019-12-11 05:00:00,45.37,47.5505,45.28,47.38,3653462
2019-12-12 05:00:00,47.23,47.44,46.47,46.6,4516023
2019-12-13 05:00:00,46.74,47.67,46.6,46.75,2903062
2019-12-16 05:00:00,47.06,49.3075,46.98,47.94,8849269
2019-12-17 05:00:00,48.24,48.25,47.22,47.5,3394914
2019-12-18 05:00:00,47.27,47.64,46.85,47.0,3377792
2019-12-19 05:00:00,46.79,47.0,46.02,46.26,4198320
2019-12-20 05:00:00,46.25,48.54,46.22,47.97,8329342
2019-12-23 05:00:00,47.91,48.0,45.26,45.53,10499239
2019-12-24 05:00:00,45.62,46.2,45.61,45.7,2455477
2019-12-26 05:00:00,45.7,45.81,45.01,45.73,5079164
2019-12-27 05:00:00,45.9,46.2,45.17,45.83,3963281
2019-12-30 05:00:00,45.6,45.6739,43.05,43.555,8257565
2019-12-31 05:00:00,43.0,43.605,42.7755,43.02,5196842
2020-01-02 05:00:00,43.22,44.07,43.1654,43.57,3738522
2020-01-03 05:00:00,42.85,43.36,42.2328,43.205,4205572
2020-01-06 05:00:00,42.79,43.81,42.38,43.1,4775990
2020-01-07 05:00:00,43.18,44.7,43.03,44.245,4554102
2020-01-08 05:00:00,44.14,45.74,43.87,45.09,5419612
2020-01-09 05:00:00,45.16,45.96,44.52,45.59,4543078
2020-01-10 05:00:00,45.59,46.24,45.36,46.09,4294669
2020-01-13 05:00:00,46.31,46.45,45.13,46.37,3646859
2020-01-14 05:00:00,46.36,48.0,46.26,47.68,4507656
2020-01-15 05:00:00,47.64,48.06,46.84,47.08,3058414
2020-01-16 05:00:00,47.55,47.55,46.11,46.84,3241944
2020-01-17 05:00:00,47.0,47.0,46.02,46.59,3280901
2020-01-21 05:00:00,46.5,48.77,46.36,47.96,12194125
2020-01-22 05:00:00,48.19,48.95,47.32,47.52,8072299
2020-01-23 05:00:00,47.48,48.92,47.1,48.48,7618674
2020-01-24 05:00:00,48.67,49.54,47.62,48.41,9694825
2020-01-27 05:00:00,46.83,47.65,46.13,47.36,3423897
