date,open,high,low,close,volume
2019-09-27 04:00:00,7.43,7.44,7.32,7.4,3196072
2019-09-30 04:00:00,7.4,7.43,7.32,7.35,1845623
2019-10-01 04:00:00,7.38,7.39,7.26,7.28,2063186
2019-10-02 04:00:00,7.26,7.31,7.23,7.31,2467258
2019-10-03 04:00:00,7.33,7.37,7.28,7.32,2357989
2019-10-04 04:00:00,7.31,7.43,7.31,7.43,1856482
2019-10-07 04:00:00,7.42,7.44,7.4,7.415,1515304
2019-10-08 04:00:00,7.4,7.43,7.37,7.39,1926331
2019-10-09 04:00:00,7.43,7.47,7.415,7.45,3751393
2019-10-10 04:00:00,7.47,7.5699,7.46,7.56,4083245
2019-10-11 04:00:00,7.58,7.6,7.53,7.545,1836820
2019-10-14 04:00:00,7.52,7.53,7.49,7.53,1212222
2019-10-15 04:00:00,7.53,7.6,7.52,7.53,1658087
2019-10-16 04:00:00,7.52,7.54,7.48,7.52,1408534
2019-10-17 04:00:00,7.54,7.58,7.53,7.57,1670544
2019-10-18 04:00:00,7.56,7.58,7.54,7.55,1412927
2019-10-21 04:00:00,7.57,7.61,7.55,7.59,1100444
2019-10-22 04:00:00,7.59,7.64,7.57,7.61,1932430
2019-10-23 04:00:00,7.6,7.65,7.58,7.6,1692378
2019-10-24 04:00:00,7.6,7.62,7.57,7.6,1010991
2019-10-25 04:00:00,7.6,7.63,7.54,7.545,1214026
2019-10-28 04:00:00,7.56,7.57,7.5,7.54,1211398
2019-10-29 04:00:00,7.52,7.59,7.52,7.56,1125354
2019-10-30 04:00:00,7.55,7.56,7.5,7.52,1573736
2019-10-31 04:00:00,7.53,7.59,7.52,7.59,1759687
2019-11-01 04:00:00,7.6,7.65,7.57,7.62,1799520
2019-11-04 05:00:00,7.63,7.65,7.56,7.58,2262413
2019-11-05 05:00:00,7.58,7.6,7.5,7.55,2438213
2019-11-06 05:00:00,7.57,7.64,7.54,7.58,2440660
2019-11-07 05:00:00,7.62,7.7,7.61,7.695,1667671
2019-11-08 05:00:00,7.69,7.74,7.66,7.72,1800597
2019-11-11 05:00:00,7.72,7.75,7.69,7.71,1537605
2019-11-12 05:00:00,7.73,7.735,7.67,7.68,1564108
2019-11-13 05:00:00,7.65,7.73,7.65,7.69,1436955
2019-11-14 05:00:00,7.68,7.73,7.65,7.7,1774957
2019-11-15 05:00:00,7.72,7.73,7.67,7.7,1551946
2019-11-18 05:00:00,7.69,7.72,7.675,7.68,1828756
2019-11-19 05:00:00,7.71,7.71,7.62,7.66,2484966
2019-11-20 05:00:00,7.65,7.73,7.64,7.65,2096473
2019-11-21 05:00:00,7.65,7.65,7.6,7.6,1436289
2019-11-22 05:00:00,7.6,7.65,7.56,7.625,1745716
2019-11-25 05:00:00,7.64,7.67,7.61,7.61,1253161
2019-11-26 05:00:00,7.61,7.67,7.61,7.65,1446731
2019-11-27 05:00:00,7.66,7.66,7.61,7.625,1615308
2019-11-29 05:00:00,7.65,7.675,7.63,7.66,743844
2019-12-02 05:00:00,7.68,7.71,7.64,7.64,1610967
2019-12-03 05:00:00,7.62,7.67,7.615,7.66,1601220
2019-12-04 05:00:00,7.66,7.69,7.605,7.665,2740029
2019-12-05 05:00:00,7.67,7.7,7.63,7.7,1337117
