date,open,high,low,close,volume
2019-09-27 04:00:00,27.87,28.11,27.17,27.27,3675681
2019-09-30 04:00:00,27.4,27.97,27.32,27.73,3718576
2019-10-01 04:00:00,27.89,28.285,27.42,27.68,3487223
2019-10-02 04:00:00,27.48,27.63,27.0844,27.11,6243998
2019-10-03 04:00:00,27.1,27.34,26.5,27.28,4545359
2019-10-04 04:00:00,27.28,27.405,27.0,27.28,2371054
2019-10-07 04:00:00,27.15,27.48,26.8694,27.25,3957596
2019-10-08 04:00:00,26.98,27.17,26.3,26.35,4315025
2019-10-09 04:00:00,26.53,27.06,26.53,26.81,2546892
2019-10-10 04:00:00,26.86,27.615,26.72,27.44,4679459
2019-10-11 04:00:00,27.89,28.39,27.845,28.07,4501390
2019-10-14 04:00:00,27.81,27.98,27.58,27.96,2632740
2019-10-15 04:00:00,27.98,28.12,27.86,27.87,6715822
2019-10-16 04:00:00,27.94,27.97,27.23,27.43,7665902
2019-10-17 04:00:00,27.57,27.8,27.51,27.64,4649618
2019-10-18 04:00:00,27.6,28.06,27.42,27.85,3907498
2019-10-21 04:00:00,28.08,28.19,27.7,27.995,3079046
2019-10-22 04:00:00,28.09,28.17,27.675,27.71,3110637
2019-10-23 04:00:00,27.67,28.2,27.51,28.035,2845379
2019-10-24 04:00:00,28.13,28.345,28.05,28.22,2834568
2019-10-25 04:00:00,28.09,28.5,28.06,28.14,2808176
2019-10-28 04:00:00,28.2,28.56,28.17,28.56,3422351
2019-10-29 04:00:00,28.73,28.75,28.36,28.52,3514086
2019-10-30 04:00:00,28.54,29.49,28.1,28.67,5936477
2019-10-31 04:00:00,28.62,28.77,28.27,28.5,3410024
2019-11-01 04:00:00,28.69,28.85,28.35,28.83,3754307
2019-11-04 05:00:00,29.02,29.8935,29.02,29.77,5516824
2019-11-05 05:00:00,29.99,30.56,29.8501,30.4,6364152
2019-11-06 05:00:00,30.39,30.62,30.21,30.51,5944729
2019-11-07 05:00:00,30.95,31.16,30.535,30.84,5860221
2019-11-08 05:00:00,30.83,31.465,30.78,31.41,4590450
2019-11-11 05:00:00,31.17,31.52,31.002,31.44,3165973
2019-11-12 05:00:00,31.5,31.53,30.87,30.99,3691621
2019-11-13 05:00:00,30.96,31.195,30.76,31.04,3459248
2019-11-14 05:00:00,31.1,31.39,30.89,31.1,4532312
2019-11-15 05:00:00,31.3,31.3384,31.02,31.17,5149523
2019-11-18 05:00:00,31.14,31.68,31.02,31.53,4061938
2019-11-19 05:00:00,31.69,31.97,31.525,31.8,3723490
2019-11-20 05:00:00,31.68,32.17,31.61,31.82,4532312
2019-11-21 05:00:00,31.97,32.04,31.6,31.71,3880818
2019-11-22 05:00:00,31.88,32.0152,31.76,31.94,2887033
2019-11-25 05:00:00,32.09,32.13,31.96,32.05,3501701
2019-11-26 05:00:00,32.15,32.19,31.895,31.94,3306571
2019-11-27 05:00:00,32.03,32.24,31.98,32.18,2716589
2019-11-29 05:00:00,32.0,32.24,31.93,31.98,1657653
2019-12-02 05:00:00,32.06,32.15,31.89,31.97,3223222
2019-12-03 05:00:00,31.23,31.69,31.05,31.63,3879968
2019-12-04 05:00:00,31.65,31.925,31.65,31.77,2426384
2019-12-05 05:00:00,31.91,31.94,31.7,31.94,2137156
2019-12-06 05:00:00,32.01,32.23,31.99,32.165,2775113
2019-12-09 05:00:00,31.93,32.05,31.85,31.86,2549002
2019-12-10 05:00:00,31.8,32.06,31.74,32.0,1848944
2019-12-11 05:00:00,32.14,32.295,32.02,32.1,2925193
2019-12-12 05:00:00,32.17,32.78,32.1,32.55,4337191
2019-12-13 05:00:00,32.54,32.97,32.46,32.75,2896024
2019-12-16 05:00:00,32.93,33.07,32.725,32.95,3077046
2019-12-17 05:00:00,32.92,33.1,32.86,33.06,2676004
2019-12-18 05:00:00,33.23,33.465,33.07,33.26,3504319
2019-12-19 05:00:00,33.29,33.545,33.121,33.26,3133636
2019-12-20 05:00:00,33.53,33.535,33.23,33.3,2908206
2019-12-23 05:00:00,33.4,33.6,33.26,33.49,1817204
2019-12-24 05:00:00,33.48,33.56,33.36,33.41,920205
2019-12-26 05:00:00,33.51,33.58,33.43,33.53,1755551
2019-12-27 05:00:00,33.64,33.87,33.53,33.59,2712968
2019-12-30 05:00:00,33.53,33.665,33.24,33.32,3125895
2019-12-31 05:00:00,33.27,33.58,33.21,33.26,3027920
2020-01-02 05:00:00,33.52,33.7,33.29,33.66,2733474
2020-01-03 05:00:00,33.21,33.43,33.11,33.29,2338054
2020-01-06 05:00:00,32.98,33.05,32.85,32.89,2961295
2020-01-07 05:00:00,32.79,32.91,32.735,32.9,2625790
2020-01-08 05:00:00,32.95,33.53,32.92,33.23,3040773
2020-01-09 05:00:00,33.43,33.5499,33.31,33.43,1782111
2020-01-10 05:00:00,33.49,33.56,33.095,33.21,2549597
