date,open,high,low,close,volume
2019-09-27 04:00:00,16.29,16.54,15.675,15.9,2251383
2019-09-30 04:00:00,15.79,16.27,15.67,15.905,1410409
2019-10-01 04:00:00,15.87,16.06,14.8,14.8,1475509
2019-10-02 04:00:00,14.78,15.01,14.42,14.85,1626054
2019-10-03 04:00:00,15.24,15.24,14.41,15.08,1392218
2019-10-04 04:00:00,15.05,15.57,14.89,15.48,1812677
2019-10-07 04:00:00,15.45,15.63,15.07,15.48,2660670
2019-10-08 04:00:00,15.36,15.48,15.01,15.32,2335578
2019-10-09 04:00:00,15.33,15.55,14.18,14.19,4651340
2019-10-10 04:00:00,14.13,14.41,13.87,14.16,2570671
2019-10-11 04:00:00,14.24,14.7,13.99,14.06,1800610
2019-10-14 04:00:00,14.19,14.2001,13.67,13.93,1826902
2019-10-15 04:00:00,13.93,14.45,13.53,14.32,2192010
2019-10-16 04:00:00,14.27,14.32,14.02,14.15,1778131
2019-10-17 04:00:00,14.23,14.72,14.15,14.53,2276575
2019-10-18 04:00:00,14.5,14.85,14.07,14.81,3139914
2019-10-21 04:00:00,15.03,15.59,14.94,15.5,831978
2019-10-22 04:00:00,15.56,16.09,15.55,15.91,557869
2019-10-23 04:00:00,16.16,17.01,16.09,16.84,1424642
2019-10-24 04:00:00,16.92,17.026,16.05,16.56,1071009
2019-10-25 04:00:00,16.73,17.1,16.4301,16.99,712026
2019-10-28 04:00:00,17.01,17.15,16.8094,17.04,623668
2019-10-29 04:00:00,16.96,17.155,16.66,17.0,725856
2019-10-30 04:00:00,16.95,17.24,16.52,17.1,910128
2019-10-31 04:00:00,17.03,17.15,16.49,16.72,833060
2019-11-01 04:00:00,16.8,16.894,15.52,15.63,1533289
2019-11-04 05:00:00,15.9,16.8,15.83,16.79,1283735
2019-11-05 05:00:00,16.94,17.72,16.71,16.89,1710483
2019-11-06 05:00:00,16.83,17.49,16.05,16.13,1532708
2019-11-07 05:00:00,16.33,17.6084,16.2801,17.4901,1994519
2019-11-08 05:00:00,17.25,17.5,17.11,17.47,964059
2019-11-11 05:00:00,17.33,17.52,17.2,17.38,928735
2019-11-12 05:00:00,17.34,18.1,17.3025,17.99,1943349
2019-11-13 05:00:00,18.0,18.5,17.71,18.28,1981751
2019-11-14 05:00:00,18.16,18.5,17.91,18.35,1510606
2019-11-15 05:00:00,18.39,19.43,18.35,19.37,1848613
2019-11-18 05:00:00,19.21,19.45,18.67,19.45,898942
2019-11-19 05:00:00,19.27,19.87,19.0824,19.41,1112584
2019-11-20 05:00:00,19.38,20.4,19.35,20.17,2149734
2019-11-21 05:00:00,19.98,20.32,19.69,20.2,1189787
2019-11-22 05:00:00,20.07,20.73,19.86,20.7,1416776
2019-11-25 05:00:00,20.9,21.0,19.95,19.99,1900509
2019-11-26 05:00:00,20.0,20.65,19.82,20.29,1503335
2019-11-27 05:00:00,20.28,20.7,19.99,20.36,1533901
2019-11-29 05:00:00,20.6,20.93,20.28,20.33,1175316
2019-12-02 05:00:00,20.3,20.54,19.6,19.77,1157298
2019-12-03 05:00:00,19.48,21.37,19.41,21.2537,1775039
2019-12-04 05:00:00,21.0,21.47,20.9325,21.26,1264527
2019-12-05 05:00:00,21.49,21.5,20.57,20.63,1063555
2019-12-06 05:00:00,20.78,21.04,18.82,18.93,3482779
2019-12-09 05:00:00,19.07,19.3,18.67,18.82,2524618
2019-12-10 05:00:00,18.78,19.09,18.58,18.87,1597539
2019-12-11 05:00:00,19.03,19.11,18.53,18.64,1187394
2019-12-12 05:00:00,18.56,19.045,18.32,18.45,1290666
2019-12-13 05:00:00,18.47,18.72,18.32,18.6,1250824
2019-12-16 05:00:00,18.6,18.97,18.22,18.5,1611074
2019-12-17 05:00:00,18.54,18.7,18.31,18.43,1510216
2019-12-18 05:00:00,18.48,19.0,18.48,18.59,1226864
2019-12-19 05:00:00,18.58,19.67,18.5,19.41,2051490
2019-12-20 05:00:00,19.4,20.0,19.05,19.77,3324292
2019-12-23 05:00:00,19.79,19.85,19.34,19.71,1269721
2019-12-24 05:00:00,19.69,19.79,19.35,19.73,452844
2019-12-26 05:00:00,19.82,20.11,19.66,19.86,686358
2019-12-27 05:00:00,19.99,20.0,19.25,19.52,963561
2019-12-30 05:00:00,19.54,19.94,18.94,19.05,1084490
2019-12-31 05:00:00,18.96,19.64,18.96,19.56,985483
2020-01-02 05:00:00,19.57,19.81,18.88,19.23,1095636
2020-01-03 05:00:00,19.02,19.36,18.72,18.89,895895
2020-01-06 05:00:00,18.7,18.76,18.01,18.12,1226236
2020-01-07 05:00:00,18.15,18.205,17.68,17.81,1253549
2020-01-08 05:00:00,17.99,18.08,17.76,17.96,858709
2020-01-09 05:00:00,18.0,18.55,17.9,18.403,1082330
2020-01-10 05:00:00,21.0,21.0,19.05,19.12,4303154
2020-01-13 05:00:00,19.26,20.36,18.6,20.26,1943522
2020-01-14 05:00:00,20.45,20.4979,19.55,19.99,1261908
2020-01-15 05:00:00,19.94,20.58,19.94,20.24,1545503
2020-01-16 05:00:00,21.68,21.87,20.77,21.01,4633333
2020-01-17 05:00:00,21.5,21.5,20.55,20.65,3180222
2020-01-21 05:00:00,20.79,21.49,20.645,20.94,4002059
2020-01-22 05:00:00,22.08,23.2,21.7,21.97,18821059
2020-01-23 05:00:00,22.17,22.65,21.4,21.48,6809082
2020-01-24 05:00:00,21.6,21.8793,20.9,21.11,4771054
2020-01-27 05:00:00,22.1,23.12,21.12,22.71,9154806
2020-01-28 05:00:00,23.5,23.5,21.8501,22.35,5179109
2020-01-29 05:00:00,22.23,22.34,20.45,20.53,4238014
2020-01-30 05:00:00,21.05,21.74,20.8,20.98,2613868
2020-01-31 05:00:00,21.14,21.32,20.05,20.52,2661333
2020-02-03 05:00:00,20.66,21.06,19.7,20.38,2951811
2020-02-04 05:00:00,20.09,20.88,19.75,20.87,1594769
2020-02-05 05:00:00,20.99,21.2,19.67,20.04,2435015
2020-02-06 05:00:00,20.27,20.32,19.7,19.88,1733849
2020-02-07 05:00:00,19.79,23.39,19.79,23.23,9782640
2020-02-10 05:00:00,23.5,23.95,22.3832,23.63,8678779
2020-02-11 05:00:00,22.09,22.74,21.28,21.35,6092938
2020-02-12 05:00:00,19.64,19.67,18.5,19.01,17311197
2020-02-13 05:00:00,19.36,19.8,18.89,19.04,6647867
2020-02-14 05:00:00,19.27,19.29,18.85,19.0,4201936
2020-02-18 05:00:00,19.14,19.35,18.57,18.915,3873718
2020-02-19 05:00:00,19.09,19.24,18.725,18.91,3072383
2020-02-20 05:00:00,18.86,19.17,18.42,18.539,3348185
2020-02-21 05:00:00,18.47,18.55,17.91,18.23,3163694
2020-02-24 05:00:00,19.23,19.28,18.3,18.56,5092562
2020-02-25 05:00:00,22.15,26.55,20.51,23.75,62081056
2020-02-26 05:00:00,29.05,29.98,27.08,29.16,71255338
2020-02-27 05:00:00,35.88,36.0,23.05,26.145,64241810
2020-02-28 05:00:00,23.38,25.95,22.015,25.95,22715144
2020-03-02 05:00:00,27.0,30.75,25.21,29.8701,31719851
2020-03-03 05:00:00,27.8035,28.6,26.6,27.91,16250812
2020-03-04 05:00:00,27.99,28.72,26.8,27.46,11251011
2020-03-05 05:00:00,27.49,28.95,26.535,28.0001,16622635
2020-03-06 05:00:00,27.98,29.8,27.67,29.61,20634051
2020-03-09 04:00:00,28.58,28.6999,24.16,24.28,12590420
2020-03-10 04:00:00,25.71,25.94,21.28,22.34,12797964
2020-03-11 04:00:00,22.54,25.7491,22.5235,23.6,29115718
2020-03-12 04:00:00,22.8997,24.28,21.9,22.24,10739908
2020-03-13 04:00:00,23.0,23.47,19.31,21.3,11120313
2020-03-16 04:00:00,23.76,27.8,22.22,26.44,73407408
2020-03-17 04:00:00,29.36,32.7,27.3148,28.16,43747734
2020-03-18 04:00:00,27.15,32.3,26.55,31.45,22609801
2020-03-19 04:00:00,32.78,34.98,25.19,28.27,73657178
2020-03-20 04:00:00,29.25,30.23,26.2,28.15,15195900
2020-03-23 04:00:00,28.71,29.81,26.25,26.53,10887773
2020-03-24 04:00:00,27.09,27.25,24.36,25.82,12131667
2020-03-25 04:00:00,25.0,27.98,24.79,27.13,9462594
2020-03-26 04:00:00,27.56,28.79,27.56,27.92,5408629
2020-03-27 04:00:00,28.37,31.09,27.95,30.05,12133891
2020-03-30 04:00:00,30.59,31.69,28.27,30.47,20759908
2020-03-31 04:00:00,30.6,30.98,29.2,29.95,5579300
2020-04-01 04:00:00,30.05,30.94,29.44,29.67,6802935
2020-04-02 04:00:00,30.6,33.39,29.84,33.195,15378888
2020-04-03 04:00:00,32.81,35.66,32.72,34.84,16500540
2020-04-06 04:00:00,34.91,35.185,33.33,34.63,21067296
2020-04-07 04:00:00,33.81,34.03,30.9801,31.995,19529282
2020-04-08 04:00:00,32.36,32.94,31.7501,32.4,4009009
2020-04-09 04:00:00,32.55,32.92,31.32,31.87,4532909
2020-04-13 04:00:00,32.0,32.98,31.71,32.89,10143644
2020-04-14 04:00:00,34.0,34.99,33.15,34.65,15240930
2020-04-15 04:00:00,34.64,38.45,33.72,37.25,46015188
2020-04-16 04:00:00,38.0735,41.55,36.62,40.6,74328269
2020-04-17 04:00:00,48.99,49.0,43.38,46.85,91293307
2020-04-20 04:00:00,45.0,54.95,44.51,51.68,99801547
