date,open,high,low,close,volume
2019-09-27 04:00:00,11.76,12.305,11.75,12.2,12466474
2019-09-30 04:00:00,12.08,12.305,12.065,12.28,7849960
2019-10-01 04:00:00,12.37,12.5,11.79,11.8,11063946
2019-10-02 04:00:00,11.74,11.82,11.28,11.3,13292023
2019-10-03 04:00:00,11.16,11.71,11.07,11.66,10953276
2019-10-04 04:00:00,11.58,11.69,11.32,11.56,9413003
2019-10-07 04:00:00,11.56,11.645,11.325,11.42,9490326
2019-10-08 04:00:00,11.25,11.38,11.09,11.09,9148311
2019-10-09 04:00:00,11.27,11.37,11.06,11.19,9307844
2019-10-10 04:00:00,11.23,11.49,11.19,11.39,8299674
2019-10-11 04:00:00,11.54,11.85,11.53,11.74,9101465
2019-10-14 04:00:00,11.53,11.89,11.37,11.78,10973010
2019-10-15 04:00:00,11.68,12.01,11.61,11.84,9756259
2019-10-16 04:00:00,11.82,11.95,11.62,11.625,6901735
2019-10-17 04:00:00,11.67,11.69,11.36,11.55,8613312
2019-10-18 04:00:00,11.54,11.7,11.26,11.29,8791349
2019-10-21 04:00:00,11.27,11.55,11.23,11.53,6106375
2019-10-22 04:00:00,11.54,11.97,11.39,11.725,7483608
2019-10-23 04:00:00,11.71,12.2,11.535,12.015,7995215
2019-10-24 04:00:00,12.11,12.155,11.68,11.93,6036692
2019-10-25 04:00:00,11.91,12.03,11.72,11.98,8279533
2019-10-28 04:00:00,12.05,12.19,11.84,11.94,6538250
2019-10-29 04:00:00,11.79,12.17,11.59,12.01,7694681
2019-10-30 04:00:00,12.07,12.09,11.52,11.56,9839038
2019-10-31 04:00:00,11.285,11.55,11.24,11.53,7205043
2019-11-01 04:00:00,11.65,12.09,11.62,12.05,10858696
2019-11-04 05:00:00,12.32,12.585,12.29,12.53,11725802
2019-11-05 05:00:00,12.65,12.97,12.61,12.65,12100220
2019-11-06 05:00:00,12.56,12.7,12.12,12.19,15479876
2019-11-07 05:00:00,12.61,12.66,12.12,12.56,13683425
2019-11-08 05:00:00,12.33,12.55,11.99,12.53,14215877
2019-11-11 05:00:00,12.27,12.35,12.075,12.15,10154819
2019-11-12 05:00:00,12.2,12.365,11.91,12.01,10223516
2019-11-13 05:00:00,11.88,12.1,11.81,11.88,9416550
2019-11-14 05:00:00,11.92,12.15,11.83,11.885,8435498
2019-11-15 05:00:00,11.96,12.26,11.96,12.1,8090248
2019-11-18 05:00:00,11.95,11.98,11.6207,11.77,8260228
2019-11-19 05:00:00,11.68,11.74,11.39,11.46,8425457
2019-11-20 05:00:00,11.48,11.95,11.39,11.69,12057700
2019-11-21 05:00:00,11.76,11.9,11.62,11.88,9464831
2019-11-22 05:00:00,11.93,12.22,11.88,12.21,13986364
2019-11-25 05:00:00,12.12,12.22,11.96,12.11,15136056
2019-11-26 05:00:00,12.12,12.12,11.8,11.83,10389946
2019-11-27 05:00:00,11.84,11.93,11.63,11.88,9175556
2019-11-29 05:00:00,11.68,11.75,11.51,11.66,6317521
2019-12-02 05:00:00,11.79,12.03,11.72,11.96,11122195
2019-12-03 05:00:00,11.74,11.87,11.5751,11.76,9089933
2019-12-04 05:00:00,11.95,12.29,11.9,12.17,9955860
2019-12-05 05:00:00,12.25,12.33,11.96,12.03,8714396
2019-12-06 05:00:00,12.09,12.5,12.06,12.45,9384266
2019-12-09 05:00:00,12.34,12.69,12.29,12.59,7829348
2019-12-10 05:00:00,12.59,12.76,12.5,12.59,7090832
2019-12-11 05:00:00,12.55,12.695,12.545,12.61,6794900
2019-12-12 05:00:00,12.66,13.08,12.61,13.03,8648813
2019-12-13 05:00:00,13.14,13.23,12.71,12.72,8403095
2019-12-16 05:00:00,12.86,13.23,12.86,13.13,7851258
2019-12-17 05:00:00,13.08,13.43,13.05,13.36,9689337
2019-12-18 05:00:00,13.33,13.55,13.3,13.42,10365803
2019-12-19 05:00:00,13.37,13.473,13.15,13.18,8577044
2019-12-20 05:00:00,13.28,13.29,13.075,13.2,10430470
2019-12-23 05:00:00,13.19,13.6,13.18,13.56,6109061
2019-12-24 05:00:00,13.6,13.73,13.56,13.615,3743235
2019-12-26 05:00:00,13.78,13.89,13.66,13.695,5589682
2019-12-27 05:00:00,13.75,13.75,13.45,13.48,6297622
2019-12-30 05:00:00,13.52,13.605,13.39,13.43,5188453
2019-12-31 05:00:00,13.29,13.61,13.19,13.57,5878520
2020-01-02 05:00:00,13.69,13.75,13.55,13.68,8118465
2020-01-03 05:00:00,14.05,14.07,13.6,13.73,12903951
2020-01-06 05:00:00,13.84,14.01,13.74,13.95,10337735
2020-01-07 05:00:00,13.76,13.84,13.605,13.79,8290115
2020-01-08 05:00:00,13.8,13.82,13.02,13.27,13213338
2020-01-09 05:00:00,13.09,13.49,12.91,13.455,11934370
2020-01-10 05:00:00,13.39,13.39,13.12,13.17,10008160
2020-01-13 05:00:00,13.08,13.26,12.89,13.19,11149348
2020-01-14 05:00:00,13.21,13.33,13.08,13.28,8867575
2020-01-15 05:00:00,13.21,13.3751,13.12,13.24,7461975
2020-01-16 05:00:00,13.34,13.467,13.27,13.33,7983909
2020-01-17 05:00:00,13.36,13.39,13.14,13.21,6458461
2020-01-21 05:00:00,13.14,13.18,12.84,12.84,19708310
2020-01-22 05:00:00,12.83,12.83,12.43,12.44,17803651
2020-01-23 05:00:00,12.25,12.3794,11.96,12.22,19232546
2020-01-24 05:00:00,12.12,12.14,11.74,11.92,22139716
2020-01-27 05:00:00,11.63,11.79,11.57,11.69,14151381
2020-01-28 05:00:00,11.79,11.85,11.6121,11.77,10262427
2020-01-29 05:00:00,11.87,11.99,11.735,11.75,12522818
2020-01-30 05:00:00,11.55,11.895,11.55,11.86,12808203
2020-01-31 05:00:00,11.65,11.7296,11.36,11.36,18106426
2020-02-03 05:00:00,11.34,11.58,11.25,11.48,12454708
2020-02-04 05:00:00,11.76,11.97,11.7,11.78,13137114
2020-02-05 05:00:00,12.0,12.3,12.0,12.16,12198105
2020-02-06 05:00:00,12.22,12.25,11.91,11.93,9911828
2020-02-07 05:00:00,11.75,11.825,11.61,11.68,8967331
2020-02-10 05:00:00,11.56,11.61,11.2941,11.39,10864925
2020-02-11 05:00:00,11.58,11.71,11.425,11.57,10170318
2020-02-12 05:00:00,11.85,11.97,11.46,11.61,19998377
2020-02-13 05:00:00,11.27,11.28,10.64,11.125,27635724
2020-02-14 05:00:00,11.13,11.1901,10.59,10.65,17329554
2020-02-18 05:00:00,10.45,10.505,10.28,10.305,14527089
2020-02-19 05:00:00,10.35,10.52,10.15,10.4634,15916327
2020-02-20 05:00:00,10.55,10.6,10.24,10.24,12715506
2020-02-21 05:00:00,10.15,10.22,9.97,10.1,17111249
2020-02-24 05:00:00,9.64,9.64,9.39,9.47,18220880
2020-02-25 05:00:00,9.5,9.51,8.81,8.92,24614035
2020-02-26 05:00:00,8.99,9.0,8.39,8.39,23457030
2020-02-27 05:00:00,8.01,8.435,7.81,7.93,31583732
2020-02-28 05:00:00,7.57,8.298,7.54,8.28,27607211
2020-03-02 05:00:00,8.45,8.45,7.93,8.34,18292457
2020-03-03 05:00:00,8.32,8.47,7.85,8.07,25527235
2020-03-04 05:00:00,8.23,8.31,7.94,8.11,16671077
2020-03-05 05:00:00,7.86,7.95,7.67,7.8,17255702
2020-03-06 05:00:00,7.45,7.58,6.78,6.825,29016899
2020-03-09 04:00:00,4.26,5.0,3.315,3.59,94781625
2020-03-10 04:00:00,4.85,4.87,3.52,4.395,95911622
2020-03-11 04:00:00,4.22,4.49,4.0,4.09,63801166
2020-03-12 04:00:00,3.78,4.2,3.65,3.975,46525489
2020-03-13 04:00:00,4.36,4.53,3.71,4.53,41368388
2020-03-16 04:00:00,3.81,4.51,3.8,4.0,35167380
2020-03-17 04:00:00,4.15,4.17,3.55,3.62,37968968
2020-03-18 04:00:00,3.5,3.66,3.2,3.46,30166385
2020-03-19 04:00:00,3.5,3.93,3.41,3.83,35113761
2020-03-20 04:00:00,4.0,4.04,3.42,3.56,43300456
2020-03-23 04:00:00,3.56,3.6,3.31,3.35,29052918
2020-03-24 04:00:00,3.69,3.71,3.46,3.62,41360479
2020-03-25 04:00:00,3.8,3.87,3.41,3.56,41250389
2020-03-26 04:00:00,3.73,4.06,3.595,3.87,45713247
2020-03-27 04:00:00,3.72,3.77,3.49,3.51,39867947
2020-03-30 04:00:00,3.49,3.5,3.15,3.235,47815067
2020-03-31 04:00:00,3.46,3.52,3.25,3.2901,41649154
2020-04-01 04:00:00,3.22,3.29,3.02,3.12,47788547
2020-04-02 04:00:00,3.26,3.74,3.15,3.45,80038293
2020-04-03 04:00:00,3.73,3.8,3.33,3.6499,64048681
2020-04-06 04:00:00,3.69,3.74,3.51,3.625,57843037
2020-04-07 04:00:00,3.89,4.15,3.6,3.67,69178029
2020-04-08 04:00:00,3.91,3.96,3.66,3.95,54244977
2020-04-09 04:00:00,4.35,4.55,3.82,4.12,90873517
2020-04-13 04:00:00,4.43,4.45,4.15,4.395,52125032
2020-04-14 04:00:00,4.35,4.36,4.1,4.25,41107550
2020-04-15 04:00:00,3.95,4.24,3.9224,4.23,39531111
2020-04-16 04:00:00,4.22,4.22,3.88,3.89,36022034
2020-04-17 04:00:00,3.95,4.35,3.92,4.35,42642057
2020-04-20 04:00:00,4.0,4.37,3.98,4.21,48549143
2020-04-21 04:00:00,4.11,4.32,3.96,4.23,40618890
2020-04-22 04:00:00,4.4,4.605,4.4,4.545,33414297
2020-04-23 04:00:00,4.76,5.0,4.66,4.83,46716983
2020-04-24 04:00:00,5.0,5.15,4.75,4.92,44686053
2020-04-27 04:00:00,4.8,4.96,4.57,4.85,32026863
2020-04-28 04:00:00,4.96,5.07,4.8,4.985,27572966
2020-04-29 04:00:00,5.19,5.88,5.18,5.865,46573518
2020-04-30 04:00:00,6.31,6.34,5.75,6.12,70880137
2020-05-01 04:00:00,5.89,6.025,5.46,5.51,36356859
2020-05-04 04:00:00,5.34,5.81,5.24,5.8,29761310
2020-05-05 04:00:00,6.2,6.25,5.5,5.5221,49786682
2020-05-06 04:00:00,5.61,5.79,5.45,5.595,28135607
2020-05-07 04:00:00,5.62,5.81,5.35,5.52,39817233
2020-05-08 04:00:00,5.6,5.79,5.52,5.78,32469949
2020-05-11 04:00:00,5.7,5.835,5.61,5.745,28268445
