date,open,high,low,close,volume
2019-09-27 04:00:00,51.48,52.08,50.5,51.04,1137648
2019-09-30 04:00:00,51.34,52.07,51.215,51.76,836270
2019-10-01 04:00:00,52.0,52.53,50.42,50.76,1105862
2019-10-02 04:00:00,50.47,50.93,49.125,49.14,1742718
2019-10-03 04:00:00,48.84,49.19,47.83,48.15,3175947
2019-10-04 04:00:00,48.12,48.67,47.74,48.4,1600221
2019-10-07 04:00:00,48.44,49.19,48.055,48.56,982136
2019-10-08 04:00:00,48.13,48.22,47.1,47.16,1226421
2019-10-09 04:00:00,47.5,47.62,46.96,47.21,913072
2019-10-10 04:00:00,47.35,48.32,47.3,48.09,854237
2019-10-11 04:00:00,48.9,49.86,48.78,49.12,932715
2019-10-14 04:00:00,48.975,49.54,48.88,49.32,642095
2019-10-15 04:00:00,49.5,50.22,49.415,49.6,1079830
2019-10-16 04:00:00,49.68,49.85,49.13,49.33,762053
2019-10-17 04:00:00,49.43,50.5,49.23,49.78,949464
2019-10-18 04:00:00,49.57,50.39,49.57,50.21,1329962
2019-10-21 04:00:00,50.98,51.48,50.66,50.94,1658384
2019-10-22 04:00:00,51.07,51.07,49.95,49.97,764282
2019-10-23 04:00:00,49.98,50.7,49.76,50.7,766213
2019-10-24 04:00:00,50.79,51.32,50.67,50.97,1238073
2019-10-25 04:00:00,50.74,51.655,50.74,51.47,791404
2019-10-28 04:00:00,51.53,52.33,51.53,51.87,960976
2019-10-29 04:00:00,52.05,52.64,51.73,52.64,1442812
2019-10-30 04:00:00,53.06,53.15,50.75,51.2,2777514
2019-10-31 04:00:00,50.09,50.79,50.022,50.76,1031863
2019-11-01 04:00:00,51.12,51.48,50.69,51.33,1176695
2019-11-04 05:00:00,51.71,52.3,51.33,52.3,1116091
2019-11-05 05:00:00,52.36,52.735,51.95,52.51,1925653
2019-11-06 05:00:00,52.75,52.77,51.52,52.01,2059273
2019-11-07 05:00:00,53.21,54.0,50.05,52.23,2879328
2019-11-08 05:00:00,51.96,52.28,51.175,51.83,1412302
2019-11-11 05:00:00,51.56,52.1537,51.46,51.93,765405
2019-11-12 05:00:00,52.0,52.17,51.12,51.26,1323056
2019-11-13 05:00:00,50.99,52.21,50.83,52.14,1258782
2019-11-14 05:00:00,52.06,52.46,51.59,52.41,1125367
2019-11-15 05:00:00,52.61,53.21,52.48,53.07,1344157
2019-11-18 05:00:00,53.1,53.51,52.56,53.47,1038449
2019-11-19 05:00:00,53.7,54.27,53.51,53.66,1165786
2019-11-20 05:00:00,53.29,53.61,52.53,52.77,1207980
2019-11-21 05:00:00,52.48,53.5,52.26,53.41,1835710
2019-11-22 05:00:00,53.75,54.32,53.6,54.01,1192121
2019-11-25 05:00:00,54.36,54.52,53.92,53.97,863628
2019-11-26 05:00:00,53.9,54.44,53.78,53.94,1058597
2019-11-27 05:00:00,54.3,54.7075,53.94,54.64,875831
2019-11-29 05:00:00,54.43,54.672,53.58,53.65,472816
2019-12-02 05:00:00,53.7,53.97,52.98,53.16,1040930
2019-12-03 05:00:00,52.34,52.985,52.1,52.86,1401304
2019-12-04 05:00:00,52.86,53.81,52.858,53.64,1003460
2019-12-05 05:00:00,53.97,54.39,53.88,54.27,955341
2019-12-06 05:00:00,54.76,55.18,54.5,54.73,734495
2019-12-09 05:00:00,54.75,54.99,54.53,54.86,707278
2019-12-10 05:00:00,54.79,54.86,54.35,54.79,620003
2019-12-11 05:00:00,55.0,55.67,54.9,55.39,1061999
2019-12-12 05:00:00,55.45,56.26,55.21,56.13,848688
2019-12-13 05:00:00,56.26,56.72,55.65,55.77,897073
2019-12-16 05:00:00,56.36,56.36,55.19,55.21,1155223
2019-12-17 05:00:00,55.24,55.4756,54.7973,55.25,1097315
2019-12-18 05:00:00,55.32,55.32,54.59,54.82,1098267
2019-12-19 05:00:00,54.79,55.74,54.785,55.34,882493
2019-12-20 05:00:00,56.03,57.98,56.0,57.56,2228712
2019-12-23 05:00:00,57.52,58.52,57.3601,58.51,1009716
2019-12-24 05:00:00,58.57,58.57,58.04,58.38,416727
2019-12-26 05:00:00,58.48,59.12,58.1,59.08,737768
2019-12-27 05:00:00,59.2,59.34,58.81,59.09,673233
2019-12-30 05:00:00,59.1,59.11,58.25,58.58,463985
2019-12-31 05:00:00,58.5,58.65,58.275,58.39,637701
2020-01-02 05:00:00,58.79,59.105,58.15,58.83,742413
2020-01-03 05:00:00,57.74,58.22,57.25,57.58,1298385
2020-01-06 05:00:00,57.08,57.27,56.52,56.77,1571768
2020-01-07 05:00:00,56.55,57.27,56.4775,56.97,1309687
2020-01-08 05:00:00,57.03,57.92,56.92,57.58,849227
2020-01-09 05:00:00,58.06,58.13,57.52,58.06,623440
2020-01-10 05:00:00,58.23,58.39,57.574,57.95,766090
2020-01-13 05:00:00,57.98,58.005,57.3,57.82,797625
2020-01-14 05:00:00,57.77,58.085,57.68,57.9,813442
2020-01-15 05:00:00,57.87,58.25,57.15,57.55,1043635
2020-01-16 05:00:00,57.75,58.61,57.69,58.59,766135
2020-01-17 05:00:00,58.85,59.78,58.615,59.64,1380158
2020-01-21 05:00:00,59.0,59.03,57.573,57.91,3023748
2020-01-22 05:00:00,58.13,58.68,57.48,57.63,2701498
2020-01-23 05:00:00,56.8,58.28,55.92,58.23,2169662
2020-01-24 05:00:00,58.12,58.12,55.225,55.81,3925118
2020-01-27 05:00:00,53.12,54.59,53.1,54.14,2094479
2020-01-28 05:00:00,54.82,55.64,54.42,55.0,1217611
2020-01-29 05:00:00,55.16,56.2199,55.13,56.01,1148945
2020-01-30 05:00:00,53.13,55.29,52.77,54.8,2971640
2020-01-31 05:00:00,54.75,54.91,53.41,53.83,1870406
2020-02-03 05:00:00,54.19,54.67,52.75,54.185,2065482
2020-02-04 05:00:00,55.43,55.68,54.65,54.74,1490653
2020-02-05 05:00:00,55.17,55.625,54.9,55.11,1733336
2020-02-06 05:00:00,55.78,55.85,55.08,55.1,1251228
2020-02-07 05:00:00,53.49,54.04,52.31,52.82,1957979
2020-02-10 05:00:00,52.25,52.25,50.97,51.01,2283434
2020-02-11 05:00:00,51.6,52.91,51.31,52.49,1733541
2020-02-12 05:00:00,52.85,54.28,52.84,54.22,1740040
2020-02-13 05:00:00,53.41,53.64,52.91,53.43,1771027
2020-02-14 05:00:00,52.44,53.0,52.44,52.46,1647749
2020-02-18 05:00:00,52.09,52.35,51.49,51.7,1906729
2020-02-19 05:00:00,51.7,52.35,51.7,52.02,2047869
2020-02-20 05:00:00,51.49,51.58,48.41,48.5,5237402
2020-02-21 05:00:00,48.12,48.1588,46.85,46.96,3456277
2020-02-24 05:00:00,44.49,44.65,42.18,42.59,6129927
2020-02-25 05:00:00,42.95,43.06,39.18,39.29,5238065
2020-02-26 05:00:00,39.56,39.57,36.16,36.22,7170547
2020-02-27 05:00:00,35.07,37.09,33.175,34.75,9765122
2020-02-28 05:00:00,33.28,37.25,33.21,37.25,8010201
2020-03-02 05:00:00,37.1,37.1,33.98,35.59,5939182
2020-03-03 05:00:00,35.39,35.9,33.08,33.61,4936270
2020-03-04 05:00:00,34.25,34.25,31.47,32.99,6574243
