date,open,high,low,close,volume
2019-09-27 04:00:00,1.94,2.0,1.71,1.73,56475458
2019-09-30 04:00:00,1.72,1.73,1.53,1.555,56205643
2019-10-01 04:00:00,1.51,1.51,1.22,1.315,84097100
2019-10-02 04:00:00,1.19,1.65,1.19,1.62,94823304
2019-10-03 04:00:00,1.59,1.7,1.43,1.65,53518420
2019-10-04 04:00:00,1.6,1.69,1.56,1.62,24580703
2019-10-07 04:00:00,1.58,1.59,1.45,1.545,25516762
2019-10-08 04:00:00,1.73,1.8,1.66,1.715,42480492
2019-10-09 04:00:00,1.73,1.76,1.575,1.635,34114585
2019-10-10 04:00:00,1.64,1.64,1.5,1.52,31701934
2019-10-11 04:00:00,1.55,1.59,1.5,1.56,24574333
2019-10-14 04:00:00,1.56,1.57,1.52,1.53,11691856
2019-10-15 04:00:00,1.63,1.64,1.54,1.56,23515202
2019-10-16 04:00:00,1.46,1.52,1.4,1.46,35551730
2019-10-17 04:00:00,1.46,1.5,1.42,1.465,17048891
2019-10-18 04:00:00,1.45,1.55,1.44,1.52,20128230
2019-10-21 04:00:00,1.52,1.77,1.49,1.7197,36275802
2019-10-22 04:00:00,1.7,1.77,1.52,1.54,36128209
2019-10-23 04:00:00,1.58,1.595,1.52,1.55,11611545
2019-10-24 04:00:00,1.57,1.6,1.53,1.54,20213498
2019-10-25 04:00:00,1.54,1.555,1.5,1.52,19927960
2019-10-28 04:00:00,1.4289,1.5,1.38,1.47,28078428
2019-10-29 04:00:00,1.45,1.45,1.39,1.4,20542141
2019-10-30 04:00:00,1.42,1.45,1.36,1.45,19490473
2019-10-31 04:00:00,1.5,1.54,1.46,1.4751,12843948
2019-11-01 04:00:00,1.49,1.55,1.49,1.53,15892374
2019-11-04 05:00:00,1.65,1.9,1.58,1.72,57230249
2019-11-05 05:00:00,1.88,2.38,1.8,2.355,175947633
2019-11-06 05:00:00,2.46,2.46,1.96,2.045,107678032
2019-11-07 05:00:00,2.11,2.2,2.05,2.065,37885076
2019-11-08 05:00:00,2.13,2.13,1.94,1.99,36298690
2019-11-11 05:00:00,1.9,1.96,1.78,1.8559,32520329
2019-11-12 05:00:00,1.9,2.05,1.83,1.955,26390423
2019-11-13 05:00:00,1.9,1.99,1.85,1.89,23961403
2019-11-14 05:00:00,1.86,1.89,1.66,1.7487,43450489
2019-11-15 05:00:00,1.75,1.84,1.66,1.8179,30190938
2019-11-18 05:00:00,1.88,1.9,1.73,1.79,24693652
2019-11-19 05:00:00,1.78,1.89,1.78,1.849,25017195
2019-11-20 05:00:00,1.85,1.87,1.77,1.84,19361142
2019-11-21 05:00:00,1.87,2.04,1.82,1.98,38490331
2019-11-22 05:00:00,2.04,2.05,1.88,1.94,23985260
2019-11-25 05:00:00,1.99,2.12,1.96,2.065,34819929
2019-11-26 05:00:00,2.12,2.29,2.12,2.29,49842372
2019-11-27 05:00:00,2.32,2.5,2.28,2.47,74472698
2019-11-29 05:00:00,2.36,2.36,2.2,2.28,30727738
2019-12-02 05:00:00,2.35,2.44,2.3,2.4378,30970417
2019-12-03 05:00:00,2.31,2.48,2.25,2.39,36168810
2019-12-04 05:00:00,2.42,2.58,2.41,2.42,44916785
2019-12-05 05:00:00,2.53,2.57,2.25,2.2712,50266972
2019-12-06 05:00:00,2.32,2.34,2.2,2.27,30460351
2019-12-09 05:00:00,2.21,2.25,2.11,2.23,30033299
2019-12-10 05:00:00,2.2,2.28,2.14,2.2721,23659809
2019-12-11 05:00:00,2.26,2.32,2.23,2.26,19337259
2019-12-12 05:00:00,2.3,2.33,2.26,2.28,21405146
2019-12-13 05:00:00,2.31,2.43,2.2885,2.4,35447002
2019-12-16 05:00:00,2.44,2.55,2.39,2.49,34993121
2019-12-17 05:00:00,2.54,2.63,2.5,2.6,42682994
2019-12-18 05:00:00,2.58,2.67,2.54,2.62,29416730
2019-12-19 05:00:00,2.69,2.73,2.61,2.62,33289955
2019-12-20 05:00:00,2.65,2.72,2.63,2.695,32476267
2019-12-23 05:00:00,2.7399,2.76,2.65,2.665,27141475
2019-12-24 05:00:00,2.63,2.63,2.45,2.52,30484104
2019-12-26 05:00:00,2.4511,2.52,2.35,2.52,41551435
2019-12-27 05:00:00,2.54,2.55,2.41,2.42,34802772
2019-12-30 05:00:00,2.92,4.87,2.88,3.77,402967895
2019-12-31 05:00:00,4.15,4.42,3.82,4.02,193549307
2020-01-02 05:00:00,4.1,4.1,3.61,3.72,97171760
2020-01-03 05:00:00,3.5,3.9,3.48,3.83,77393254
2020-01-06 05:00:00,4.19,4.24,3.66,3.69,98224315
2020-01-07 05:00:00,3.7,3.73,3.21,3.25,100309137
2020-01-08 05:00:00,3.14,3.49,3.13,3.385,60130244
2020-01-09 05:00:00,3.44,3.58,3.33,3.47,51395446
2020-01-10 05:00:00,3.49,3.575,3.4,3.51,33027919
2020-01-13 05:00:00,3.705,3.73,3.52,3.7,53898895
2020-01-14 05:00:00,3.7,3.82,3.61,3.78,51498100
2020-01-15 05:00:00,4.19,4.48,4.0,4.29,213876146
2020-01-16 05:00:00,3.99,4.4,3.91,4.37,89011609
