date,open,high,low,close,volume
2020-06-04 04:00:00,37.55,38.88,31.25,33.84,31890018
2020-06-05 04:00:00,35.65,35.98,32.75,35.91,15176846
2020-06-08 04:00:00,42.0,73.34,40.42,73.0,89908923
2020-06-09 04:00:00,93.13,93.99,56.995,79.53,131175643
2020-06-10 04:00:00,75.51,77.0,64.95,65.08,24336912
2020-06-11 04:00:00,55.0,68.99,53.0,61.0,45307442
2020-06-12 04:00:00,67.44,67.59,63.0,64.225,4761081
2020-06-15 04:00:00,62.8,69.0,59.2101,68.11,15131904
2020-06-16 04:00:00,71.53,73.5,61.2,62.91,19565001
2020-06-17 04:00:00,65.09,68.9799,61.4,64.0,19982813
2020-06-18 04:00:00,64.53,67.99,62.33,67.65,32384094
2020-06-19 04:00:00,68.5,69.8,64.59,65.81,24510821
2020-06-22 04:00:00,64.01,70.0,63.9,69.97,17225484
2020-06-23 04:00:00,69.26,75.71,68.3,75.0102,20342164
2020-06-24 04:00:00,74.26,76.3,69.01,74.19,18731800
2020-06-25 04:00:00,72.02,74.72,70.2,71.18,13020104
2020-06-26 04:00:00,72.09,73.6489,62.87,63.535,14883935
2020-06-29 04:00:00,68.22,71.92,65.55,67.57,14423132
2020-06-30 04:00:00,67.12,70.83,64.53,67.51,13381287
2020-07-01 04:00:00,67.18,68.91,64.8744,65.9013,9343117
2020-07-02 04:00:00,64.27,65.2,55.0,57.1792,22224696
2020-07-06 04:00:00,58.9,59.03,47.9704,48.95,23593202
2020-07-07 04:00:00,46.89,47.39,40.1,40.2893,25803137
2020-07-08 04:00:00,46.58,55.43,45.03,54.03,49613819
2020-07-09 04:00:00,59.42,59.85,54.0,56.77,35568954
2020-07-10 04:00:00,54.92,55.75,52.12,54.2,16700612
2020-07-13 04:00:00,56.77,57.0,53.0,54.09,12859277
2020-07-14 04:00:00,51.85,53.55,51.0,53.09,9802022
2020-07-15 04:00:00,51.95,55.6,51.95,54.58,11366745
2020-07-16 04:00:00,53.97,54.3737,51.89,52.34,10596756
2020-07-17 04:00:00,52.5,53.1,48.31,48.76,14274179
2020-07-20 04:00:00,39.2,41.0,38.0,38.57,34750291
2020-07-21 04:00:00,40.34,41.56,39.12,39.74,16326827
2020-07-22 04:00:00,39.65,39.7,36.16,36.56,18636385
2020-07-23 04:00:00,37.12,37.2,33.86,33.89,13838479
2020-07-24 04:00:00,32.23,32.38,29.23,29.92,29768150
2020-07-27 04:00:00,31.6,35.0,31.11,33.07,29120797
2020-07-28 04:00:00,33.99,34.1,31.795,32.75,10169226
2020-07-29 04:00:00,32.32,32.8,30.2807,31.21,12153021
2020-07-30 04:00:00,30.2,30.5,29.0,29.0301,14567212
2020-07-31 04:00:00,29.68,30.95,29.22,30.0,10689947
2020-08-03 04:00:00,31.74,36.68,30.87,36.46,19471443
2020-08-04 04:00:00,38.75,39.81,35.6,38.8301,50289617
2020-08-05 04:00:00,32.79,36.24,32.15,35.0,31136469
2020-08-06 04:00:00,34.99,38.01,34.99,36.3,18644142
2020-08-07 04:00:00,36.25,37.67,35.58,36.72,11413581
2020-08-10 04:00:00,41.164,45.72,40.25,44.81,39666045
2020-08-11 04:00:00,43.5,44.25,40.6,41.07,20815925
2020-08-12 04:00:00,42.0,43.64,41.4108,42.82,10485915
2020-08-13 04:00:00,43.55,47.45,43.31,45.97,23439002
2020-08-14 04:00:00,46.87,46.95,44.36,45.96,12120781
2020-08-17 04:00:00,46.2,46.65,41.8277,43.57,13429924
2020-08-18 04:00:00,43.85,43.88,41.05,41.76,9071538
2020-08-19 04:00:00,41.72,44.6,41.26,42.525,9856991
2020-08-20 04:00:00,41.7,42.41,40.2,40.91,7509467
2020-08-21 04:00:00,40.75,41.13,39.03,39.3567,8630021
2020-08-24 04:00:00,40.53,40.54,37.0,38.67,10028402
2020-08-25 04:00:00,38.78,39.97,38.11,39.18,5292624
2020-08-26 04:00:00,39.96,40.17,38.05,38.8,6646439
2020-08-27 04:00:00,38.5,39.85,37.22,39.33,8195092
2020-08-28 04:00:00,39.0,41.93,38.61,41.35,13318787
2020-08-31 04:00:00,41.1,43.28,40.3,40.82,11222653
2020-09-01 04:00:00,40.32,41.4652,39.12,40.98,8029596
2020-09-02 04:00:00,40.54,41.57,38.2101,39.41,8634896
2020-09-03 04:00:00,39.0,39.33,35.55,36.13,10214998
2020-09-04 04:00:00,36.72,37.36,32.8,35.595,8350694
2020-09-08 04:00:00,46.0,54.56,42.44,50.04,123209458
2020-09-09 04:00:00,49.93,50.15,42.31,42.37,49913914
2020-09-10 04:00:00,38.9734,41.0,36.75,37.5699,43788414
2020-09-11 04:00:00,35.5,35.69,30.781,32.135,94732896
2020-09-14 04:00:00,30.51,36.9,28.75,35.755,101226970
2020-09-15 04:00:00,33.0,34.66,32.06,32.7745,47341426
2020-09-16 04:00:00,30.39,34.92,30.25,33.23,43801080
2020-09-17 04:00:00,32.55,34.86,32.5,33.88,21870460
2020-09-18 04:00:00,34.08,34.255,32.77,34.2501,14648071
2020-09-21 04:00:00,24.97,29.6,24.05,27.545,76819083
2020-09-22 04:00:00,27.04,29.48,26.67,28.3844,27381986
2020-09-23 04:00:00,28.16,28.8399,20.61,21.15,46896317
2020-09-24 04:00:00,18.1,20.69,16.15,19.107,49351764
2020-09-25 04:00:00,19.52,20.98,18.82,19.46,23870382
