date,open,high,low,close,volume
2019-09-27 04:00:00,5.05,5.09,4.99,5.03,19051525
2019-09-30 04:00:00,5.06,5.1057,5.03,5.06,14276115
2019-10-01 04:00:00,5.06,5.06,4.87,4.9,50842867
2019-10-02 04:00:00,4.87,4.87,4.8,4.82,29700591
2019-10-03 04:00:00,4.81,4.87,4.75,4.845,20976303
2019-10-04 04:00:00,4.87,4.89,4.84,4.88,12936379
2019-10-07 04:00:00,4.9,4.96,4.89,4.91,13049061
2019-10-08 04:00:00,4.95,4.96,4.88,4.9,13686255
2019-10-09 04:00:00,4.94,4.94,4.89,4.9,17448987
2019-10-10 04:00:00,4.96,4.98,4.9,4.935,23831535
2019-10-11 04:00:00,5.11,5.12,5.0,5.015,27652615
2019-10-14 04:00:00,5.0,5.01,4.95,4.95,20063290
2019-10-15 04:00:00,4.99,5.05,4.98,5.01,16185981
2019-10-16 04:00:00,5.08,5.1,5.04,5.09,15924697
2019-10-17 04:00:00,5.28,5.28,5.15,5.225,32351550
2019-10-18 04:00:00,5.23,5.235,5.17,5.2,32686630
2019-10-21 04:00:00,5.25,5.27,5.18,5.19,17674498
2019-10-22 04:00:00,5.23,5.24,5.18,5.19,17537953
2019-10-23 04:00:00,5.23,5.24,5.1,5.11,32999622
2019-10-24 04:00:00,4.02,4.09,3.83,3.895,213537542
2019-10-25 04:00:00,3.83,3.85,3.75,3.77,79632866
2019-10-28 04:00:00,3.68,3.7,3.58,3.59,77552140
2019-10-29 04:00:00,3.53,3.62,3.5,3.56,54869410
2019-10-30 04:00:00,3.57,3.65,3.56,3.64,50650184
2019-10-31 04:00:00,3.655,3.67,3.63,3.655,22346461
2019-11-01 04:00:00,3.65,3.7,3.63,3.65,27066422
2019-11-04 05:00:00,3.62,3.65,3.6,3.605,23837408
2019-11-05 05:00:00,3.54,3.57,3.51,3.54,35717716
2019-11-06 05:00:00,3.59,3.64,3.54,3.59,39614679
2019-11-07 05:00:00,3.58,3.61,3.54,3.565,24166262
2019-11-08 05:00:00,3.56,3.575,3.52,3.56,19574890
2019-11-11 05:00:00,3.5,3.57,3.5,3.535,36901019
2019-11-12 05:00:00,3.51,3.53,3.485,3.515,23659195
2019-11-13 05:00:00,3.48,3.5,3.45,3.4722,23453126
2019-11-14 05:00:00,3.38,3.4,3.33,3.37,34069570
2019-11-15 05:00:00,3.39,3.47,3.38,3.45,27362922
2019-11-18 05:00:00,3.44,3.49,3.44,3.45,27949360
2019-11-19 05:00:00,3.47,3.47,3.41,3.44,27592821
2019-11-20 05:00:00,3.38,3.3993,3.35,3.355,17708234
2019-11-21 05:00:00,3.39,3.4,3.36,3.385,19045203
2019-11-22 05:00:00,3.4,3.46,3.395,3.43,15712257
2019-11-25 05:00:00,3.49,3.505,3.44,3.47,19703203
2019-11-26 05:00:00,3.455,3.46,3.41,3.425,18704404
2019-11-27 05:00:00,3.43,3.48,3.41,3.4501,15499132
2019-11-29 05:00:00,3.48,3.51,3.47,3.5,6467515
2019-12-02 05:00:00,3.53,3.54,3.43,3.455,22576966
2019-12-03 05:00:00,3.5,3.51,3.44,3.47,22400681
2019-12-04 05:00:00,3.49,3.53,3.43,3.47,31558079
2019-12-05 05:00:00,3.45,3.51,3.44,3.485,14850548
2019-12-06 05:00:00,3.48,3.51,3.45,3.48,14716246
2019-12-09 05:00:00,3.43,3.45,3.41,3.42,14726704
2019-12-10 05:00:00,3.43,3.45,3.41,3.42,16662503
2019-12-11 05:00:00,3.45,3.47,3.44,3.47,10479235
2019-12-12 05:00:00,3.5,3.58,3.495,3.58,21559237
2019-12-13 05:00:00,3.58,3.62,3.52,3.52,18719069
2019-12-16 05:00:00,3.58,3.6,3.56,3.58,11993010
2019-12-17 05:00:00,3.63,3.63,3.6,3.6,16427962
2019-12-18 05:00:00,3.61,3.62,3.58,3.61,15011524
2019-12-19 05:00:00,3.61,3.63,3.57,3.59,14272524
2019-12-20 05:00:00,3.6,3.61,3.57,3.605,19935472
2019-12-23 05:00:00,3.61,3.64,3.59,3.64,15786956
2019-12-24 05:00:00,3.62,3.64,3.61,3.62,6591779
2019-12-26 05:00:00,3.63,3.64,3.62,3.62,8663791
2019-12-27 05:00:00,3.61,3.63,3.61,3.62,9009076
2019-12-30 05:00:00,3.65,3.72,3.63,3.69,25666311
2019-12-31 05:00:00,3.7,3.73,3.69,3.71,13539506
2020-01-02 05:00:00,3.84,3.89,3.82,3.87,29888774
2020-01-03 05:00:00,3.83,3.865,3.81,3.815,23068807
2020-01-06 05:00:00,3.83,3.99,3.82,3.95,54714552
2020-01-07 05:00:00,3.96,4.01,3.94,3.96,33535586
2020-01-08 05:00:00,4.02,4.05,4.01,4.03,29981818
2020-01-09 05:00:00,4.07,4.08,4.0,4.01,23685301
2020-01-10 05:00:00,4.04,4.07,4.02,4.025,20096502
2020-01-13 05:00:00,4.1,4.11,4.05,4.07,27251543
2020-01-14 05:00:00,4.02,4.04,3.99,4.005,21423079
2020-01-15 05:00:00,4.01,4.1,4.0,4.06,20407660
2020-01-16 05:00:00,4.13,4.24,4.13,4.2,27928169
2020-01-17 05:00:00,4.21,4.22,4.12,4.1458,24571237
2020-01-21 05:00:00,4.16,4.17,4.09,4.12,41094264
2020-01-22 05:00:00,4.1,4.14,4.09,4.095,36609256
2020-01-23 05:00:00,4.06,4.08,4.02,4.05,52327996
2020-01-24 05:00:00,4.09,4.09,4.0,4.05,53790423
2020-01-27 05:00:00,3.94,3.98,3.9,3.93,23885595
2020-01-28 05:00:00,3.99,4.07,3.98,4.03,21963880
2020-01-29 05:00:00,4.0,4.02,3.9,3.91,25138065
2020-01-30 05:00:00,3.88,3.95,3.87,3.95,21757561
2020-01-31 05:00:00,3.92,3.92,3.86,3.88,24058274
2020-02-03 05:00:00,3.93,3.935,3.86,3.885,30064637
2020-02-04 05:00:00,3.92,3.98,3.89,3.95,27627797
2020-02-05 05:00:00,4.01,4.03,3.94,4.03,25325706
2020-02-06 05:00:00,4.01,4.22,3.95,4.21,81961574
2020-02-07 05:00:00,4.28,4.42,4.26,4.375,93380943
2020-02-10 05:00:00,4.29,4.31,4.17,4.265,58192698
2020-02-11 05:00:00,4.43,4.53,4.38,4.41,78120993
2020-02-12 05:00:00,4.43,4.49,4.39,4.42,33016976
2020-02-13 05:00:00,4.34,4.4,4.32,4.33,28635680
2020-02-14 05:00:00,4.31,4.33,4.28,4.33,21824829
2020-02-18 05:00:00,4.24,4.25,4.21,4.25,21639123
2020-02-19 05:00:00,4.23,4.25,4.2,4.205,24557455
2020-02-20 05:00:00,4.18,4.19,4.1,4.16,24013181
2020-02-21 05:00:00,4.14,4.18,4.11,4.16,19458872
2020-02-24 05:00:00,4.01,4.07,4.0,4.015,32565073
2020-02-25 05:00:00,4.04,4.04,3.9,3.91,33565570
2020-02-26 05:00:00,3.99,4.43,3.95,4.15,86059804
2020-02-27 05:00:00,4.01,4.115,3.94,3.96,54930477
2020-02-28 05:00:00,3.845,3.89,3.78,3.875,55595154
2020-03-02 05:00:00,3.91,3.96,3.85,3.93,36568037
2020-03-03 05:00:00,3.92,3.96,3.73,3.79,41090418
2020-03-04 05:00:00,3.84,3.86,3.77,3.86,22567681
2020-03-05 05:00:00,3.755,3.79,3.66,3.68,31651833
2020-03-06 05:00:00,3.62,3.66,3.51,3.56,37016780
2020-03-09 04:00:00,3.34,3.45,3.3,3.3164,44811086
2020-03-10 04:00:00,3.39,3.4,3.21,3.32,38835640
2020-03-11 04:00:00,3.24,3.26,3.07,3.13,38023207
2020-03-12 04:00:00,2.84,2.93,2.63,2.635,47646365
2020-03-13 04:00:00,2.82,2.83,2.54,2.74,28537489
2020-03-16 04:00:00,2.38,2.54,2.38,2.42,24945689
2020-03-17 04:00:00,2.56,2.62,2.46,2.53,28199526
2020-03-18 04:00:00,2.51,2.62,2.34,2.445,33185174
2020-03-19 04:00:00,2.42,2.62,2.38,2.55,37873388
2020-03-20 04:00:00,2.68,2.8,2.6,2.6616,45586017
2020-03-23 04:00:00,2.73,2.8,2.62,2.65,43826384
