date,open,high,low,close,volume
2019-09-27 04:00:00,15.6,15.78,15.55,15.59,3405038
2019-09-30 04:00:00,15.6,15.73,15.57,15.69,3770117
2019-10-01 04:00:00,15.7,15.83,15.36,15.45,5116423
2019-10-02 04:00:00,14.93,14.93,14.56,14.76,4320500
2019-10-03 04:00:00,14.7,14.82,14.47,14.68,4157294
2019-10-04 04:00:00,14.66,14.76,14.6,14.76,2414503
2019-10-07 04:00:00,15.01,15.01,14.83,14.89,3431573
2019-10-08 04:00:00,14.85,14.91,14.75,14.8,2592318
2019-10-09 04:00:00,14.88,15.0034,14.85,14.97,2011665
2019-10-10 04:00:00,15.0,15.24,14.99,15.22,2882644
2019-10-11 04:00:00,15.39,15.5,15.39,15.4,3536970
2019-10-14 04:00:00,15.3321,15.39,15.22,15.33,1465278
2019-10-15 04:00:00,15.33,15.54,15.33,15.43,2335164
2019-10-16 04:00:00,15.44,15.47,15.39,15.41,1627494
2019-10-17 04:00:00,15.42,15.516,15.385,15.51,1885808
2019-10-18 04:00:00,15.49,15.55,15.44,15.49,1691510
2019-10-21 04:00:00,15.5,15.7,15.5,15.69,2170763
2019-10-22 04:00:00,15.68,15.845,15.58,15.83,2327368
2019-10-23 04:00:00,15.85,15.89,15.69,15.81,2366996
2019-10-24 04:00:00,15.8,15.82,15.64,15.7675,2285339
2019-10-25 04:00:00,15.82,16.07,15.605,15.67,5074704
2019-10-28 04:00:00,15.68,15.74,15.57,15.68,3484823
2019-10-29 04:00:00,15.68,15.91,15.68,15.8,2756119
2019-10-30 04:00:00,15.75,15.79,15.635,15.71,2157763
2019-10-31 04:00:00,15.68,15.84,15.68,15.83,2026198
2019-11-01 04:00:00,15.85,16.08,15.84,15.98,2745407
2019-11-04 05:00:00,16.01,16.1,16.0,16.05,2748437
2019-11-05 05:00:00,16.05,16.07,15.95,15.98,2186036
2019-11-06 05:00:00,15.94,16.06,15.84,16.04,1558404
2019-11-07 05:00:00,16.1,16.18,16.07,16.14,1955565
2019-11-08 05:00:00,16.11,16.22,16.05,16.2,1597408
2019-11-11 05:00:00,16.17,16.22,16.11,16.12,1737223
2019-11-12 05:00:00,16.11,16.205,16.03,16.13,1952502
2019-11-13 05:00:00,16.03,16.1,15.9,16.05,2438806
2019-11-14 05:00:00,15.9,15.94,15.125,15.24,10468444
2019-11-15 05:00:00,15.3,15.42,15.05,15.2,6324501
2019-11-18 05:00:00,15.19,15.525,15.155,15.34,3725856
2019-11-19 05:00:00,15.33,15.39,15.26,15.32,2400617
2019-11-20 05:00:00,15.31,15.475,15.24,15.42,2495678
2019-11-21 05:00:00,15.43,15.45,15.33,15.39,1703166
2019-11-22 05:00:00,15.38,15.46,15.325,15.35,1795983
2019-11-25 05:00:00,15.36,15.53,15.36,15.49,2150827
2019-11-26 05:00:00,15.54,15.57,15.45,15.5,1795745
2019-11-27 05:00:00,15.5,15.545,15.41,15.47,1803936
2019-11-29 05:00:00,15.51,15.56,15.47,15.505,1065817
2019-12-02 05:00:00,15.56,15.77,15.54,15.69,3192284
2019-12-03 05:00:00,15.65,15.77,15.55,15.75,2228863
2019-12-04 05:00:00,15.73,15.836,15.7,15.77,3273980
2019-12-05 05:00:00,15.78,15.79,15.66,15.7,1916309
2019-12-06 05:00:00,15.72,15.87,15.72,15.82,1619388
2019-12-09 05:00:00,15.83,15.865,15.7112,15.8,1822969
2019-12-10 05:00:00,15.76,15.895,15.7,15.75,2518031
2019-12-11 05:00:00,15.71,15.75,15.59,15.63,3115191
2019-12-12 05:00:00,15.64,15.79,15.64,15.73,1968109
2019-12-13 05:00:00,15.75,15.85,15.68,15.7,2852941
2019-12-16 05:00:00,15.77,15.865,15.73,15.74,2360324
2019-12-17 05:00:00,15.89,16.3199,15.8647,16.22,5741253
2019-12-18 05:00:00,16.2,16.31,16.115,16.235,3280180
2019-12-19 05:00:00,16.28,16.45,16.255,16.45,3082784
2019-12-20 05:00:00,16.46,16.61,16.37,16.485,3810362
2019-12-23 05:00:00,16.6,16.6,16.44,16.485,2719526
2019-12-24 05:00:00,16.5,16.57,16.38,16.52,1309298
2019-12-26 05:00:00,16.55,16.71,16.55,16.635,2788861
2019-12-27 05:00:00,16.69,16.7252,16.6,16.66,3253840
2019-12-30 05:00:00,16.23,16.2992,16.02,16.035,3276097
2019-12-31 05:00:00,16.05,16.21,16.05,16.11,2568240
2020-01-02 05:00:00,16.16,16.27,16.1,16.27,2636161
2020-01-03 05:00:00,16.15,16.24,16.08,16.14,2240337
2020-01-06 05:00:00,16.1,16.225,16.07,16.21,2895411
2020-01-07 05:00:00,16.16,16.27,16.15,16.22,1744224
2020-01-08 05:00:00,16.23,16.285,16.1734,16.245,2133076
2020-01-09 05:00:00,16.27,16.4,16.22,16.35,2190626
2020-01-10 05:00:00,16.37,16.46,16.305,16.41,2104381
2020-01-13 05:00:00,16.43,16.49,16.38,16.45,2656759
2020-01-14 05:00:00,16.45,16.53,16.43,16.475,1933965
2020-01-15 05:00:00,16.48,16.675,16.47,16.55,2382228
2020-01-16 05:00:00,16.63,16.72,16.6,16.67,2877593
2020-01-17 05:00:00,16.7,16.74,16.635,16.695,2036536
2020-01-21 05:00:00,16.7,16.81,16.67,16.74,4502152
2020-01-22 05:00:00,16.8,16.83,16.63,16.725,5914940
2020-01-23 05:00:00,16.67,16.71,16.48,16.695,6058592
2020-01-24 05:00:00,16.68,16.74,16.43,16.5,5762488
2020-01-27 05:00:00,16.35,16.47,16.27,16.4,2695329
2020-01-28 05:00:00,16.47,16.675,16.45,16.63,2439144
2020-01-29 05:00:00,16.7,16.75,16.65,16.72,1995112
2020-01-30 05:00:00,16.67,16.82,16.655,16.81,2345693
2020-01-31 05:00:00,16.85,16.92,16.72,16.74,4552154
2020-02-03 05:00:00,16.76,16.95,16.7,16.82,4011391
2020-02-04 05:00:00,16.9,16.98,16.765,16.85,3630617
2020-02-05 05:00:00,16.94,17.045,16.88,16.92,5017177
2020-02-06 05:00:00,17.23,17.63,17.1,17.47,11089278
2020-02-07 05:00:00,17.47,17.535,17.215,17.24,4234487
2020-02-10 05:00:00,17.31,17.41,17.16,17.27,3741845
2020-02-11 05:00:00,17.3,17.5273,17.26,17.4,3833962
2020-02-12 05:00:00,17.46,17.57,17.4,17.455,4515640
2020-02-13 05:00:00,17.51,17.6,17.43,17.505,3420240
2020-02-14 05:00:00,17.5,17.63,17.45,17.63,2514908
2020-02-18 05:00:00,17.58,17.64,17.51,17.58,3712265
2020-02-19 05:00:00,17.65,17.66,17.4642,17.53,4317221
2020-02-20 05:00:00,17.53,17.6,17.46,17.598,3676202
2020-02-21 05:00:00,17.58,17.59,17.37,17.43,4074803
2020-02-24 05:00:00,17.04,17.25,16.88,17.17,4874071
