date,open,high,low,close,volume
2019-09-27 04:00:00,18.62,18.96,18.1,18.26,1695436
2019-09-30 04:00:00,18.43,18.74,18.31,18.62,986013
2019-10-01 04:00:00,18.69,19.21,18.27,18.28,1023529
2019-10-02 04:00:00,18.1,18.71,18.01,18.6,1001021
2019-10-03 04:00:00,18.48,18.695,18.085,18.63,817049
2019-10-04 04:00:00,18.61,18.83,18.36,18.81,1333287
2019-10-07 04:00:00,18.71,19.065,18.45,18.81,1168771
2019-10-08 04:00:00,18.61,18.785,18.41,18.54,1663122
2019-10-09 04:00:00,18.7,18.731,18.4,18.51,1597785
2019-10-10 04:00:00,18.63,18.8591,18.46,18.5,1431678
2019-10-11 04:00:00,18.83,19.29,18.71,19.1,2598253
2019-10-14 04:00:00,18.98,19.22,18.81,19.14,1423732
2019-10-15 04:00:00,19.1,19.665,19.0,19.53,1853598
2019-10-16 04:00:00,19.57,19.965,19.46,19.84,2516098
2019-10-17 04:00:00,20.15,20.665,19.91,20.58,6413594
2019-10-18 04:00:00,20.47,20.78,20.23,20.44,2315355
2019-10-21 04:00:00,20.69,20.85,20.43,20.68,809242
2019-10-22 04:00:00,20.71,20.86,20.53,20.76,1059992
2019-10-23 04:00:00,20.92,21.32,20.55,21.3,2110833
2019-10-24 04:00:00,21.28,21.5,20.775,21.03,1016367
2019-10-25 04:00:00,20.85,21.21,20.7,21.14,1624948
2019-10-28 04:00:00,21.38,21.87,21.355,21.79,1787809
2019-10-29 04:00:00,21.67,22.11,21.56,22.07,1809517
2019-10-30 04:00:00,22.09,22.102,21.43,21.85,1348693
2019-10-31 04:00:00,21.04,21.58,21.04,21.31,2266877
2019-11-01 04:00:00,20.78,21.455,20.55,21.45,1524100
2019-11-04 05:00:00,21.75,21.91,21.54,21.79,1084259
2019-11-05 05:00:00,22.0,22.34,21.895,22.03,1311332
2019-11-06 05:00:00,22.03,22.16,21.725,21.73,923912
2019-11-07 05:00:00,22.02,22.24,21.735,21.89,1163252
2019-11-08 05:00:00,21.9,22.455,21.64,22.44,1014211
2019-11-11 05:00:00,22.31,22.54,22.2,22.48,754689
2019-11-12 05:00:00,22.48,22.58,22.005,22.17,719401
2019-11-13 05:00:00,21.98,22.12,21.74,21.98,596315
2019-11-14 05:00:00,22.02,22.25,21.72,21.72,816568
2019-11-15 05:00:00,21.95,22.12,21.72,21.95,748300
2019-11-18 05:00:00,21.92,22.315,21.815,22.22,1081749
2019-11-19 05:00:00,22.42,22.48,22.17,22.17,590812
2019-11-20 05:00:00,21.94,22.33,21.825,21.93,762155
2019-11-21 05:00:00,22.06,22.18,21.805,22.05,788095
2019-11-22 05:00:00,22.15,22.38,22.06,22.21,784989
2019-11-25 05:00:00,22.29,22.95,22.2071,22.85,1453304
2019-11-26 05:00:00,22.82,23.01,22.68,22.84,772137
2019-11-27 05:00:00,22.96,23.41,22.89,23.385,603401
2019-11-29 05:00:00,23.23,23.425,23.02,23.04,321542
2019-12-02 05:00:00,23.03,23.38,22.815,23.355,2108810
2019-12-03 05:00:00,22.95,23.47,22.835,23.42,2586945
2019-12-04 05:00:00,23.57,23.57,22.92,22.98,2496382
2019-12-05 05:00:00,23.16,23.16,22.15,22.24,1275156
2019-12-06 05:00:00,22.49,23.24,22.45,23.13,1166316
2019-12-09 05:00:00,23.04,23.15,22.65,23.0,1062564
2019-12-10 05:00:00,23.14,24.13,23.005,24.09,2368551
2019-12-11 05:00:00,24.27,24.36,24.11,24.25,969643
2019-12-12 05:00:00,24.29,24.99,24.21,24.94,1181553
2019-12-13 05:00:00,24.9,25.23,24.77,24.98,1228543
2019-12-16 05:00:00,25.25,25.505,25.16,25.18,1082688
2019-12-17 05:00:00,25.2,25.775,25.11,25.72,1386546
2019-12-18 05:00:00,25.84,26.14,25.8,26.07,1409271
2019-12-19 05:00:00,26.11,26.26,25.775,25.82,715234
2019-12-20 05:00:00,25.84,25.94,25.08,25.12,1514309
2019-12-23 05:00:00,25.34,25.72,25.25,25.66,611805
2019-12-24 05:00:00,25.7,25.7,25.48,25.54,277663
2019-12-26 05:00:00,25.62,25.97,25.44,25.88,495622
2019-12-27 05:00:00,26.0,26.0,25.61,25.69,338360
2019-12-30 05:00:00,25.73,25.78,25.28,25.51,463341
2019-12-31 05:00:00,25.37,25.76,25.325,25.56,582599
2020-01-02 05:00:00,25.97,26.15,25.62,26.14,1268745
2020-01-03 05:00:00,25.64,25.965,25.415,25.92,815979
2020-01-06 05:00:00,25.58,26.33,25.52,26.21,903222
2020-01-07 05:00:00,26.13,26.48,26.045,26.46,936653
2020-01-08 05:00:00,26.43,27.075,26.42,26.85,1156566
2020-01-09 05:00:00,27.0,27.03,26.77,26.86,788307
2020-01-10 05:00:00,26.8,26.86,26.2695,26.32,1046726
2020-01-13 05:00:00,26.41,26.69,26.1,26.52,1088743
2020-01-14 05:00:00,26.27,27.135,26.26,26.98,1141934
