date,open,high,low,close,volume
2019-09-27 04:00:00,39.0,39.37,38.59,38.725,680503
2019-09-30 04:00:00,38.91,39.06,38.34,38.95,514005
2019-10-01 04:00:00,39.07,39.38,38.2,38.245,601986
2019-10-02 04:00:00,38.23,38.93,37.63,38.7,589471
2019-10-03 04:00:00,38.46,39.84,38.43,39.76,698843
2019-10-04 04:00:00,39.84,40.745,39.84,40.7,951305
2019-10-07 04:00:00,40.58,41.74,40.265,41.27,1200143
2019-10-08 04:00:00,40.9,41.54,40.24,41.05,1082171
2019-10-09 04:00:00,41.38,42.09,40.26,40.39,1311614
2019-10-10 04:00:00,40.35,40.86,38.96,39.03,1176640
2019-10-11 04:00:00,39.66,40.22,39.03,39.39,1266887
2019-10-14 04:00:00,39.12,39.18,37.81,38.76,1368181
2019-10-15 04:00:00,38.71,38.71,38.05,38.17,1223724
2019-10-16 04:00:00,38.43,38.93,38.36,38.62,896460
2019-10-17 04:00:00,38.92,39.7,38.65,39.55,919169
2019-10-18 04:00:00,39.26,40.61,39.235,40.32,1181032
2019-10-21 04:00:00,40.94,41.23,40.43,40.9,507052
2019-10-22 04:00:00,40.85,41.28,40.38,41.16,300086
2019-10-23 04:00:00,41.16,41.97,40.78,41.01,617691
2019-10-24 04:00:00,41.2,42.47,40.93,42.33,623263
2019-10-25 04:00:00,42.25,43.49,41.83,42.67,685540
2019-10-28 04:00:00,42.76,43.59,42.76,42.87,469317
2019-10-29 04:00:00,43.06,43.13,41.55,41.58,327845
2019-10-30 04:00:00,41.47,41.47,39.71,40.14,521921
2019-10-31 04:00:00,40.17,40.17,39.62,39.76,368949
2019-11-01 04:00:00,39.84,40.8,39.54,40.49,337747
2019-11-04 05:00:00,40.75,41.89,40.36,41.26,418901
2019-11-05 05:00:00,41.41,42.07,41.2,41.32,373450
2019-11-06 05:00:00,41.37,41.54,40.73,41.32,389896
2019-11-07 05:00:00,41.49,41.9,41.32,41.53,325881
2019-11-08 05:00:00,41.49,41.68,40.94,41.52,208780
2019-11-11 05:00:00,41.22,41.3,39.57,39.81,406126
2019-11-12 05:00:00,39.83,40.0,38.85,39.32,483145
2019-11-13 05:00:00,39.17,39.475,38.67,39.36,443690
2019-11-14 05:00:00,39.43,39.43,38.49,38.51,385543
