date,open,high,low,close,volume
2019-09-27 04:00:00,2.65,2.67,2.55,2.59,2661414
2019-09-30 04:00:00,2.6,2.65,2.55,2.62,2502247
2019-10-01 04:00:00,2.65,2.65,2.49,2.52,2592881
2019-10-02 04:00:00,2.48,2.52,2.35,2.42,3957557
2019-10-03 04:00:00,2.4,2.42,2.32,2.39,2723496
2019-10-04 04:00:00,2.42,2.45,2.37,2.45,3795759
2019-10-07 04:00:00,2.45,2.55,2.43,2.54,5327789
2019-10-08 04:00:00,2.54,2.72,2.54,2.625,9914854
2019-10-09 04:00:00,2.68,2.7,2.6,2.66,4473225
2019-10-10 04:00:00,2.67,2.71,2.6539,2.69,3511281
2019-10-11 04:00:00,2.72,2.77,2.67,2.67,6262563
2019-10-14 04:00:00,2.695,2.78,2.695,2.735,9482354
2019-10-15 04:00:00,2.74,2.79,2.69,2.79,6801420
2019-10-16 04:00:00,2.77,2.835,2.76,2.81,7077883
2019-10-17 04:00:00,2.83,3.0,2.8,2.93,16771533
2019-10-18 04:00:00,2.96,3.05,2.94,3.03,15979216
2019-10-21 04:00:00,3.0738,3.09,2.9,2.9158,7564431
2019-10-22 04:00:00,2.95,3.0,2.82,2.895,3652075
2019-10-23 04:00:00,2.9,2.9975,2.89,2.97,2267910
2019-10-24 04:00:00,3.0,3.05,2.99,3.035,4121368
2019-10-25 04:00:00,3.05,3.05,2.96,2.97,3151562
2019-10-28 04:00:00,3.0,3.02,2.91,2.91,4076390
2019-10-29 04:00:00,2.92,2.95,2.72,2.75,17048252
2019-10-30 04:00:00,2.76,2.77,2.6,2.64,5007156
2019-10-31 04:00:00,2.66,2.68,2.55,2.65,3817385
2019-11-01 04:00:00,2.7,2.82,2.7,2.7899,4159647
2019-11-04 05:00:00,2.84,2.92,2.76,2.79,5669638
2019-11-05 05:00:00,2.81,2.825,2.705,2.76,3904535
2019-11-06 05:00:00,2.8,2.85,2.73,2.85,5648740
2019-11-07 05:00:00,2.72,2.7601,2.55,2.66,7331065
2019-11-08 05:00:00,2.65,2.74,2.62,2.72,2245439
2019-11-11 05:00:00,2.81,2.965,2.77,2.94,11399687
2019-11-12 05:00:00,3.02,3.19,2.98,3.0664,15363689
2019-11-13 05:00:00,3.16,3.44,3.15,3.37,18077021
2019-11-14 05:00:00,3.62,3.65,3.24,3.415,18058021
2019-11-15 05:00:00,3.43,3.61,3.36,3.49,12523791
2019-11-18 05:00:00,3.56,3.77,3.52,3.74,13089692
2019-11-19 05:00:00,3.67,3.69,3.29,3.39,18088677
2019-11-20 05:00:00,3.41,3.59,3.33,3.47,7616693
2019-11-21 05:00:00,3.49,3.52,3.295,3.36,6042961
2019-11-22 05:00:00,3.45,3.48,3.325,3.37,4960420
2019-11-25 05:00:00,3.47,3.81,3.42,3.7,16892798
2019-11-26 05:00:00,3.73,3.91,3.67,3.9,13187843
2019-11-27 05:00:00,3.99,4.04,3.92,3.99,12606611
2019-11-29 05:00:00,3.99,3.99,3.73,3.9,6064123
2019-12-02 05:00:00,3.91,4.01,3.66,3.8,9784987
2019-12-03 05:00:00,3.4,3.49,3.17,3.37,18411498
2019-12-04 05:00:00,3.45,3.52,3.29,3.295,7885430
2019-12-05 05:00:00,3.19,3.225,3.05,3.095,14870761
2019-12-06 05:00:00,3.08,3.21,3.0,3.155,27882413
2019-12-09 05:00:00,3.23,3.33,2.93,3.0,15062377
2019-12-10 05:00:00,3.0,3.11,2.92,3.065,8269061
2019-12-11 05:00:00,3.15,3.25,3.09,3.215,10819511
2019-12-12 05:00:00,3.3,3.3,3.09,3.13,8122572
2019-12-13 05:00:00,3.18,3.2,3.07,3.09,6766531
2019-12-16 05:00:00,3.13,3.2,3.09,3.16,6372361
2019-12-17 05:00:00,3.17,3.17,3.05,3.055,8565244
