date,open,high,low,close,volume
2019-09-27 04:00:00,6.63,6.66,6.61,6.64,1123536
2019-09-30 04:00:00,6.63,6.64,6.59,6.6,1021757
2019-10-01 04:00:00,6.59,6.6,6.45,6.495,1695421
2019-10-02 04:00:00,6.49,6.49,6.39,6.425,1979600
2019-10-03 04:00:00,6.41,6.46,6.36,6.41,1675491
2019-10-04 04:00:00,6.42,6.47,6.42,6.45,1389918
2019-10-07 04:00:00,6.45,6.52,6.44,6.49,2086594
2019-10-08 04:00:00,6.48,6.49,6.4,6.43,2329240
2019-10-09 04:00:00,6.45,6.4997,6.42,6.455,2206684
2019-10-10 04:00:00,6.48,6.51,6.46,6.485,1640285
2019-10-11 04:00:00,6.53,6.55,6.47,6.48,2283497
2019-10-14 04:00:00,6.45,6.475,6.43,6.465,1289104
2019-10-15 04:00:00,6.47,6.56,6.47,6.53,1932135
2019-10-16 04:00:00,6.53,6.54,6.48,6.5,1610092
2019-10-17 04:00:00,6.49,6.52,6.47,6.5,1910749
2019-10-18 04:00:00,6.51,6.56,6.5,6.535,1580533
2019-10-21 04:00:00,6.55,6.59,6.54,6.57,880166
2019-10-22 04:00:00,6.59,6.62,6.57,6.6,1070264
2019-10-23 04:00:00,6.59,6.59,6.54,6.58,1075104
2019-10-24 04:00:00,6.59,6.59,6.5,6.55,1271971
2019-10-25 04:00:00,6.5,6.58,6.48,6.54,1277432
2019-10-28 04:00:00,6.56,6.58,6.55,6.56,777229
2019-10-29 04:00:00,6.56,6.58,6.54,6.56,1083764
2019-10-30 04:00:00,6.49,6.51,6.45,6.47,1136732
2019-10-31 04:00:00,6.48,6.48,6.4,6.44,1648015
2019-11-01 04:00:00,6.45,6.47,6.42,6.425,1617268
2019-11-04 05:00:00,6.43,6.45,6.39,6.4,2127194
2019-11-05 05:00:00,6.41,6.42,6.36,6.395,1468230
2019-11-06 05:00:00,6.4,6.46,6.3901,6.445,1558848
2019-11-07 05:00:00,6.42,6.54,6.34,6.38,2613472
2019-11-08 05:00:00,6.38,6.495,6.35,6.49,1978448
2019-11-11 05:00:00,6.49,6.505,6.47,6.49,1088730
2019-11-12 05:00:00,6.5,6.52,6.48,6.51,1732614
2019-11-13 05:00:00,6.5,6.5,6.47,6.5,1302895
2019-11-14 05:00:00,6.48,6.5,6.465,6.5,933329
2019-11-15 05:00:00,6.5,6.5,6.44,6.45,1603679
2019-11-18 05:00:00,6.46,6.51,6.45,6.49,2209175
2019-11-19 05:00:00,6.49,6.5,6.46,6.49,1441673
2019-11-20 05:00:00,6.5,6.5,6.44,6.45,1791768
2019-11-21 05:00:00,6.48,6.5,6.46,6.49,1206058
2019-11-22 05:00:00,6.49,6.51,6.48,6.51,1387464
2019-11-25 05:00:00,6.5,6.55,6.5,6.54,1652438
2019-11-26 05:00:00,6.53,6.59,6.52,6.57,2017094
2019-11-27 05:00:00,6.52,6.53,6.46,6.51,1337758
2019-11-29 05:00:00,6.5,6.52,6.47,6.51,738083
2019-12-02 05:00:00,6.53,6.53,6.47,6.495,1511026
2019-12-03 05:00:00,6.48,6.5,6.47,6.5,994516
2019-12-04 05:00:00,6.5,6.55,6.49,6.525,1069702
2019-12-05 05:00:00,6.54,6.54,6.5,6.51,733640
2019-12-06 05:00:00,6.53,6.55,6.51,6.52,922500
2019-12-09 05:00:00,6.5,6.54,6.49,6.52,996001
2019-12-10 05:00:00,6.54,6.55,6.51,6.52,1441577
2019-12-11 05:00:00,6.53,6.55,6.52,6.55,1260228
2019-12-12 05:00:00,6.57,6.59,6.54,6.56,1431741
2019-12-13 05:00:00,6.55,6.61,6.55,6.6,1832740
2019-12-16 05:00:00,6.6,6.68,6.59,6.66,2878790
2019-12-17 05:00:00,6.67,6.75,6.65,6.69,2578957
2019-12-18 05:00:00,6.69,6.74,6.66,6.66,1474756
2019-12-19 05:00:00,6.67,6.69,6.65,6.665,1427993
