date,open,high,low,close,volume
2019-09-27 04:00:00,26.17,26.17,23.75,25.25,15531104
2019-09-30 04:00:00,25.26,25.85,25.0,25.06,4406811
2019-10-01 04:00:00,25.0,25.17,22.51,22.52,8435875
2019-10-02 04:00:00,22.25,23.18,21.76,22.59,7836889
2019-10-03 04:00:00,22.49,22.82,21.14,22.3,8085494
2019-10-04 04:00:00,22.35,23.42,22.3057,23.02,6346505
2019-10-07 04:00:00,23.07,24.33,22.49,23.515,5392499
2019-10-08 04:00:00,23.6,23.9,22.33,23.2,5738198
2019-10-09 04:00:00,23.63,24.8,23.25,24.07,5571160
2019-10-10 04:00:00,24.1,24.2,22.8,23.11,6787230
2019-10-11 04:00:00,23.1,23.4,22.11,22.41,6618918
2019-10-14 04:00:00,22.17,22.24,21.4,21.45,5227288
2019-10-15 04:00:00,21.51,23.68,21.51,23.44,5649407
2019-10-16 04:00:00,23.54,23.54,22.46,23.06,4871995
2019-10-17 04:00:00,23.0,23.96,23.0,23.85,2329160
2019-10-18 04:00:00,24.3,24.68,23.12,23.48,6580166
2019-10-21 04:00:00,23.925,24.06,21.7738,22.26,7362377
2019-10-22 04:00:00,22.67,22.698,20.93,21.19,5788608
2019-10-23 04:00:00,21.13,21.74,20.46,21.08,4868948
2019-10-24 04:00:00,21.24,21.45,20.7,21.35,2439204
2019-10-25 04:00:00,21.13,23.09,21.0002,22.4,2482531
2019-10-28 04:00:00,22.55,22.67,21.45,21.45,4135138
2019-10-29 04:00:00,21.57,24.16,21.43,23.16,4618121
2019-10-30 04:00:00,23.4,23.735,22.66,23.66,2463701
2019-10-31 04:00:00,23.49,23.94,22.91,23.84,1812552
2019-11-01 04:00:00,23.87,25.3,23.7528,24.99,4832878
2019-11-04 05:00:00,25.3,26.5,23.54,24.63,5861439
2019-11-05 05:00:00,24.1,24.25,22.25,22.74,12410895
2019-11-06 05:00:00,22.93,23.2,22.29,23.03,3772444
2019-11-07 05:00:00,23.02,23.31,22.41,22.6,2774740
2019-11-08 05:00:00,22.45,23.55,22.25,23.51,2876989
2019-11-11 05:00:00,23.44,24.17,22.45,24.04,2887873
2019-11-12 05:00:00,24.32,24.99,24.19,24.68,2384117
2019-11-13 05:00:00,24.46,26.8525,24.15,25.97,5964278
2019-11-14 05:00:00,26.2,26.26,25.4,25.98,3029755
2019-11-15 05:00:00,26.01,28.82,25.71,27.23,7018538
2019-11-18 05:00:00,27.34,30.36,26.24,30.255,9008690
2019-11-19 05:00:00,29.99,32.01,28.8,29.24,6932590
2019-11-20 05:00:00,29.09,29.99,27.75,29.11,2571607
2019-11-21 05:00:00,29.13,30.0,28.6605,29.8299,1696319
2019-11-22 05:00:00,30.11,30.65,28.9,29.35,1629857
2019-11-25 05:00:00,29.49,31.11,29.49,30.86,2911546
2019-11-26 05:00:00,31.41,31.5,29.747,30.96,2202209
2019-11-27 05:00:00,31.05,33.07,29.85,32.16,4188788
2019-11-29 05:00:00,32.66,35.75,32.51,35.175,5533169
2019-12-02 05:00:00,35.3,37.02,32.96,36.84,6541314
2019-12-03 05:00:00,35.91,36.0,33.14,33.475,7766525
2019-12-04 05:00:00,34.78,35.3,31.22,32.95,8609669
2019-12-05 05:00:00,33.65,33.65,30.51,31.3,6485982
2019-12-06 05:00:00,31.8,33.39,31.36,32.63,6784531
2019-12-09 05:00:00,33.3,35.35,33.04,34.79,7789007
2019-12-10 05:00:00,35.04,35.1,31.62,32.78,13074575
2019-12-11 05:00:00,32.12,32.38,29.87,32.08,7236349
2019-12-12 05:00:00,31.62,32.36,29.86,30.8,6717102
2019-12-13 05:00:00,30.99,31.97,30.25,31.48,3294114
2019-12-16 05:00:00,31.65,31.92,30.21,31.35,3400221
2019-12-17 05:00:00,31.6,33.32,30.6,32.96,5435700
2019-12-18 05:00:00,32.71,33.5,31.3535,31.89,4753921
2019-12-19 05:00:00,31.74,32.39,31.0,31.93,3245418
2019-12-20 05:00:00,32.0,32.25,29.8,29.96,6745303
2019-12-23 05:00:00,30.15,30.2,28.87,29.25,4521595
2019-12-24 05:00:00,29.07,29.25,28.56,28.79,1899415
2019-12-26 05:00:00,29.0,29.18,26.74,26.99,8455685
2019-12-27 05:00:00,27.0,27.3,25.67,26.96,6733981
2019-12-30 05:00:00,26.83,28.1082,26.47,27.68,4609142
2019-12-31 05:00:00,27.48,29.06,27.31,28.37,3283131
2020-01-02 05:00:00,28.9,30.02,27.8,29.76,5878691
2020-01-03 05:00:00,29.49,31.25,29.29,30.57,4754447
2020-01-06 05:00:00,30.61,31.705,29.72,29.78,4011469
2020-01-07 05:00:00,29.44,30.84,28.83,30.4,2977297
2020-01-08 05:00:00,30.07,30.25,28.85,29.65,6458283
2020-01-09 05:00:00,29.38,29.94,27.585,27.83,6466410
2020-01-10 05:00:00,27.85,28.15,26.89,28.01,5783309
2020-01-13 05:00:00,28.3,28.97,27.2401,28.51,3599032
2020-01-14 05:00:00,28.8,30.26,28.35,29.665,4551733
2020-01-15 05:00:00,30.96,31.44,29.7738,30.831,7563241
2020-01-16 05:00:00,31.1,31.8,30.36,30.83,5436340
2020-01-17 05:00:00,31.0,31.95,30.7826,31.6775,3745433
2020-01-21 05:00:00,31.69,33.7,31.6,32.01,9742678
2020-01-22 05:00:00,32.32,33.2,30.53,30.7,9837974
2020-01-23 05:00:00,30.69,31.59,29.96,30.06,6324103
2020-01-24 05:00:00,30.08,30.77,28.85,30.51,10495710
2020-01-27 05:00:00,29.67,31.38,29.2,31.32,4064711
2020-01-28 05:00:00,31.56,31.65,30.56,31.35,3717498
2020-01-29 05:00:00,31.38,31.8,30.81,31.51,3193229
2020-01-30 05:00:00,31.25,32.3,31.25,32.25,3725046
2020-01-31 05:00:00,32.25,32.52,31.0206,32.36,3176377
2020-02-03 05:00:00,32.87,33.5,31.94,33.34,4741262
2020-02-04 05:00:00,33.91,34.6,33.28,33.475,7539495
2020-02-05 05:00:00,34.04,34.09,31.64,32.6,6275554
2020-02-06 05:00:00,29.94,30.75,28.82,29.0001,11723892
2020-02-07 05:00:00,28.59,28.59,27.05,27.85,7704509
2020-02-10 05:00:00,27.83,29.0599,27.62,28.6,3742682
2020-02-11 05:00:00,28.75,29.18,28.2,28.68,2402039
2020-02-12 05:00:00,28.84,29.21,28.25,28.33,2153935
2020-02-13 05:00:00,28.2,30.27,27.4,28.84,6839727
2020-02-14 05:00:00,28.89,28.89,27.5,27.69,2942502
2020-02-18 05:00:00,27.5,27.88,26.84,27.09,2651843
2020-02-19 05:00:00,27.3,27.69,26.8,27.09,3018409
2020-02-20 05:00:00,27.1,27.8,26.6,27.01,3707501
2020-02-21 05:00:00,26.81,26.9,25.32,25.49,5710641
2020-02-24 05:00:00,24.7,27.07,24.52,26.5873,19494217
