date,open,high,low,close,volume
2019-09-27 04:00:00,37.29,37.585,36.17,36.3,513038
2019-09-30 04:00:00,36.5,36.6986,35.96,36.31,728227
2019-10-01 04:00:00,36.59,37.2375,35.69,35.87,611638
2019-10-02 04:00:00,35.41,35.4603,34.05,34.75,1318498
2019-10-03 04:00:00,34.75,34.75,32.97,33.657,1958494
2019-10-04 04:00:00,33.61,34.03,33.255,33.99,1132393
2019-10-07 04:00:00,34.39,34.46,33.9,34.06,1053160
2019-10-08 04:00:00,33.83,33.915,33.08,33.1,1207912
2019-10-09 04:00:00,33.55,33.98,33.36,33.7,1642674
2019-10-10 04:00:00,33.54,34.24,33.12,34.0,1137384
2019-10-11 04:00:00,35.49,37.8,35.49,36.04,3180748
2019-10-14 04:00:00,35.96,36.235,35.33,35.83,966654
2019-10-15 04:00:00,35.83,36.95,35.35,36.89,2216873
2019-10-16 04:00:00,37.15,37.44,35.85,36.05,1460977
2019-10-17 04:00:00,36.5,37.115,36.2,36.77,989585
2019-10-18 04:00:00,36.62,36.99,36.382,36.75,1132313
2019-10-21 04:00:00,37.37,38.48,37.27,37.88,1292889
2019-10-22 04:00:00,37.66,37.81,36.54,37.24,1283377
2019-10-23 04:00:00,37.2,37.895,36.61,37.76,1381738
2019-10-24 04:00:00,39.185,39.85,36.3,37.26,3262919
2019-10-25 04:00:00,37.32,38.38,37.27,37.93,1251162
2019-10-28 04:00:00,38.21,38.56,37.95,38.16,840319
2019-10-29 04:00:00,37.95,38.14,37.145,37.18,749814
2019-10-30 04:00:00,37.08,37.73,36.87,37.69,594481
2019-10-31 04:00:00,37.06,37.59,36.96,37.53,667708
2019-11-01 04:00:00,37.91,38.09,37.56,38.08,859667
2019-11-04 05:00:00,38.62,38.79,38.25,38.46,1198475
2019-11-05 05:00:00,38.9,39.75,38.79,38.9,789629
2019-11-06 05:00:00,38.81,39.285,38.7981,39.21,631899
2019-11-07 05:00:00,39.41,39.97,39.15,39.43,1238403
2019-11-08 05:00:00,39.25,39.315,38.34,38.98,675132
2019-11-11 05:00:00,38.86,39.31,38.55,38.715,362328
2019-11-12 05:00:00,38.69,38.79,37.7,37.87,685105
2019-11-13 05:00:00,37.41,37.54,37.05,37.47,398125
2019-11-14 05:00:00,37.35,37.78,37.19,37.7,585841
2019-11-15 05:00:00,37.94,38.71,37.78,38.24,951825
2019-11-18 05:00:00,38.14,38.23,37.39,37.9,558756
2019-11-19 05:00:00,38.1304,38.91,37.83,38.82,693483
2019-11-20 05:00:00,38.43,38.9,38.03,38.13,704442
2019-11-21 05:00:00,38.15,38.61,37.61,37.67,465089
2019-11-22 05:00:00,37.84,38.54,37.67,38.47,580812
2019-11-25 05:00:00,38.72,40.17,38.54,39.92,1044705
2019-11-26 05:00:00,39.85,39.9733,39.07,39.1,725217
2019-11-27 05:00:00,39.27,39.75,38.89,39.17,552823
2019-11-29 05:00:00,39.11,39.465,38.96,39.11,181022
2019-12-02 05:00:00,39.93,40.9,39.44,39.61,916908
2019-12-03 05:00:00,38.75,39.1038,37.5603,38.03,1463931
2019-12-04 05:00:00,38.17,38.7256,38.03,38.19,998075
2019-12-05 05:00:00,38.5,38.5,37.69,38.08,524445
2019-12-06 05:00:00,38.46,39.33,38.46,39.2,759659
2019-12-09 05:00:00,39.02,39.12,38.41,38.46,667290
2019-12-10 05:00:00,38.0,38.75,37.6303,38.22,861525
2019-12-11 05:00:00,38.18,38.32,37.77,37.99,545789
2019-12-12 05:00:00,38.34,39.38,38.19,38.36,658331
2019-12-13 05:00:00,38.3,38.73,38.04,38.24,831863
2019-12-16 05:00:00,39.0,39.95,38.76,39.17,881563
2019-12-17 05:00:00,38.97,40.96,38.9,40.95,1862676
2019-12-18 05:00:00,41.14,41.155,40.08,40.42,915359
2019-12-19 05:00:00,40.31,41.395,39.76,41.28,1811901
2019-12-20 05:00:00,41.42,41.69,41.02,41.37,1168042
2019-12-23 05:00:00,41.45,41.79,41.0227,41.03,744210
2019-12-24 05:00:00,41.22,41.47,40.78,41.16,262686
2019-12-26 05:00:00,41.23,41.57,41.01,41.24,581837
2019-12-27 05:00:00,41.27,41.36,40.13,40.57,697947
2019-12-30 05:00:00,40.62,40.62,39.76,39.83,1320482
2019-12-31 05:00:00,39.72,40.51,39.5,40.32,691629
2020-01-02 05:00:00,40.7,40.93,40.1,40.65,849222
2020-01-03 05:00:00,39.66,39.93,38.33,39.8,1164816
2020-01-06 05:00:00,39.3,40.54,39.05,40.39,848376
2020-01-07 05:00:00,40.22,40.38,39.22,39.5,772830
2020-01-08 05:00:00,39.12,40.54,39.01,39.94,1100341
2020-01-09 05:00:00,40.68,40.87,39.87,40.0,1237830
2020-01-10 05:00:00,40.83,40.84,39.37,39.78,1416114
2020-01-13 05:00:00,39.65,39.93,39.4,39.76,1122183
2020-01-14 05:00:00,40.26,40.93,40.1,40.11,1103764
2020-01-15 05:00:00,39.87,40.1951,39.5985,39.68,693150
2020-01-16 05:00:00,41.58,43.37,41.54,42.65,2708147
2020-01-17 05:00:00,43.08,43.54,42.33,42.93,1401173
2020-01-21 05:00:00,42.46,42.98,40.65,41.69,3378227
2020-01-22 05:00:00,42.0,42.89,41.94,42.61,1766470
2020-01-23 05:00:00,42.18,43.0,41.38,42.86,2170158
2020-01-24 05:00:00,42.77,43.0,41.22,42.1,2253635
2020-01-27 05:00:00,41.1,41.79,40.53,41.32,988939
2020-01-28 05:00:00,41.82,42.77,41.82,42.4,840974
2020-01-29 05:00:00,42.43,43.07,42.23,42.7,1097563
2020-01-30 05:00:00,42.08,42.54,41.479,42.44,818030
2020-01-31 05:00:00,42.07,42.26,40.47,41.04,1012040
2020-02-03 05:00:00,41.25,42.43,41.25,41.94,967092
2020-02-04 05:00:00,42.97,43.7224,42.88,43.35,954319
2020-02-05 05:00:00,44.0,44.7,43.41,44.44,1627181
2020-02-06 05:00:00,46.5,47.4998,42.49,42.76,3887340
2020-02-07 05:00:00,42.44,44.28,42.21,44.2,1313980
2020-02-10 05:00:00,43.98,44.38,43.53,43.77,669065
2020-02-11 05:00:00,43.94,44.46,43.16,43.31,1266272
2020-02-12 05:00:00,43.82,44.2,43.69,43.92,595365
2020-02-13 05:00:00,43.7,44.8,43.44,44.59,987774
2020-02-14 05:00:00,44.52,44.69,43.84,43.88,683575
2020-02-18 05:00:00,43.66,43.99,42.5,42.59,1014844
2020-02-19 05:00:00,42.6,42.83,41.11,41.13,1506344
2020-02-20 05:00:00,41.0,41.7,40.75,41.25,1576850
2020-02-21 05:00:00,41.12,41.19,40.39,41.1,870698
2020-02-24 05:00:00,39.12,39.12,36.75,37.46,2806774
2020-02-25 05:00:00,38.0,38.05,34.385,34.7,2833745
2020-02-26 05:00:00,35.16,35.49,32.8,32.95,2684425
2020-02-27 05:00:00,31.29,32.29,29.75,29.76,3396860
2020-02-28 05:00:00,28.31,29.65,27.98,28.49,3340322
2020-03-02 05:00:00,28.36,28.45,26.13,27.25,4084516
2020-03-03 05:00:00,28.02,28.68,25.2,25.24,2755443
2020-03-04 05:00:00,25.9,26.41,24.15,26.35,3869385
2020-03-05 05:00:00,25.02,25.04,21.27,21.54,8833442
2020-03-06 05:00:00,20.23,23.77,19.04,22.51,11268494
2020-03-09 04:00:00,20.7,21.87,20.0,21.4,6448522
2020-03-10 04:00:00,22.54,22.79,19.66,22.4771,11024926
2020-03-11 04:00:00,21.74,21.76,20.14,20.91,6965692
2020-03-12 04:00:00,18.21,18.62,14.0,14.05,15258896
2020-03-13 04:00:00,15.91,16.0,13.44,15.08,11991262
2020-03-16 04:00:00,13.09,13.5,10.92,11.66,14454896
2020-03-17 04:00:00,12.1,12.37,10.8,11.72,13237008
2020-03-18 04:00:00,10.96,11.0,7.44,8.97,10164388
2020-03-19 04:00:00,8.76,9.48,7.01,8.39,12174764
2020-03-20 04:00:00,9.26,11.25,8.42,8.68,13359804
2020-03-23 04:00:00,9.35,9.99,8.6,9.83,12089470
2020-03-24 04:00:00,12.54,14.39,11.75,13.56,17397562
2020-03-25 04:00:00,17.57,17.95,14.59,15.96,22281020
2020-03-26 04:00:00,17.15,18.68,16.08,16.46,18989728
2020-03-27 04:00:00,15.76,16.0,14.38,14.68,11210582
2020-03-30 04:00:00,13.5,13.66,11.651,12.42,13983216
2020-03-31 04:00:00,13.09,13.3,12.55,12.8801,9132044
2020-04-01 04:00:00,11.66,12.18,11.14,11.32,10316088
2020-04-02 04:00:00,11.21,11.5,10.12,10.5292,8300636
2020-04-03 04:00:00,11.0,11.11,10.08,10.49,6965360
2020-04-06 04:00:00,11.49,11.77,10.33,10.48,15253842
2020-04-07 04:00:00,12.31,13.46,11.07,11.41,16783464
2020-04-08 04:00:00,12.04,12.67,11.66,12.5,10076068
2020-04-09 04:00:00,13.44,15.19,13.19,14.08,18907820
2020-04-13 04:00:00,15.15,15.34,12.51,13.31,15104100
2020-04-14 04:00:00,14.31,14.55,13.6,13.8642,10305966
2020-04-15 04:00:00,14.12,14.23,13.33,13.76,13525624
2020-04-16 04:00:00,13.42,13.5,12.3704,12.66,10285576
2020-04-17 04:00:00,13.44,13.67,13.04,13.33,8731246
2020-04-20 04:00:00,12.79,13.3229,12.51,12.87,9806476
2020-04-21 04:00:00,12.5,12.9,12.28,12.72,6375034
2020-04-22 04:00:00,12.98,13.04,11.5,11.94,11606000
2020-04-23 04:00:00,12.0,12.49,11.73,11.78,10318288
2020-04-24 04:00:00,11.97,12.23,11.61,12.14,8441390
2020-04-27 04:00:00,12.45,12.78,12.125,12.245,9681104
2020-04-28 04:00:00,12.48,14.54,12.4301,14.35,19946468
2020-04-29 04:00:00,15.55,16.49,15.1,15.38,24263254
2020-04-30 04:00:00,14.91,15.48,14.03,15.02,12242494
2020-05-01 04:00:00,14.08,14.56,13.1,13.16,13228290
2020-05-04 04:00:00,11.89,12.99,11.4925,12.905,15768400
2020-05-05 04:00:00,13.5,13.6834,12.16,12.3,9752396
2020-05-06 04:00:00,12.35,12.56,11.3102,11.55,12249198
2020-05-07 04:00:00,9.85,10.72,9.52,10.5,75222042
2020-05-08 04:00:00,10.19,10.69,9.95,10.56,77801432
2020-05-11 04:00:00,10.3,10.55,10.12,10.2,30021048
2020-05-12 04:00:00,10.2,10.49,9.42,9.44,31188204
2020-05-13 04:00:00,9.42,9.42,8.02,8.19,57002560
2020-05-14 04:00:00,8.03,8.59,7.25,8.2965,39011098
2020-05-15 04:00:00,8.11,8.46,7.92,8.0,24059664
2020-05-18 04:00:00,8.81,10.19,8.81,9.98,55006382
2020-05-19 04:00:00,10.61,10.61,9.565,9.69,49442066
2020-05-20 04:00:00,9.98,10.15,9.63,9.74,35388114
2020-05-21 04:00:00,9.74,10.29,9.67,10.06,37346092
2020-05-22 04:00:00,10.45,10.47,9.86,10.17,33376390
2020-05-26 04:00:00,11.53,12.59,11.26,12.31,84442290
2020-05-27 04:00:00,14.06,14.53,12.17,13.88,113764136
2020-05-28 04:00:00,13.54,13.77,12.7199,12.92,54772936
2020-05-29 04:00:00,12.17,13.3,12.0,12.97,44726820
2020-06-01 04:00:00,13.0,14.4,13.0,13.97,70678996
2020-06-02 04:00:00,14.55,14.9,14.02,14.495,71074266
2020-06-03 04:00:00,14.99,17.525,14.8,17.3,116954220
2020-06-04 04:00:00,19.88,21.74,18.55,21.03,199030648
2020-06-05 04:00:00,25.06,25.935,21.26,22.65,145810178
2020-06-08 04:00:00,24.8,25.6,22.8,25.54,75873426
2020-06-09 04:00:00,23.68,24.08,21.66,22.78,62084062
2020-06-10 04:00:00,20.6,21.4,17.94,19.48,115772592
2020-06-11 04:00:00,16.03,18.0899,15.7,16.0925,97119648
2020-06-12 04:00:00,18.53,19.12,17.8,17.8201,39431508
2020-06-15 04:00:00,17.04,20.33,16.85,19.73,86857756
2020-06-16 04:00:00,22.29,22.5,20.4,20.72,74768528
2020-06-17 04:00:00,20.0,20.45,19.3,19.915,46886254
2020-06-18 04:00:00,19.15,20.48,18.9,19.89,42810950
2020-06-19 04:00:00,20.23,20.5,18.35,18.825,55197528
2020-06-22 04:00:00,18.2,18.95,18.01,18.51,17144169
2020-06-23 04:00:00,18.85,18.93,17.79,18.78,16777325
2020-06-24 04:00:00,18.08,18.41,16.61,16.9152,21820949
2020-06-25 04:00:00,15.75,17.47,15.64,17.4,23415343
2020-06-26 04:00:00,17.29,17.39,15.96,16.58,17718000
2020-06-29 04:00:00,16.44,18.12,16.0,17.98,20656691
2020-06-30 04:00:00,17.65,18.26,17.27,17.79,11863328
2020-07-01 04:00:00,18.23,19.38,17.57,17.71,20857240
2020-07-02 04:00:00,18.6,18.72,17.4,17.41,16951660
2020-07-06 04:00:00,17.9,18.1239,16.7298,17.74,15925584
2020-07-07 04:00:00,17.11,17.28,16.77,16.77,10484686
2020-07-08 04:00:00,16.26,16.8385,15.85,16.71,14131921
2020-07-09 04:00:00,16.54,16.65,15.54,15.91,12795031
2020-07-10 04:00:00,15.8,17.64,15.66,17.53,20042701
2020-07-13 04:00:00,17.58,17.82,16.47,16.72,17269635
2020-07-14 04:00:00,16.34,17.3,16.03,17.26,10035400
2020-07-15 04:00:00,18.27,19.5,18.03,19.35,24029554
2020-07-16 04:00:00,18.2,18.6634,17.78,18.085,13683893
2020-07-17 04:00:00,18.0,18.388,17.575,17.61,9902289
2020-07-20 04:00:00,17.61,17.88,16.61,16.65,10134037
2020-07-21 04:00:00,16.9,17.1934,16.54,16.65,11572424
2020-07-22 04:00:00,16.54,17.25,16.4866,16.66,8345915
2020-07-23 04:00:00,16.51,17.82,15.925,16.84,20263788
2020-07-24 04:00:00,16.81,16.81,16.16,16.48,12392662
2020-07-27 04:00:00,16.49,16.84,16.01,16.15,11301656
2020-07-28 04:00:00,16.07,16.97,16.06,16.54,16308319
2020-07-29 04:00:00,16.56,16.72,16.1301,16.455,15198066
2020-07-30 04:00:00,16.1,16.38,15.94,16.24,15859555
2020-07-31 04:00:00,16.04,16.265,15.42,15.81,23143002
2020-08-03 04:00:00,15.74,15.8,14.65,15.37,21663323
2020-08-04 04:00:00,15.46,16.94,15.45,16.51,29441063
2020-08-05 04:00:00,16.95,17.52,16.4,17.16,30171294
2020-08-06 04:00:00,17.3,17.6499,16.8387,17.26,20931370
2020-08-07 04:00:00,16.97,17.33,16.77,17.28,14870691
2020-08-10 04:00:00,18.015,18.66,17.87,18.29,23818128
2020-08-11 04:00:00,19.55,19.55,17.89,18.03,30451088
2020-08-12 04:00:00,18.37,18.54,17.311,17.86,17426950
2020-08-13 04:00:00,17.48,18.3474,17.38,17.54,6739478
2020-08-14 04:00:00,17.41,17.88,17.23,17.76,5111844
2020-08-17 04:00:00,17.7,17.77,16.79,17.06,13226615
2020-08-18 04:00:00,17.06,17.4,16.81,17.32,11150098
2020-08-19 04:00:00,17.47,18.1357,17.19,17.19,17036840
2020-08-20 04:00:00,16.95,17.3487,16.73,17.21,10275261
2020-08-21 04:00:00,17.15,17.42,16.8607,16.98,10955904
2020-08-24 04:00:00,17.16,18.52,17.035,18.21,25848414
2020-08-25 04:00:00,18.48,18.64,17.57,17.99,16759950
2020-08-26 04:00:00,17.9,18.12,17.655,17.7,8985512
2020-08-27 04:00:00,18.24,19.19,18.06,18.31,26192227
2020-08-28 04:00:00,18.65,18.65,18.08,18.49,18200899
2020-08-31 04:00:00,18.43,18.675,17.86,17.88,18599174
2020-09-01 04:00:00,17.6,18.07,17.3,17.59,18446636
2020-09-02 04:00:00,17.52,17.73,17.055,17.6,17857628
2020-09-03 04:00:00,17.93,18.73,17.19,17.73,28399278
2020-09-04 04:00:00,18.01,18.25,16.955,17.88,23646084
2020-09-08 04:00:00,17.51,18.94,17.35,18.37,21767455
2020-09-09 04:00:00,18.07,18.262,17.28,17.54,25480922
2020-09-10 04:00:00,17.69,17.87,17.39,17.48,10885222
2020-09-11 04:00:00,17.52,17.75,17.05,17.29,11149697
2020-09-14 04:00:00,17.53,17.9,17.26,17.83,13650632
2020-09-15 04:00:00,17.86,18.495,17.82,18.09,6236369
2020-09-16 04:00:00,18.13,18.9,17.71,18.56,8209772
2020-09-17 04:00:00,18.32,18.78,18.04,18.1,5411825
2020-09-18 04:00:00,18.03,18.18,17.52,17.71,6314686
2020-09-21 04:00:00,17.26,17.29,15.9,16.225,13280032
2020-09-22 04:00:00,16.33,16.76,16.2,16.56,4571500
2020-09-23 04:00:00,16.68,17.25,16.08,16.08,5442553
2020-09-24 04:00:00,15.97,16.0,15.055,15.71,7943544
2020-09-25 04:00:00,15.65,16.26,15.62,16.2,4814481
