date,open,high,low,close,volume
2019-09-27 04:00:00,6.29,6.31,6.17,6.2,12627735
2019-09-30 04:00:00,6.25,6.27,6.22,6.25,10466326
2019-10-01 04:00:00,6.28,6.34,6.17,6.19,13296255
2019-10-02 04:00:00,6.18,6.255,6.165,6.23,15363465
2019-10-03 04:00:00,6.23,6.37,6.18,6.34,18720365
2019-10-04 04:00:00,6.35,6.45,6.35,6.37,25788560
2019-10-07 04:00:00,6.36,6.405,6.31,6.325,22984193
2019-10-08 04:00:00,6.31,6.32,6.23,6.245,30589010
2019-10-09 04:00:00,6.26,6.28,6.19,6.24,19702279
2019-10-10 04:00:00,6.23,6.31,6.22,6.245,25204203
2019-10-11 04:00:00,6.31,6.375,6.3,6.315,24044190
2019-10-14 04:00:00,6.31,6.36,6.25,6.335,18268971
2019-10-15 04:00:00,6.34,6.465,6.34,6.435,31427184
2019-10-16 04:00:00,6.41,6.48,6.37,6.43,28193752
2019-10-17 04:00:00,6.47,6.5,6.4025,6.49,25957623
2019-10-18 04:00:00,6.5,6.5,6.41,6.435,24617773
2019-10-21 04:00:00,6.455,6.485,6.37,6.42,12158687
2019-10-22 04:00:00,6.42,6.43,6.38,6.405,14458557
2019-10-23 04:00:00,6.41,6.47,6.4,6.45,10090193
2019-10-24 04:00:00,6.41,6.47,6.32,6.47,21468497
2019-10-25 04:00:00,6.44,6.5,6.4,6.43,15372476
2019-10-28 04:00:00,6.45,6.49,6.44,6.465,9642931
2019-10-29 04:00:00,6.44,6.47,6.35,6.365,19182492
2019-10-30 04:00:00,6.4,6.47,6.29,6.47,18925322
2019-10-31 04:00:00,6.48,6.75,6.48,6.72,37184552
2019-11-01 04:00:00,6.74,6.835,6.72,6.82,28252580
2019-11-04 05:00:00,6.85,6.86,6.75,6.76,15355515
2019-11-05 05:00:00,6.78,6.88,6.75,6.83,15435993
2019-11-06 05:00:00,6.83,6.85,6.76,6.785,14667393
2019-11-07 05:00:00,6.79,6.8581,6.78,6.8,16176928
2019-11-08 05:00:00,6.8,6.88,6.77,6.86,14292258
2019-11-11 05:00:00,6.82,6.99,6.805,6.965,13464094
2019-11-12 05:00:00,6.95,6.98,6.9,6.92,17403519
2019-11-13 05:00:00,6.92,6.98,6.88,6.89,22108836
2019-11-14 05:00:00,6.89,6.99,6.88,6.975,17835403
2019-11-15 05:00:00,6.99,7.0,6.91,6.92,15740462
2019-11-18 05:00:00,6.92,6.97,6.91,6.94,14308768
2019-11-19 05:00:00,6.96,6.99,6.91,6.97,13653758
2019-11-20 05:00:00,6.93,6.97,6.835,6.89,11742682
2019-11-21 05:00:00,6.94,6.97,6.84,6.965,23311412
2019-11-22 05:00:00,7.0,7.0,6.8,6.805,39756811
2019-11-25 05:00:00,6.83,6.88,6.77,6.85,21178583
2019-11-26 05:00:00,6.86,6.9,6.8237,6.9,21720916
2019-11-27 05:00:00,6.88,6.95,6.88,6.94,18597342
2019-11-29 05:00:00,6.96,7.0,6.88,6.98,8262333
2019-12-02 05:00:00,6.97,6.98,6.88,6.9,16381644
2019-12-03 05:00:00,6.91,6.92,6.695,6.78,29815260
2019-12-04 05:00:00,6.8,6.87,6.77,6.86,17822484
2019-12-05 05:00:00,6.89,6.89,6.825,6.87,18539201
2019-12-06 05:00:00,6.91,6.92,6.83,6.84,15331894
2019-12-09 05:00:00,6.83,6.88,6.82,6.86,7870542
2019-12-10 05:00:00,6.87,6.94,6.845,6.9,12428899
2019-12-11 05:00:00,6.9,6.91,6.84,6.865,12350173
2019-12-12 05:00:00,6.87,6.93,6.84,6.87,17535891
2019-12-13 05:00:00,6.89,6.96,6.85,6.92,20732924
2019-12-16 05:00:00,6.93,6.97,6.89,6.95,13068061
2019-12-17 05:00:00,6.96,6.99,6.9,6.98,14451042
2019-12-18 05:00:00,6.98,7.05,6.9675,7.04,18662025
2019-12-19 05:00:00,7.04,7.09,7.04,7.08,15696155
2019-12-20 05:00:00,7.09,7.18,7.08,7.17,26074641
2019-12-23 05:00:00,7.16,7.18,7.07,7.09,11915191
2019-12-24 05:00:00,7.12,7.15,7.11,7.135,4800209
2019-12-26 05:00:00,7.16,7.17,7.14,7.155,8169168
2019-12-27 05:00:00,7.17,7.2,7.12,7.135,8147792
2019-12-30 05:00:00,7.14,7.16,7.07,7.09,9259971
2019-12-31 05:00:00,7.09,7.16,7.08,7.15,9585559
2020-01-02 05:00:00,7.13,7.19,7.1,7.13,15080741
2020-01-03 05:00:00,7.05,7.14,7.01,7.09,23527854
2020-01-06 05:00:00,7.05,7.14,7.035,7.12,17590972
2020-01-07 05:00:00,7.08,7.155,7.05,7.07,17788582
2020-01-08 05:00:00,7.06,7.12,7.02,7.06,18762878
2020-01-09 05:00:00,7.07,7.135,7.03,7.045,14229055
2020-01-10 05:00:00,7.06,7.06,6.98,6.99,15353070
2020-01-13 05:00:00,7.01,7.05,6.96,7.05,14921341
2020-01-14 05:00:00,7.02,7.14,6.98,7.115,19052899
2020-01-15 05:00:00,7.12,7.2,7.1,7.17,19813136
2020-01-16 05:00:00,7.19,7.21,7.14,7.2,12724987
2020-01-17 05:00:00,7.21,7.23,7.16,7.17,13276894
2020-01-21 05:00:00,7.15,7.18,7.12,7.15,22600491
2020-01-22 05:00:00,7.18,7.21,7.12,7.2,56295482
2020-01-23 05:00:00,7.17,7.18,7.08,7.16,32260775
2020-01-24 05:00:00,7.15,7.18,7.05,7.11,32638368
2020-01-27 05:00:00,7.06,7.14,7.02,7.115,16858158
2020-01-28 05:00:00,7.13,7.16,7.1,7.13,15385561
2020-01-29 05:00:00,7.12,7.13,7.05,7.075,15087103
2020-01-30 05:00:00,7.05,7.19,7.02,7.19,20910612
2020-01-31 05:00:00,7.16,7.22,7.05,7.065,16612234
2020-02-03 05:00:00,7.1,7.2,7.08,7.17,21387605
2020-02-04 05:00:00,7.22,7.3,7.14,7.22,19149555
2020-02-05 05:00:00,7.26,7.29,7.17,7.17,17677902
2020-02-06 05:00:00,7.18,7.25,7.165,7.185,12621359
2020-02-07 05:00:00,7.14,7.16,7.09,7.115,14539569
2020-02-10 05:00:00,7.13,7.2,7.1185,7.2,13366626
2020-02-11 05:00:00,7.2,7.22,7.16,7.17,16029470
2020-02-12 05:00:00,7.17,7.23,7.17,7.21,12940845
2020-02-13 05:00:00,7.21,7.245,7.2,7.23,8639445
2020-02-14 05:00:00,7.23,7.25,7.2,7.21,11486462
2020-02-18 05:00:00,7.19,7.24,7.18,7.24,13031842
2020-02-19 05:00:00,7.22,7.31,7.21,7.255,18152623
2020-02-20 05:00:00,7.28,7.4,7.25,7.33,16776357
2020-02-21 05:00:00,7.33,7.34,7.23,7.24,15350354
2020-02-24 05:00:00,7.16,7.22,7.04,7.04,26976265
2020-02-25 05:00:00,7.08,7.11,6.95,6.97,33762662
2020-02-26 05:00:00,7.0,7.04,6.78,6.79,37901202
2020-02-27 05:00:00,6.7,6.75,6.45,6.45,52262404
2020-02-28 05:00:00,6.3,6.43,6.2,6.34,51760172
2020-03-02 05:00:00,6.28,6.55,6.255,6.54,35050107
2020-03-03 05:00:00,6.48,6.695,6.415,6.48,35579802
2020-03-04 05:00:00,6.57,6.66,6.56,6.64,18625940
2020-03-05 05:00:00,6.48,6.68,6.46,6.64,33226039
2020-03-06 05:00:00,6.36,6.55,6.33,6.45,31836236
2020-03-09 04:00:00,6.155,6.265,5.97,6.045,76418018
