date,open,high,low,close,volume
2019-09-27 04:00:00,16.98,17.1,15.7,16.02,32843625
2019-09-30 04:00:00,16.0,16.02,15.4,15.795,18556880
2019-10-01 04:00:00,16.04,16.46,15.495,15.52,25820524
2019-10-02 04:00:00,15.28,15.335,14.71,14.8,30940931
2019-10-03 04:00:00,14.58,14.64,13.68,14.3,54207723
2019-10-04 04:00:00,14.9,15.17,14.42,14.52,31330024
2019-10-07 04:00:00,14.47,14.68,14.335,14.46,18944108
2019-10-08 04:00:00,14.3,14.59,14.05,14.15,22393617
2019-10-09 04:00:00,14.3,14.33,14.04,14.21,14268721
2019-10-10 04:00:00,14.19,14.38,14.01,14.071,14270882
2019-10-11 04:00:00,14.24,14.57,14.1,14.1627,25250333
2019-10-14 04:00:00,14.19,14.2,13.64,13.76,18753234
2019-10-15 04:00:00,13.87,14.15,13.86,14.09,18604530
2019-10-16 04:00:00,14.02,14.04,13.62,13.67,21199201
2019-10-17 04:00:00,13.73,14.12,13.69,13.78,19342156
2019-10-18 04:00:00,14.15,14.28,13.42,13.52,35456630
2019-10-21 04:00:00,13.76,14.63,13.725,14.57,41451288
2019-10-22 04:00:00,15.0,15.03,13.91,14.0054,62545212
2019-10-23 04:00:00,13.91,14.38,12.93,13.2,101586725
2019-10-24 04:00:00,13.18,13.65,12.71,13.53,42986097
2019-10-25 04:00:00,13.41,14.01,13.32,13.95,26366078
2019-10-28 04:00:00,14.04,14.73,14.01,14.66,30996151
2019-10-29 04:00:00,14.5,14.95,14.37,14.63,19522366
2019-10-30 04:00:00,14.71,14.9,14.4324,14.86,16113924
2019-10-31 04:00:00,14.7585,15.17,14.73,15.055,12922964
2019-11-01 04:00:00,15.09,15.38,14.94,15.18,17754784
2019-11-04 05:00:00,15.31,15.38,15.15,15.35,15442025
2019-11-05 05:00:00,15.32,15.35,14.81,14.83,16160883
2019-11-06 05:00:00,14.87,14.88,14.23,14.41,19459577
2019-11-07 05:00:00,14.41,14.7,14.14,14.17,14608118
2019-11-08 05:00:00,14.18,14.52,14.09,14.2,12893742
2019-11-11 05:00:00,14.13,14.41,13.96,14.4,11666840
2019-11-12 05:00:00,14.38,14.64,14.32,14.39,12240431
2019-11-13 05:00:00,14.38,14.64,14.3401,14.4794,7927110
2019-11-14 05:00:00,14.42,14.59,14.21,14.37,11727501
2019-11-15 05:00:00,14.48,14.595,13.5,13.93,28971524
2019-11-18 05:00:00,14.08,14.74,14.04,14.69,30447705
2019-11-19 05:00:00,14.58,15.26,14.39,15.16,23130738
2019-11-20 05:00:00,15.07,15.52,15.01,15.31,19320314
2019-11-21 05:00:00,15.33,15.63,15.06,15.08,19796578
2019-11-22 05:00:00,15.18,15.5,15.01,15.25,19320444
2019-11-25 05:00:00,15.59,15.9,15.49,15.49,21420862
2019-11-26 05:00:00,15.46,15.545,15.161,15.45,14873625
2019-11-27 05:00:00,15.53,15.53,15.23,15.35,10533788
2019-11-29 05:00:00,15.23,15.355,15.19,15.26,5716380
2019-12-02 05:00:00,15.25,15.28,14.54,14.6,22950148
2019-12-03 05:00:00,14.22,14.98,14.16,14.92,16934295
2019-12-04 05:00:00,14.99,15.08,14.81,15.005,10479114
2019-12-05 05:00:00,15.05,15.16,14.66,14.68,11216226
2019-12-06 05:00:00,14.86,14.95,14.7,14.735,10454747
2019-12-09 05:00:00,14.64,14.885,14.21,14.23,18666500
2019-12-10 05:00:00,14.23,14.33,13.97,14.09,18711394
2019-12-11 05:00:00,14.01,14.25,13.96,14.23,10829327
2019-12-12 05:00:00,14.16,14.47,14.07,14.4474,15301104
2019-12-13 05:00:00,14.75,15.19,14.58,15.09,25681205
2019-12-16 05:00:00,15.21,15.235,14.85,15.1,21594481
2019-12-17 05:00:00,15.1,15.42,15.05,15.1,20993010
2019-12-18 05:00:00,15.07,15.39,15.06,15.12,13775964
2019-12-19 05:00:00,15.05,15.47,15.0,15.4514,19078307
2019-12-20 05:00:00,15.54,15.74,15.29,15.55,19932154
2019-12-23 05:00:00,15.55,15.59,15.23,15.48,13669752
2019-12-24 05:00:00,15.53,15.65,15.385,15.62,8121024
2019-12-26 05:00:00,15.6,16.18,15.5,15.98,21014204
2019-12-27 05:00:00,16.08,16.18,15.781,16.0252,13975745
2019-12-30 05:00:00,16.05,16.17,15.68,15.89,14477991
2019-12-31 05:00:00,15.78,16.35,15.77,16.32,15825598
2020-01-02 05:00:00,16.62,16.95,16.46,16.7701,21786943
2020-01-03 05:00:00,16.43,17.1,16.35,16.75,18100688
2020-01-06 05:00:00,16.65,16.79,16.41,16.78,14889842
2020-01-07 05:00:00,16.87,17.065,16.55,17.025,17594496
2020-01-08 05:00:00,16.98,17.01,16.65,16.67,13015920
2020-01-09 05:00:00,17.29,17.93,17.04,17.34,47849404
2020-01-10 05:00:00,17.66,17.73,17.285,17.41,23765101
2020-01-13 05:00:00,17.48,18.0,17.3,18.0,19956668
2020-01-14 05:00:00,17.99,18.09,17.665,17.99,23758673
2020-01-15 05:00:00,18.0,18.52,17.97,18.19,21334759
2020-01-16 05:00:00,18.02,18.41,17.7766,18.25,23988288
2020-01-17 05:00:00,19.1,19.29,18.76,19.115,38278885
2020-01-21 05:00:00,19.02,19.25,18.77,19.01,41537506
2020-01-22 05:00:00,19.23,19.53,19.06,19.09,41923472
2020-01-23 05:00:00,19.18,19.43,18.91,19.26,34112705
2020-01-24 05:00:00,19.71,19.755,18.84,19.05,61903724
2020-01-27 05:00:00,18.47,18.77,18.27,18.62,17050194
2020-01-28 05:00:00,18.8,19.11,18.705,18.98,14956532
2020-01-29 05:00:00,19.15,19.27,18.9301,19.145,13007204
2020-01-30 05:00:00,18.81,18.965,18.58,18.87,15666860
2020-01-31 05:00:00,18.73,18.79,18.18,18.36,22688145
2020-02-03 05:00:00,18.65,18.85,18.2,18.23,27198854
2020-02-04 05:00:00,18.48,19.035,18.23,18.99,37880839
2020-02-05 05:00:00,18.02,18.08,16.11,16.185,97826672
2020-02-06 05:00:00,16.36,17.14,16.28,16.98,36960520
2020-02-07 05:00:00,16.96,17.18,16.68,17.13,25850559
2020-02-10 05:00:00,17.05,17.6,17.0,17.57,17958588
2020-02-11 05:00:00,17.65,17.8,17.44,17.61,17250582
2020-02-12 05:00:00,17.66,17.66,17.19,17.39,16281654
2020-02-13 05:00:00,17.22,17.74,17.17,17.59,10986547
2020-02-14 05:00:00,17.54,17.86,17.43,17.56,13684427
2020-02-18 05:00:00,17.44,17.53,16.7435,17.16,27079569
2020-02-19 05:00:00,17.23,17.33,17.1,17.2,12889629
2020-02-20 05:00:00,17.09,17.39,16.6,16.93,21029513
2020-02-21 05:00:00,16.83,16.91,16.5,16.71,12967072
2020-02-24 05:00:00,15.69,16.415,15.56,16.15,20341420
2020-02-25 05:00:00,16.31,16.35,15.76,15.9,18257860
2020-02-26 05:00:00,15.93,16.495,15.43,15.68,19035383
2020-02-27 05:00:00,15.18,15.28,14.63,14.67,28233787
2020-02-28 05:00:00,13.86,14.28,13.63,14.18,37162446
2020-03-02 05:00:00,14.35,14.53,13.745,14.39,24697169
2020-03-03 05:00:00,14.5,14.74,13.35,13.55,27363544
2020-03-04 05:00:00,13.82,13.85,13.21,13.62,31080094
2020-03-05 05:00:00,13.68,14.2098,13.53,13.8601,50638655
2020-03-06 05:00:00,13.46,13.549,12.665,13.0,75679878
2020-03-09 04:00:00,11.7,12.13,11.0,11.44,65106216
2020-03-10 04:00:00,11.91,11.99,10.99,11.98,66786474
2020-03-11 04:00:00,11.57,11.67,10.57,10.805,69676818
2020-03-12 04:00:00,10.07,11.13,9.712,10.42,71966740
2020-03-13 04:00:00,11.09,11.35,10.78,11.35,50863286
2020-03-16 04:00:00,9.61,10.2,9.03,9.05,87133342
2020-03-17 04:00:00,9.19,9.365,8.205,8.91,76253148
2020-03-18 04:00:00,8.03,9.08,7.89,8.395,85245914
2020-03-19 04:00:00,8.3,9.68,8.1,9.47,69289150
2020-03-20 04:00:00,9.98,10.4,9.65,10.09,94484742
2020-03-23 04:00:00,10.12,10.95,10.05,10.65,56668786
2020-03-24 04:00:00,11.32,11.58,10.68,11.01,51268504
2020-03-25 04:00:00,11.15,11.645,10.47,11.23,57863514
2020-03-26 04:00:00,11.31,12.07,11.26,11.9599,37020490
2020-03-27 04:00:00,11.59,12.41,11.32,12.175,50805358
2020-03-30 04:00:00,12.05,12.27,11.59,11.845,61031004
2020-03-31 04:00:00,11.65,12.6,11.63,11.9,53183652
2020-04-01 04:00:00,11.32,11.69,10.98,11.21,47920870
2020-04-02 04:00:00,11.18,11.8183,11.0221,11.265,36341220
2020-04-03 04:00:00,11.3,11.4498,10.85,11.06,30541000
2020-04-06 04:00:00,11.5,12.25,11.32,12.11,42292204
2020-04-07 04:00:00,12.6,12.73,12.01,12.09,46915874
2020-04-08 04:00:00,12.57,13.45,12.5,13.21,55427026
2020-04-09 04:00:00,13.52,13.87,13.21,13.625,46917762
2020-04-13 04:00:00,13.69,13.82,13.16,13.54,30900462
2020-04-14 04:00:00,13.7,14.09,13.55,13.77,33424332
2020-04-15 04:00:00,13.46,13.69,13.37,13.59,27294146
2020-04-16 04:00:00,13.63,13.65,12.63,13.03,60542994
2020-04-17 04:00:00,13.2,13.465,12.84,12.955,40782300
2020-04-20 04:00:00,12.77,13.335,12.52,12.915,50231674
2020-04-21 04:00:00,12.71,13.04,12.44,12.4427,58959180
2020-04-22 04:00:00,15.18,17.06,14.85,16.965,306410868
2020-04-23 04:00:00,16.51,16.86,16.03,16.1,167901302
2020-04-24 04:00:00,15.94,16.22,15.58,16.01,121132858
2020-04-27 04:00:00,16.25,17.0,16.1021,16.9184,77661626
2020-04-28 04:00:00,17.03,17.26,16.15,16.41,53219386
2020-04-29 04:00:00,16.8,17.87,16.6,17.83,80047620
2020-04-30 04:00:00,17.5,17.99,17.23,17.61,54590086
2020-05-01 04:00:00,17.0,17.3,16.53,16.79,53084583
2020-05-04 04:00:00,16.6,17.19,16.53,17.1,33704260
2020-05-05 04:00:00,17.17,17.755,17.122,17.505,48613574
2020-05-06 04:00:00,17.02,17.82,17.01,17.32,48423440
2020-05-07 04:00:00,17.6,18.17,17.53,18.13,61903484
2020-05-08 04:00:00,18.18,18.26,17.76,18.24,37955918
2020-05-11 04:00:00,18.1,18.46,18.01,18.1,34167298
2020-05-12 04:00:00,18.2,18.27,17.38,17.38,34313182
2020-05-13 04:00:00,17.4,17.59,16.43,16.77,42690240
2020-05-14 04:00:00,16.65,17.15,16.42,16.93,37792044
2020-05-15 04:00:00,16.8,17.235,16.62,17.105,29644136
2020-05-18 04:00:00,17.5,18.2,17.45,17.49,54326788
2020-05-19 04:00:00,17.28,17.88,17.245,17.49,26630972
2020-05-20 04:00:00,17.67,18.25,17.67,18.23,35139432
2020-05-21 04:00:00,18.2,18.39,17.52,17.552,28195297
2020-05-22 04:00:00,17.67,17.68,17.29,17.67,22902348
2020-05-26 04:00:00,18.0,18.03,17.38,17.405,23682781
2020-05-27 04:00:00,17.39,17.39,16.51,17.0,44988028
2020-05-28 04:00:00,16.9,18.38,16.842,18.265,89668046
2020-05-29 04:00:00,18.29,19.0,17.925,18.955,102005662
2020-06-01 04:00:00,19.0,19.59,18.72,19.545,68975566
2020-06-02 04:00:00,19.66,19.87,19.18,19.7581,46676480
2020-06-03 04:00:00,19.83,19.83,18.91,19.73,73931488
2020-06-04 04:00:00,19.49,20.03,19.06,19.26,81289512
2020-06-05 04:00:00,19.45,20.34,19.32,20.31,68348805
2020-06-08 04:00:00,20.3,20.76,20.06,20.65,40336600
2020-06-09 04:00:00,20.46,21.14,20.42,21.0925,53353334
2020-06-10 04:00:00,21.24,21.36,20.3,21.19,65557184
2020-06-11 04:00:00,20.05,20.95,19.615,19.755,67273960
2020-06-12 04:00:00,20.42,20.44,19.93,19.9333,16073390
2020-06-15 04:00:00,19.81,20.79,19.74,20.755,31373108
2020-06-16 04:00:00,21.3,21.455,20.635,20.9,39944199
2020-06-17 04:00:00,21.0,21.95,20.86,21.815,47194417
2020-06-18 04:00:00,21.81,22.01,21.66,21.975,33827454
2020-06-19 04:00:00,22.41,22.695,21.95,22.6,48077510
2020-06-22 04:00:00,22.84,23.6,22.71,23.203,24850922
2020-06-23 04:00:00,23.46,23.915,23.08,23.665,25463773
2020-06-24 04:00:00,23.52,23.95,22.88,23.65,25430331
2020-06-25 04:00:00,23.51,24.5,23.45,24.48,25265421
2020-06-26 04:00:00,24.84,24.9,23.05,23.08,33282572
2020-06-29 04:00:00,22.86,23.2,22.03,23.09,28312969
2020-06-30 04:00:00,23.06,23.6675,22.68,23.49,20506725
2020-07-01 04:00:00,23.65,24.225,23.585,23.73,20847527
2020-07-02 04:00:00,24.01,24.12,23.105,23.22,17361581
2020-07-06 04:00:00,23.51,23.97,23.36,23.41,17271540
2020-07-07 04:00:00,23.73,25.58,23.55,24.8099,38775362
2020-07-08 04:00:00,25.28,26.5,25.14,26.4062,38388439
2020-07-09 04:00:00,26.05,26.76,25.25,25.935,20810086
2020-07-10 04:00:00,25.92,25.93,24.91,25.53,23251468
2020-07-13 04:00:00,25.82,26.28,24.23,24.27,20670469
2020-07-14 04:00:00,24.0,24.27,23.02,23.75,29798411
2020-07-15 04:00:00,24.15,24.65,23.69,24.54,23820071
2020-07-16 04:00:00,24.18,24.42,23.44,23.9,19254710
2020-07-17 04:00:00,23.94,24.68,23.79,24.55,16869245
2020-07-20 04:00:00,24.86,25.32,24.46,25.27,18888559
2020-07-21 04:00:00,25.58,25.74,24.58,24.78,33964064
2020-07-22 04:00:00,23.49,23.79,22.46,23.21,80553277
2020-07-23 04:00:00,22.78,23.09,21.93,21.97,31011183
2020-07-24 04:00:00,21.88,22.45,21.53,22.15,21187367
2020-07-27 04:00:00,22.34,22.85,22.2044,22.85,20563180
2020-07-28 04:00:00,22.66,22.99,22.415,22.59,23339621
2020-07-29 04:00:00,22.85,23.005,22.62,22.9,23627776
2020-07-30 04:00:00,22.7,22.9,22.35,22.4,28283767
2020-07-31 04:00:00,22.83,23.96,22.05,22.415,94330604
2020-08-03 04:00:00,21.89,21.89,20.91,21.22,71092136
2020-08-04 04:00:00,21.19,22.27,21.18,21.765,47761250
2020-08-05 04:00:00,21.78,22.135,21.51,21.7,30652552
2020-08-06 04:00:00,21.8,21.9,21.13,21.36,54732937
2020-08-07 04:00:00,21.36,22.2,21.28,21.58,56632968
2020-08-10 04:00:00,21.445,22.29,21.21,22.0299,36697014
2020-08-11 04:00:00,21.85,22.5,21.55,21.6,30971833
2020-08-12 04:00:00,21.84,22.29,21.71,21.86,25827349
2020-08-13 04:00:00,22.0,22.33,21.63,21.9,11693873
2020-08-14 04:00:00,21.9,22.0481,21.46,21.7,8951962
2020-08-17 04:00:00,21.83,21.98,21.26,21.8,32210730
2020-08-18 04:00:00,21.94,22.125,21.58,21.77,25136692
2020-08-19 04:00:00,21.71,22.435,21.542,21.92,33177770
2020-08-20 04:00:00,21.76,21.97,21.575,21.83,16721846
2020-08-21 04:00:00,21.9,21.9916,21.55,21.6,20194520
2020-08-24 04:00:00,21.76,21.76,20.77,20.87,42166831
2020-08-25 04:00:00,20.9,21.19,20.68,21.12,33920468
2020-08-26 04:00:00,21.15,21.41,21.01,21.36,25100604
2020-08-27 04:00:00,21.5,22.1995,20.87,21.745,46105387
2020-08-28 04:00:00,21.79,22.35,21.4,22.31,42109055
2020-08-31 04:00:00,22.83,23.19,22.2921,22.58,40285142
2020-09-01 04:00:00,22.76,22.76,21.8,22.41,48503210
2020-09-02 04:00:00,22.52,23.56,22.39,23.55,78343463
2020-09-03 04:00:00,23.25,23.41,22.42,23.19,57791526
2020-09-04 04:00:00,22.9,23.58,21.435,22.44,45286114
2020-09-08 04:00:00,21.7,23.085,21.53,22.7,37601047
2020-09-09 04:00:00,23.08,24.02,22.875,23.66,50923039
2020-09-10 04:00:00,24.0487,24.155,23.035,23.3,31013906
2020-09-11 04:00:00,23.73,24.4181,23.705,24.19,71252149
2020-09-14 04:00:00,23.59,24.16,23.21,24.11,47169985
2020-09-15 04:00:00,24.49,24.88,23.97,24.45,24046945
2020-09-16 04:00:00,24.49,25.22,24.42,24.86,25270317
2020-09-17 04:00:00,24.16,24.665,23.93,24.32,14370035
2020-09-18 04:00:00,24.75,24.75,23.1995,23.815,19101494
2020-09-21 04:00:00,23.11,24.3,23.0618,23.875,15884373
2020-09-22 04:00:00,24.1,25.49,24.09,25.47,30638842
2020-09-23 04:00:00,25.67,25.93,24.92,25.36,20715920
2020-09-24 04:00:00,24.93,24.93,24.02,24.32,16897413
2020-09-25 04:00:00,24.4,24.73,24.129,24.69,10241830
