date,open,high,low,close,volume
2019-09-27 04:00:00,58.83,59.39,58.65,58.77,1468319
2019-09-30 04:00:00,58.49,59.18,58.1149,59.12,618747
2019-10-01 04:00:00,58.5,58.96,57.65,57.96,963849
2019-10-02 04:00:00,57.25,57.25,56.51,56.83,951691
2019-10-03 04:00:00,57.35,58.0,57.0,57.93,766153
2019-10-04 04:00:00,57.89,58.855,57.89,58.76,593636
2019-10-07 04:00:00,58.1,58.4,58.07,58.08,556718
2019-10-08 04:00:00,57.55,57.61,57.03,57.2,597936
2019-10-09 04:00:00,57.78,58.1028,57.69,57.87,293781
2019-10-10 04:00:00,57.14,57.56,57.065,57.34,689467
2019-10-11 04:00:00,58.0,58.91,58.0,58.14,854152
2019-10-14 04:00:00,58.0712,58.38,57.82,57.86,419593
2019-10-15 04:00:00,58.19,58.676,58.1471,58.5,678444
2019-10-16 04:00:00,58.5,59.0419,58.49,58.92,722736
2019-10-17 04:00:00,60.03,60.25,59.76,60.04,712215
2019-10-18 04:00:00,59.8,59.87,58.6,59.205,994185
2019-10-21 04:00:00,59.44,59.58,59.11,59.18,540053
2019-10-22 04:00:00,59.48,59.58,58.94,58.985,617890
2019-10-23 04:00:00,58.77,58.81,58.24,58.58,559465
2019-10-24 04:00:00,59.15,59.15,58.35,58.63,700498
2019-10-25 04:00:00,58.23,58.62,58.03,58.51,658061
2019-10-28 04:00:00,58.85,59.28,58.69,59.07,821456
2019-10-29 04:00:00,58.86,59.34,58.83,59.24,1432584
2019-10-30 04:00:00,60.2,61.77,59.86,61.07,1180225
2019-10-31 04:00:00,60.56,60.865,60.41,60.84,462933
2019-11-01 04:00:00,61.27,61.62,61.12,61.44,536843
2019-11-04 05:00:00,61.8,61.85,61.34,61.57,578769
2019-11-05 05:00:00,61.56,61.57,61.025,61.45,643089
2019-11-06 05:00:00,61.04,61.2,60.68,60.73,405132
2019-11-07 05:00:00,60.41,60.72,60.22,60.4,615926
2019-11-08 05:00:00,60.25,60.57,60.15,60.41,902631
