date,open,high,low,close,volume
2019-10-28 04:00:00,12.34,12.93,11.49,11.9,12573970
2019-10-29 04:00:00,12.04,12.51,10.5,10.99,6084981
2019-10-30 04:00:00,11.09,11.16,10.5,10.6101,2774409
2019-10-31 04:00:00,9.2251,9.5499,8.955,9.3,3508172
2019-11-01 04:00:00,9.37,9.71,9.09,9.55,2351197
2019-11-04 05:00:00,9.76,9.78,9.25,9.35,2186340
2019-11-05 05:00:00,9.54,9.84,8.56,9.68,5154969
2019-11-06 05:00:00,9.72,9.8,9.46,9.64,1353412
2019-11-07 05:00:00,9.67,9.875,9.54,9.81,1125613
2019-11-08 05:00:00,9.88,10.0,9.82,9.98,1447135
2019-11-11 05:00:00,10.32,10.35,10.03,10.19,1502683
2019-11-12 05:00:00,10.25,10.25,10.01,10.1,1035899
2019-11-13 05:00:00,10.05,10.14,9.63,9.72,1469269
2019-11-14 05:00:00,9.7,9.77,9.51,9.66,782537
2019-11-15 05:00:00,9.7,9.7,9.47,9.63,863268
2019-11-18 05:00:00,9.68,9.69,9.51,9.55,492537
2019-11-19 05:00:00,9.5,9.61,9.32,9.39,515117
2019-11-20 05:00:00,9.4,9.48,8.98,9.09,1454775
2019-11-21 05:00:00,9.3,9.3399,8.3024,8.45,3216770
2019-11-22 05:00:00,8.53,8.6181,7.26,7.615,6482397
2019-11-25 05:00:00,7.68,7.72,6.9,7.21,5731394
2019-11-26 05:00:00,7.19,7.51,7.16,7.26,1834761
2019-11-27 05:00:00,7.25,7.47,7.07,7.32,1513728
2019-11-29 05:00:00,7.48,7.48,7.18,7.24,753194
2019-12-02 05:00:00,7.33,7.5199,7.1359,7.43,1328283
2019-12-03 05:00:00,7.41,7.5,7.29,7.49,1151164
2019-12-04 05:00:00,7.52,7.54,7.2,7.22,1196586
2019-12-05 05:00:00,7.3,7.48,7.205,7.23,1133648
2019-12-06 05:00:00,7.34,7.34,7.22,7.28,833495
2019-12-09 05:00:00,7.87,8.75,7.85,8.42,9417070
2019-12-10 05:00:00,8.8,9.7,8.8,8.97,11277899
2019-12-11 05:00:00,9.21,9.42,9.05,9.34,4763678
2019-12-12 05:00:00,9.55,9.5797,8.86,9.17,4023012
2019-12-13 05:00:00,9.19,9.275,8.75,9.03,2059752
2019-12-16 05:00:00,9.0,9.38,8.98,9.29,2876441
2019-12-17 05:00:00,9.26,9.38,9.2013,9.3,2178939
2019-12-18 05:00:00,9.3,9.67,9.3,9.57,3065546
2019-12-19 05:00:00,9.51,10.5,9.51,10.38,5549625
