date,open,high,low,close,volume
2019-09-27 04:00:00,2.11,2.17,2.01,2.165,983158
2019-09-30 04:00:00,2.16,2.185,2.095,2.145,479998
2019-10-01 04:00:00,2.15,2.1762,2.01,2.03,685960
2019-10-02 04:00:00,2.0,2.03,1.91,1.955,1329947
2019-10-03 04:00:00,1.97,2.32,1.97,2.31,2018505
2019-10-04 04:00:00,2.35,2.4,2.235,2.4,2852059
2019-10-07 04:00:00,2.49,2.91,1.75,1.78,22585519
2019-10-08 04:00:00,1.8,1.86,1.68,1.68,8243742
2019-10-09 04:00:00,1.73,1.78,1.49,1.62,7805922
2019-10-10 04:00:00,1.62,1.655,1.46,1.47,7393780
2019-10-11 04:00:00,1.5,1.5975,1.39,1.57,8604094
2019-10-14 04:00:00,1.5351,1.62,1.48,1.535,2129916
2019-10-15 04:00:00,1.53,1.64,1.51,1.62,1847028
2019-10-16 04:00:00,1.69,1.78,1.6523,1.72,4595442
2019-10-17 04:00:00,1.71,1.73,1.64,1.65,1357001
2019-10-18 04:00:00,1.62,1.64,1.51,1.53,2734861
2019-10-21 04:00:00,1.55,1.58,1.52,1.55,588456
2019-10-22 04:00:00,1.59,1.61,1.51,1.515,822239
2019-10-23 04:00:00,1.54,1.59,1.5008,1.55,537154
2019-10-24 04:00:00,1.54,1.55,1.5,1.52,493638
2019-10-25 04:00:00,1.52,1.59,1.5,1.55,569086
2019-10-28 04:00:00,1.56,1.65,1.56,1.62,1142248
2019-10-29 04:00:00,1.59,1.6,1.53,1.54,592521
2019-10-30 04:00:00,1.54,1.55,1.51,1.515,636890
2019-10-31 04:00:00,1.53,1.54,1.49,1.515,509570
2019-11-01 04:00:00,1.54,1.65,1.51,1.63,1622678
2019-11-04 05:00:00,1.65,1.65,1.55,1.59,798122
2019-11-05 05:00:00,1.59,1.71,1.59,1.63,1938953
2019-11-06 05:00:00,1.64,1.66,1.56,1.57,1046513
2019-11-07 05:00:00,1.66,1.71,1.62,1.68,1578309
2019-11-08 05:00:00,1.71,1.71,1.63,1.66,1012134
2019-11-11 05:00:00,1.64,1.685,1.6,1.675,730168
2019-11-12 05:00:00,1.67,1.71,1.6,1.61,1515149
2019-11-13 05:00:00,1.61,1.65,1.56,1.58,1130671
2019-11-14 05:00:00,1.57,1.63,1.5,1.58,1269864
2019-11-15 05:00:00,1.6,1.62,1.51,1.53,1134304
2019-11-18 05:00:00,1.52,1.57,1.45,1.45,1542108
2019-11-19 05:00:00,1.46,1.58,1.46,1.52,650585
2019-11-20 05:00:00,1.52,1.58,1.49,1.57,1028699
2019-11-21 05:00:00,1.56,1.625,1.53,1.605,786609
2019-11-22 05:00:00,1.58,1.62,1.57,1.6,523962
2019-11-25 05:00:00,2.2,3.19,2.06,3.1101,70775824
2019-11-26 05:00:00,3.01,3.11,2.82,2.98,20037924
2019-11-27 05:00:00,2.92,2.93,2.52,2.82,8425048
2019-11-29 05:00:00,2.85,3.09,2.78,2.925,6613357
2019-12-02 05:00:00,2.97,3.68,2.94,3.4149,20084943
2019-12-03 05:00:00,3.42,4.0,3.3401,3.73,22896036
2019-12-04 05:00:00,3.84,3.94,3.3806,3.65,13976093
2019-12-05 05:00:00,3.63,3.69,3.1,3.255,11065584
2019-12-06 05:00:00,3.35,3.54,3.32,3.515,4352141
2019-12-09 05:00:00,3.66,3.8698,3.53,3.81,7802428
2019-12-10 05:00:00,3.85,4.04,3.61,3.775,9557193
2019-12-11 05:00:00,3.82,4.16,3.7,4.1532,8181760
2019-12-12 05:00:00,4.24,4.4,4.0,4.18,11105422
2019-12-13 05:00:00,4.17,4.24,3.83,4.06,6572958
2019-12-16 05:00:00,4.04,4.1317,3.85,3.9399,4153718
2019-12-17 05:00:00,3.95,4.03,3.86,4.02,2944773
2019-12-18 05:00:00,3.99,4.08,3.88,3.895,2764720
2019-12-19 05:00:00,3.93,3.95,3.63,3.66,5018856
2019-12-20 05:00:00,3.65,3.66,3.25,3.365,6792925
2019-12-23 05:00:00,3.4,3.54,3.31,3.469,3204221
2019-12-24 05:00:00,3.5,3.51,3.19,3.2662,3884285
2019-12-26 05:00:00,3.24,3.3799,3.11,3.277,2795745
2019-12-27 05:00:00,3.21,3.39,3.16,3.365,2253551
2019-12-30 05:00:00,3.36,3.48,3.32,3.334,2721570
2019-12-31 05:00:00,3.3,3.43,3.29,3.37,1850752
2020-01-02 05:00:00,3.42,3.53,3.33,3.4,1850380
2020-01-03 05:00:00,3.3,3.375,3.27,3.34,2269679
2020-01-06 05:00:00,3.26,3.44,3.26,3.43,1265360
2020-01-07 05:00:00,3.46,3.61,3.42,3.575,2409268
2020-01-08 05:00:00,3.56,3.56,3.33,3.3501,2207589
2020-01-09 05:00:00,3.36,3.47,3.36,3.41,1770055
2020-01-10 05:00:00,5.09,5.09,4.4,4.755,41367363
2020-01-13 05:00:00,4.39,4.49,3.91,4.1701,10689709
2020-01-14 05:00:00,4.01,4.24,3.98,4.11,4004434
2020-01-15 05:00:00,4.24,4.47,4.14,4.45,6214098
2020-01-16 05:00:00,4.44,4.49,4.3,4.43,3240698
2020-01-17 05:00:00,4.41,4.45,4.0358,4.2699,3363140
2020-01-21 05:00:00,4.19,4.34,4.11,4.205,7468556
2020-01-22 05:00:00,4.16,4.28,4.15,4.155,5231410
2020-01-23 05:00:00,4.14,4.21,4.01,4.2,4359350
2020-01-24 05:00:00,4.21,4.29,4.1,4.29,7068220
2020-01-27 05:00:00,4.04,4.175,3.8,3.88,4027269
2020-01-28 05:00:00,3.99,4.12,3.9,4.035,2539868
2020-01-29 05:00:00,4.19,4.24,3.73,3.8,6638412
2020-01-30 05:00:00,3.72,3.92,3.695,3.89,2387376
2020-01-31 05:00:00,3.87,3.9,3.73,3.83,2128514
2020-02-03 05:00:00,3.8,3.95,3.67,3.69,2886821
2020-02-04 05:00:00,3.76,3.77,3.35,3.53,7185969
2020-02-05 05:00:00,3.54,3.62,3.455,3.47,2576962
2020-02-06 05:00:00,3.51,3.51,3.27,3.3,3187542
2020-02-07 05:00:00,3.27,3.33,2.9,2.96,9392848
2020-02-10 05:00:00,2.98,2.98,2.69,2.945,4973007
2020-02-11 05:00:00,2.97,2.99,2.7731,2.83,4826136
2020-02-12 05:00:00,2.82,2.92,2.79,2.81,6018965
2020-02-13 05:00:00,2.83,2.87,2.8,2.82,3266510
2020-02-14 05:00:00,2.81,2.8799,2.7,2.72,4008629
