date,open,high,low,close,volume
2019-09-27 04:00:00,37.61,37.73,37.18,37.48,18237389
2019-09-30 04:00:00,37.59,37.925,37.53,37.82,19384775
2019-10-01 04:00:00,37.95,37.96,37.37,37.41,20299317
2019-10-02 04:00:00,37.35,37.35,36.92,37.09,21697135
2019-10-03 04:00:00,37.0,37.2,36.66,37.2,16471828
2019-10-04 04:00:00,37.22,37.52,37.13,37.5,17520887
2019-10-07 04:00:00,37.58,37.87,37.52,37.64,17382837
2019-10-08 04:00:00,37.68,37.71,37.38,37.48,24777544
2019-10-09 04:00:00,37.21,37.22,36.885,37.04,21104774
2019-10-10 04:00:00,37.0,37.55,36.97,37.42,19370814
2019-10-11 04:00:00,37.59,37.8,37.47,37.56,22878750
2019-10-14 04:00:00,37.58,37.685,37.31,37.49,11947854
2019-10-15 04:00:00,37.45,38.07,37.42,37.89,18538692
2019-10-16 04:00:00,37.82,38.0,37.695,37.8,16017194
2019-10-17 04:00:00,37.86,37.86,37.61,37.81,12303285
2019-10-18 04:00:00,37.81,38.53,37.79,38.45,31834221
2019-10-21 04:00:00,38.42,38.62,38.19,38.24,19114795
2019-10-22 04:00:00,37.82,38.36,37.6,38.17,18510842
2019-10-23 04:00:00,38.01,38.14,37.625,37.74,19200643
2019-10-24 04:00:00,37.69,37.77,36.54,36.82,34408627
2019-10-25 04:00:00,36.94,37.17,36.72,36.88,22578914
2019-10-28 04:00:00,38.3,38.86,37.97,38.49,53260713
2019-10-29 04:00:00,38.49,38.49,37.98,38.07,23197566
2019-10-30 04:00:00,38.39,38.8675,38.11,38.21,28878359
2019-10-31 04:00:00,38.0625,38.49,38.04,38.485,19718357
2019-11-01 04:00:00,38.95,39.02,38.74,38.93,26046499
2019-11-04 05:00:00,39.1,39.5,38.86,38.9,29002438
2019-11-05 05:00:00,38.81,39.31,38.79,39.19,25953457
2019-11-06 05:00:00,39.25,39.28,38.99,39.24,18339937
2019-11-07 05:00:00,39.29,39.58,39.25,39.44,21207068
2019-11-08 05:00:00,39.34,39.425,39.09,39.38,15815127
2019-11-11 05:00:00,39.26,39.38,39.2,39.37,11428597
2019-11-12 05:00:00,39.35,39.48,39.07,39.18,13540320
