date,open,high,low,close,volume
2019-09-27 04:00:00,42.5,42.67,40.61,41.33,9056197
2019-09-30 04:00:00,41.46,41.48,40.815,41.18,5484302
2019-10-01 04:00:00,41.32,41.5654,40.0304,40.24,8484436
2019-10-02 04:00:00,40.12,40.12,39.25,39.7,8008697
2019-10-03 04:00:00,39.59,40.16,38.61,40.03,9538479
2019-10-04 04:00:00,40.36,40.59,39.83,40.35,5718292
2019-10-07 04:00:00,40.24,40.87,40.06,40.8,5615064
2019-10-08 04:00:00,40.4123,40.48,39.67,39.68,6475086
2019-10-09 04:00:00,39.99,40.1,39.22,39.5,7233731
2019-10-10 04:00:00,39.34,39.89,39.26,39.55,5600177
2019-10-11 04:00:00,39.89,40.7,39.805,40.36,8553621
2019-10-14 04:00:00,40.335,40.47,39.47,39.77,5419131
2019-10-15 04:00:00,39.56,40.4,39.35,40.26,6634345
2019-10-16 04:00:00,40.01,40.46,39.595,39.91,6686067
2019-10-17 04:00:00,40.12,40.1495,39.41,39.615,6384802
2019-10-18 04:00:00,39.69,39.91,38.27,38.98,11242747
2019-10-21 04:00:00,39.35,40.29,39.31,40.09,7959596
2019-10-22 04:00:00,40.48,40.48,38.78,38.82,11925093
2019-10-23 04:00:00,38.99,39.4499,37.76,38.83,18634973
2019-10-24 04:00:00,31.86,32.39,30.51,30.74,86167598
2019-10-25 04:00:00,30.87,31.04,29.92,30.3,40423441
2019-10-28 04:00:00,30.5,30.66,29.75,30.06,27948529
2019-10-29 04:00:00,30.0,30.36,29.82,29.86,18242760
2019-10-30 04:00:00,30.15,30.17,29.72,29.87,22138157
2019-10-31 04:00:00,29.06,29.98,29.04,29.97,19069825
2019-11-01 04:00:00,29.96,30.26,29.41,29.63,20169800
2019-11-04 05:00:00,29.77,30.15,29.61,30.06,16722927
2019-11-05 05:00:00,30.19,30.36,29.71,29.81,15455271
2019-11-06 05:00:00,29.85,29.9,29.4,29.54,13553409
2019-11-07 05:00:00,29.0,29.59,28.63,29.045,20940655
2019-11-08 05:00:00,29.16,29.43,29.05,29.22,9805953
2019-11-11 05:00:00,29.13,29.35,28.92,29.34,8886923
2019-11-12 05:00:00,29.36,29.5,28.93,29.04,13006241
2019-11-13 05:00:00,29.04,29.3,28.93,29.08,8586319
2019-11-14 05:00:00,29.16,29.37,28.73,28.89,12227395
2019-11-15 05:00:00,29.05,29.43,28.91,29.25,10215279
2019-11-18 05:00:00,29.24,29.735,29.01,29.49,13079684
2019-11-19 05:00:00,29.62,29.67,29.18,29.45,9025140
2019-11-20 05:00:00,29.3,29.48,28.88,29.17,12779643
2019-11-21 05:00:00,29.19,30.49,29.15,29.8,22160493
2019-11-22 05:00:00,29.87,30.1657,29.575,30.035,12179942
2019-11-25 05:00:00,30.13,30.57,30.05,30.53,12509010
2019-11-26 05:00:00,30.57,30.99,30.4,30.94,12452925
2019-11-27 05:00:00,31.0,31.36,30.93,31.18,12994402
2019-11-29 05:00:00,31.11,31.14,30.78,30.9,7014070
2019-12-02 05:00:00,30.91,30.95,29.97,30.41,12860848
2019-12-03 05:00:00,29.94,30.01,29.48,29.96,14959112
2019-12-04 05:00:00,30.18,30.33,29.91,30.02,7478036
2019-12-05 05:00:00,30.08,30.36,29.92,30.03,9410740
2019-12-06 05:00:00,30.35,30.47,29.98,30.19,9833531
2019-12-09 05:00:00,30.12,30.75,30.12,30.21,8737196
2019-12-10 05:00:00,30.23,30.26,29.77,29.85,10837956
2019-12-11 05:00:00,29.95,30.6,29.86,30.55,9148701
2019-12-12 05:00:00,30.47,30.59,29.93,30.29,16434935
2019-12-13 05:00:00,30.24,30.61,30.24,30.4,11263749
2019-12-16 05:00:00,30.52,31.28,30.41,30.97,13081609
2019-12-17 05:00:00,31.07,31.21,30.63,30.7,9891796
2019-12-18 05:00:00,30.69,31.91,30.65,31.68,16377056
2019-12-19 05:00:00,31.75,32.42,31.61,32.025,15487985
2019-12-20 05:00:00,32.1203,32.25,31.54,32.135,14064632
2019-12-23 05:00:00,32.13,32.8,31.99,32.44,11944332
2019-12-24 05:00:00,32.44,32.71,32.42,32.51,3970255
2019-12-26 05:00:00,32.59,32.89,32.4211,32.63,8691238
2019-12-27 05:00:00,32.75,32.84,32.22,32.55,8299531
2019-12-30 05:00:00,32.49,32.5029,31.82,32.04,8530192
2019-12-31 05:00:00,31.86,32.32,31.77,32.05,9682821
2020-01-02 05:00:00,32.31,32.5,31.96,32.3,9528140
2020-01-03 05:00:00,31.71,32.1,31.26,31.51,12785119
2020-01-06 05:00:00,31.23,31.71,31.16,31.64,10273996
2020-01-07 05:00:00,31.8,32.695,31.72,32.54,11753495
2020-01-08 05:00:00,32.35,33.4,32.35,33.05,12718761
2020-01-09 05:00:00,33.53,33.54,33.0,33.22,9052571
2020-01-10 05:00:00,32.86,33.01,32.46,32.78,10092138
2020-01-13 05:00:00,32.97,33.07,32.49,32.69,9822471
2020-01-14 05:00:00,32.69,33.12,32.64,32.81,6995950
2020-01-15 05:00:00,32.99,33.68,32.95,33.24,9125196
2020-01-16 05:00:00,33.5,34.27,33.03,34.195,16380752
2020-01-17 05:00:00,33.8197,34.39,33.58,34.21,15603099
2020-01-21 05:00:00,34.08,34.385,33.87,34.09,19690627
2020-01-22 05:00:00,34.29,34.54,33.955,34.03,22849567
2020-01-23 05:00:00,33.99,34.36,33.72,33.88,23873871
2020-01-24 05:00:00,34.11,34.11,32.97,33.195,22296298
2020-01-27 05:00:00,32.31,32.93,32.15,32.785,8788428
2020-01-28 05:00:00,33.06,33.66,32.85,33.42,7719670
2020-01-29 05:00:00,33.59,33.88,33.2927,33.63,6099608
2020-01-30 05:00:00,32.86,33.23,32.39,33.22,10684374
2020-01-31 05:00:00,33.11,33.14,32.08,32.47,10758164
2020-02-03 05:00:00,32.56,33.24,32.45,33.055,12756795
2020-02-04 05:00:00,33.75,34.115,33.4,33.975,12060047
2020-02-05 05:00:00,34.0,34.16,33.19,33.37,17529920
2020-02-06 05:00:00,36.53,39.64,36.42,38.42,77641976
2020-02-07 05:00:00,37.63,38.15,36.84,37.01,26785708
2020-02-10 05:00:00,36.63,36.85,35.65,35.95,22448047
2020-02-11 05:00:00,36.12,36.28,35.535,35.645,13203881
2020-02-12 05:00:00,36.19,37.02,36.17,36.795,18020565
2020-02-13 05:00:00,36.43,37.32,36.21,37.15,14542729
2020-02-14 05:00:00,37.0,37.35,36.58,36.91,10809633
2020-02-18 05:00:00,36.78,38.07,36.68,38.05,14679390
2020-02-19 05:00:00,38.1,38.91,37.935,38.76,12464837
2020-02-20 05:00:00,38.76,39.06,37.955,39.04,14001331
2020-02-21 05:00:00,38.67,38.76,38.04,38.3085,14000402
