date,open,high,low,close,volume
2019-09-27 04:00:00,4.2,4.22,3.76,3.78,4542977
2019-09-30 04:00:00,3.8,3.98,3.55,3.64,3383440
2019-10-01 04:00:00,3.55,3.71,3.3,3.475,4178765
2019-10-02 04:00:00,3.42,3.635,3.35,3.53,2791518
2019-10-03 04:00:00,3.51,3.625,3.44,3.62,1919410
2019-10-04 04:00:00,3.62,3.68,3.47,3.57,3631928
2019-10-07 04:00:00,3.55,3.69,3.5,3.68,3543037
2019-10-08 04:00:00,3.65,3.69,3.55,3.61,2675593
2019-10-09 04:00:00,3.64,3.705,3.595,3.67,1986534
2019-10-10 04:00:00,3.7,3.9574,3.7,3.85,3565012
2019-10-11 04:00:00,3.9,3.98,3.84,3.85,3105960
2019-10-14 04:00:00,3.89,4.0,3.89,3.93,2886872
2019-10-15 04:00:00,3.93,4.0,3.845,3.915,3317326
2019-10-16 04:00:00,3.93,3.965,3.6,3.7,6262228
2019-10-17 04:00:00,3.76,3.895,3.69,3.72,5133053
2019-10-18 04:00:00,3.71,3.81,3.64,3.67,4595716
2019-10-21 04:00:00,3.6965,3.86,3.62,3.81,1487463
2019-10-22 04:00:00,3.8,3.82,3.68,3.76,1234295
2019-10-23 04:00:00,3.74,3.81,3.6396,3.68,1680617
2019-10-24 04:00:00,3.0,3.2,2.8505,2.87,9379451
2019-10-25 04:00:00,2.67,2.99,2.45,2.83,21330890
2019-10-28 04:00:00,2.86,2.94,2.8,2.845,3605136
2019-10-29 04:00:00,2.86,2.92,2.81,2.9,3726399
2019-10-30 04:00:00,2.95,2.95,2.61,2.685,5206070
2019-10-31 04:00:00,2.65,2.69,2.56,2.655,2625905
2019-11-01 04:00:00,2.66,2.87,2.63,2.86,3286518
2019-11-04 05:00:00,2.86,2.94,2.8,2.8,2377147
2019-11-05 05:00:00,2.8,2.83,2.61,2.71,3127304
2019-11-06 05:00:00,2.69,2.79,2.61,2.625,2976019
2019-11-07 05:00:00,2.85,2.93,2.66,2.845,4160204
2019-11-08 05:00:00,2.8,2.92,2.72,2.86,2933847
2019-11-11 05:00:00,2.88,2.96,2.81,2.85,1971549
2019-11-12 05:00:00,2.85,2.88,2.72,2.74,2144158
2019-11-13 05:00:00,2.7,2.76,2.66,2.69,2097353
2019-11-14 05:00:00,2.7,2.77,2.6,2.755,2229907
2019-11-15 05:00:00,2.76,2.79,2.655,2.74,1917246
2019-11-18 05:00:00,2.72,2.765,2.62,2.63,2051172
2019-11-19 05:00:00,2.61,2.67,2.48,2.58,4413066
2019-11-20 05:00:00,2.56,2.72,2.56,2.68,2321361
2019-11-21 05:00:00,2.69,2.69,2.59,2.655,2043507
2019-11-22 05:00:00,2.67,2.77,2.65,2.76,2147988
2019-11-25 05:00:00,2.72,2.82,2.54,2.58,4044442
2019-11-26 05:00:00,2.58,2.61,2.49,2.545,3041250
2019-11-27 05:00:00,2.56,2.6,2.48,2.5,2629721
2019-11-29 05:00:00,2.48,2.54,2.44,2.52,1370124
2019-12-02 05:00:00,2.56,2.57,2.4,2.415,3658955
2019-12-03 05:00:00,2.39,2.4495,2.28,2.365,2838833
2019-12-04 05:00:00,2.37,2.46,2.35,2.44,2256438
2019-12-05 05:00:00,2.44,2.48,2.36,2.4,2062892
2019-12-06 05:00:00,2.41,2.48,2.4,2.43,2110930
2019-12-09 05:00:00,2.41,2.46,2.34,2.425,2203083
2019-12-10 05:00:00,2.43,2.555,2.34,2.4,3843869
2019-12-11 05:00:00,2.38,2.46,2.35,2.37,2123748
2019-12-12 05:00:00,2.3,2.43,2.3,2.37,3442121
2019-12-13 05:00:00,2.38,2.44,2.29,2.31,3696866
2019-12-16 05:00:00,2.32,2.58,2.3,2.55,4295813
2019-12-17 05:00:00,2.58,2.62,2.44,2.49,4151840
2019-12-18 05:00:00,2.49,2.5,2.25,2.31,7012203
2019-12-19 05:00:00,2.36,2.36,2.25,2.32,5318905
2019-12-20 05:00:00,2.31,2.32,2.19,2.28,6852586
2019-12-23 05:00:00,2.27,2.47,2.24,2.38,4699571
2019-12-24 05:00:00,2.38,2.51,2.38,2.45,2465469
2019-12-26 05:00:00,2.45,2.56,2.4315,2.45,2526710
2019-12-27 05:00:00,2.45,2.49,2.36,2.41,4391074
2019-12-30 05:00:00,2.4,2.48,2.31,2.38,4138284
2019-12-31 05:00:00,2.39,2.43,2.36,2.405,3246810
2020-01-02 05:00:00,2.42,2.45,2.32,2.45,4031534
2020-01-03 05:00:00,2.42,2.45,2.3,2.32,2637838
2020-01-06 05:00:00,2.34,2.37,2.25,2.345,2661966
2020-01-07 05:00:00,2.34,2.37,2.26,2.26,2204777
2020-01-08 05:00:00,2.32,2.34,2.24,2.31,2967724
2020-01-09 05:00:00,2.33,2.33,2.24,2.3,1952730
2020-01-10 05:00:00,2.28,2.37,2.25,2.34,1523389
2020-01-13 05:00:00,2.33,2.37,2.25,2.37,1994104
2020-01-14 05:00:00,2.37,2.47,2.34,2.46,3794610
2020-01-15 05:00:00,2.46,2.69,2.44,2.56,5841118
2020-01-16 05:00:00,2.59,2.62,2.365,2.37,5215616
2020-01-17 05:00:00,2.4,2.44,2.3,2.32,2671418
2020-01-21 05:00:00,2.33,2.9,2.32,2.805,21467324
2020-01-22 05:00:00,2.83,2.93,2.64,2.7,8955396
2020-01-23 05:00:00,2.67,2.67,2.53,2.56,5344432
2020-01-24 05:00:00,2.53,2.58,2.42,2.49,5456772
2020-01-27 05:00:00,2.4,2.54,2.39,2.5,1828652
2020-01-28 05:00:00,2.53,2.6556,2.48,2.52,2449310
2020-01-29 05:00:00,2.52,2.545,2.45,2.45,1517136
2020-01-30 05:00:00,2.44,2.47,2.35,2.37,1796536
2020-01-31 05:00:00,2.35,2.45,2.23,2.255,3204290
2020-02-03 05:00:00,2.27,2.36,2.2,2.26,3639074
2020-02-04 05:00:00,2.28,2.33,2.24,2.305,3190532
2020-02-05 05:00:00,2.4,2.57,2.35,2.57,5586223
2020-02-06 05:00:00,2.58,2.59,2.39,2.42,2596298
2020-02-07 05:00:00,2.42,2.47,2.31,2.335,2060281
2020-02-10 05:00:00,2.33,2.45,2.3,2.44,2048578
2020-02-11 05:00:00,2.49,2.63,2.46,2.595,3801626
2020-02-12 05:00:00,2.61,2.68,2.49,2.505,2345909
2020-02-13 05:00:00,2.52,2.57,2.43,2.43,1731712
2020-02-14 05:00:00,2.44,2.49,2.4,2.485,1231008
2020-02-18 05:00:00,2.5,2.54,2.39,2.425,1536413
2020-02-19 05:00:00,2.39,2.45,2.26,2.4,5652504
2020-02-20 05:00:00,2.48,2.4997,1.97,2.145,15652723
2020-02-21 05:00:00,2.15,2.17,2.02,2.055,4474371
2020-02-24 05:00:00,2.02,2.05,1.86,1.91,7945593
2020-02-25 05:00:00,1.93,1.97,1.83,1.85,4789737
2020-02-26 05:00:00,1.91,1.91,1.75,1.78,4340035
2020-02-27 05:00:00,1.75,1.8,1.62,1.65,4534022
2020-02-28 05:00:00,1.63,1.71,1.58,1.695,4088726
2020-03-02 05:00:00,1.73,1.75,1.54,1.64,3762497
2020-03-03 05:00:00,1.68,1.78,1.59,1.64,3374981
2020-03-04 05:00:00,1.66,1.98,1.66,1.84,5261740
2020-03-05 05:00:00,1.8,1.89,1.75,1.79,2904860
2020-03-06 05:00:00,1.75,1.82,1.65,1.68,10433088
2020-03-09 04:00:00,1.61,1.65,1.44,1.525,3592491
2020-03-10 04:00:00,1.61,1.69,1.5,1.6,2728968
2020-03-11 04:00:00,1.56,1.58,1.445,1.52,2154671
2020-03-12 04:00:00,1.36,1.47,1.34,1.35,6006030
2020-03-13 04:00:00,1.37,1.49,1.15,1.475,4543362
2020-03-16 04:00:00,1.31,1.37,1.18,1.255,9087536
2020-03-17 04:00:00,1.29,1.3,1.1324,1.25,7123498
2020-03-18 04:00:00,1.17,1.22,0.95,1.0,8623196
2020-03-19 04:00:00,0.99,1.07,0.95,1.05,3524302
2020-03-20 04:00:00,1.09,1.11,0.975,1.0,5269250
2020-03-23 04:00:00,1.01,1.04,0.8986,0.9887,5778220
2020-03-24 04:00:00,1.03,1.2128,1.02,1.19,4564494
2020-03-25 04:00:00,1.2,1.33,1.09,1.29,5740665
2020-03-26 04:00:00,1.25,1.32,1.2,1.26,3170928
2020-03-27 04:00:00,1.19,1.22,1.04,1.075,4122114
2020-03-30 04:00:00,1.12,1.125,0.9952,1.06,2930566
2020-03-31 04:00:00,1.03,1.08,1.02,1.05,2231402
2020-04-01 04:00:00,0.99,1.03,0.95,0.9986,2810649
2020-04-02 04:00:00,1.02,1.02,0.979,0.9932,2041640
2020-04-03 04:00:00,0.9948,1.0,0.9,0.9122,3161839
2020-04-06 04:00:00,0.9695,0.9752,0.9,0.92,4930052
2020-04-07 04:00:00,0.9288,0.955,0.88,0.8864,4394000
2020-04-08 04:00:00,0.9141,0.9699,0.88,0.952,5853594
2020-04-09 04:00:00,0.99,1.06,0.9627,0.995,3147689
2020-04-13 04:00:00,1.03,1.04,0.89855,0.90995,10873834
2020-04-14 04:00:00,0.915,0.96,0.86,0.93,21176728
2020-04-15 04:00:00,0.9,0.921,0.853,0.8773,6585710
2020-04-16 04:00:00,0.9,0.94,0.865,0.9275,12079858
2020-04-17 04:00:00,0.9684,0.98001,0.9126,0.9506,4486608
2020-04-20 04:00:00,0.95,1.01,0.91,0.9363,5742249
2020-04-21 04:00:00,0.93,0.95,0.901,0.9181,6804144
2020-04-22 04:00:00,0.93,0.945,0.904,0.9066,4738785
2020-04-23 04:00:00,0.92,0.932,0.9,0.9166,5968590
2020-04-24 04:00:00,0.9325,0.9325,0.901,0.915,3313917
2020-04-27 04:00:00,0.93,0.997,0.92,0.9719,8237352
2020-04-28 04:00:00,0.9903,1.04,0.98,0.9886,2345264
2020-04-29 04:00:00,1.14,1.8402,1.075,1.7563,22330927
2020-04-30 04:00:00,2.21,2.24,1.5,1.5799,46694338
2020-05-01 04:00:00,1.52,1.59,1.33,1.3799,7613009
2020-05-04 04:00:00,1.47,1.6799,1.41,1.48,17597656
2020-05-05 04:00:00,1.58,1.58,1.36,1.3899,6205531
2020-05-06 04:00:00,1.4,1.41,1.24,1.28,10482162
2020-05-07 04:00:00,1.26,1.36,1.25,1.305,3232191
2020-05-08 04:00:00,1.34,1.38,1.27,1.27,6925428
2020-05-11 04:00:00,1.3,1.35,1.27,1.315,7344818
2020-05-12 04:00:00,1.35,1.35,1.25,1.255,3220632
2020-05-13 04:00:00,1.27,1.3,1.12,1.18,4116112
2020-05-14 04:00:00,1.19,1.19,1.05,1.115,2945658
2020-05-15 04:00:00,1.16,1.22,1.12,1.17,4571500
2020-05-18 04:00:00,1.18,1.2065,1.15,1.19,3161150
2020-05-19 04:00:00,1.16,1.1899,1.11,1.11,3151984
2020-05-20 04:00:00,1.17,1.17,1.12,1.12,5403888
2020-05-21 04:00:00,1.16,1.21,1.12,1.2,8541024
2020-05-22 04:00:00,1.24,1.33,1.21,1.2417,17390846
2020-05-26 04:00:00,1.33,1.35,1.22,1.23,4830660
2020-05-27 04:00:00,1.22,1.25,1.14,1.19,4051009
2020-05-28 04:00:00,1.2,1.2,1.17,1.17,2505716
2020-05-29 04:00:00,1.18,1.19,1.11,1.14,3186140
2020-06-01 04:00:00,1.15,1.25,1.13,1.19,5440267
2020-06-02 04:00:00,1.23,1.24,1.13,1.1499,4449147
2020-06-03 04:00:00,1.17,1.1701,1.12,1.1299,10130354
2020-06-04 04:00:00,1.13,1.15,1.12,1.12,2999501
2020-06-05 04:00:00,1.17,1.23,1.13,1.19,6406306
2020-06-08 04:00:00,1.25,1.68,1.22,1.48,40983524
2020-06-09 04:00:00,1.48,1.51,1.36,1.41,15174846
2020-06-10 04:00:00,1.46,1.48,1.31,1.36,3962822
2020-06-11 04:00:00,1.36,1.42,1.22,1.23,13642382
2020-06-12 04:00:00,1.31,1.32,1.26,1.2917,1387827
2020-06-15 04:00:00,1.31,1.38,1.2517,1.32,5453503
2020-06-16 04:00:00,1.36,1.37,1.28,1.31,7452978
2020-06-17 04:00:00,1.32,1.33,1.24,1.25,2643660
2020-06-18 04:00:00,1.22,1.26,1.19,1.205,6466668
2020-06-19 04:00:00,1.22,1.25,1.18,1.19,4373411
2020-06-22 04:00:00,1.22,1.23,1.15,1.19,2969751
2020-06-23 04:00:00,1.1969,1.26,1.16,1.25,3079705
2020-06-24 04:00:00,1.23,1.25,1.15,1.17,2459908
2020-06-25 04:00:00,1.2,1.3,1.17,1.3,3069233
2020-06-26 04:00:00,1.27,1.28,1.2,1.2,2303518
2020-06-29 04:00:00,1.25,1.25,1.16,1.175,2959347
2020-06-30 04:00:00,1.2,1.25,1.17,1.24,2671395
2020-07-01 04:00:00,1.24,1.32,1.21,1.3,3869609
2020-07-02 04:00:00,1.35,1.44,1.33,1.3849,6944430
2020-07-06 04:00:00,1.4,1.46,1.35,1.455,4270365
2020-07-07 04:00:00,1.44,1.57,1.405,1.53,6949260
2020-07-08 04:00:00,1.55,1.67,1.53,1.59,5823734
2020-07-09 04:00:00,1.59,1.62,1.45,1.47,4042387
2020-07-10 04:00:00,1.47,1.53,1.41,1.5,2439447
2020-07-13 04:00:00,1.51,1.58,1.47,1.5,3570518
2020-07-14 04:00:00,1.53,1.54,1.39,1.485,4753060
2020-07-15 04:00:00,1.58,1.72,1.57,1.645,8189650
2020-07-16 04:00:00,1.66,1.69,1.55,1.68,3556139
2020-07-17 04:00:00,1.65,1.84,1.62,1.815,6752060
2020-07-20 04:00:00,1.83,1.9,1.77,1.855,4466911
2020-07-21 04:00:00,1.9,2.43,1.88,2.2448,15728708
2020-07-22 04:00:00,2.29,2.35,1.97,1.9817,9318196
2020-07-23 04:00:00,2.08,2.12,1.89,1.975,4002511
2020-07-24 04:00:00,1.92,2.12,1.78,2.1,6285739
2020-07-27 04:00:00,2.1,2.1176,1.86,1.98,5465456
2020-07-28 04:00:00,1.97,1.97,1.86,1.87,2423868
2020-07-29 04:00:00,1.87,2.045,1.8299,1.97,3460977
2020-07-30 04:00:00,1.91,1.97,1.86,1.94,2031898
2020-07-31 04:00:00,1.92,1.94,1.76,1.89,5157454
2020-08-03 04:00:00,1.9,1.91,1.77,1.89,2539858
2020-08-04 04:00:00,1.89,1.9,1.8,1.86,2543820
2020-08-05 04:00:00,1.85,2.09,1.81,2.04,5798175
2020-08-06 04:00:00,1.79,1.85,1.58,1.63,13059730
2020-08-07 04:00:00,1.68,1.73,1.63,1.67,4757475
2020-08-10 04:00:00,1.5599,1.645,1.54,1.58,5406388
2020-08-11 04:00:00,1.59,1.65,1.55,1.56,3415857
2020-08-12 04:00:00,1.59,1.65,1.5,1.6,4073218
2020-08-13 04:00:00,1.59,1.5925,1.55,1.55,1403302
2020-08-14 04:00:00,1.58,1.68,1.57,1.675,3652096
2020-08-17 04:00:00,1.69,1.75,1.65,1.715,3790299
2020-08-18 04:00:00,1.73,1.75,1.67,1.69,2035479
2020-08-19 04:00:00,1.7,1.74,1.68,1.71,1682937
2020-08-20 04:00:00,1.7,1.71,1.6618,1.68,1509029
2020-08-21 04:00:00,1.65,1.67,1.53,1.555,2803700
2020-08-24 04:00:00,1.58,1.59,1.53,1.57,1660908
2020-08-25 04:00:00,1.61,1.6168,1.52,1.58,1643026
2020-08-26 04:00:00,1.56,1.562,1.475,1.485,2439884
2020-08-27 04:00:00,1.49,1.49,1.415,1.45,1947258
2020-08-28 04:00:00,1.48,1.58,1.46,1.5,3166657
2020-08-31 04:00:00,1.49,1.5151,1.41,1.46,1824642
2020-09-01 04:00:00,1.46,1.4696,1.35,1.36,2816751
2020-09-02 04:00:00,1.38,1.4752,1.36,1.44,2338707
2020-09-03 04:00:00,1.44,1.52,1.39,1.4083,3952835
2020-09-04 04:00:00,1.4,1.42,1.31,1.41,2658599
2020-09-08 04:00:00,1.39,1.39,1.3,1.3397,2204750
2020-09-09 04:00:00,1.34,1.385,1.3,1.34,2007531
2020-09-10 04:00:00,1.35,1.37,1.34,1.34,997257
2020-09-11 04:00:00,1.34,1.36,1.31,1.355,1855384
2020-09-14 04:00:00,1.35,1.41,1.34,1.41,1558828
