date,open,high,low,close,volume
2019-09-27 04:00:00,88.85,90.3,87.82,88.15,1489999
2019-09-30 04:00:00,88.4,88.98,87.91,88.41,1580009
2019-10-01 04:00:00,89.15,90.19,87.23,87.82,1936181
2019-10-02 04:00:00,86.0,86.85,82.0552,83.65,3746682
2019-10-03 04:00:00,83.61,83.61,80.87,83.24,2421089
2019-10-04 04:00:00,83.53,84.47,83.12,84.3,3375061
2019-10-07 04:00:00,83.61,85.26,83.61,84.9,3444975
2019-10-08 04:00:00,84.25,86.12,83.9,84.68,4581220
2019-10-09 04:00:00,85.74,87.51,85.73,86.43,5433352
2019-10-10 04:00:00,85.39,87.76,84.73,87.35,4375072
2019-10-11 04:00:00,88.52,89.13,87.12,87.19,3937362
2019-10-14 04:00:00,86.4,87.11,86.24,86.96,5351656
2019-10-15 04:00:00,87.28,88.66,86.68,87.92,7477084
2019-10-16 04:00:00,89.35,90.84,88.22,89.7,12297079
2019-10-17 04:00:00,90.2,90.4068,88.93,89.46,4179336
2019-10-18 04:00:00,89.43,90.755,89.17,90.09,4703997
2019-10-21 04:00:00,90.86,91.5,90.535,90.78,1542305
2019-10-22 04:00:00,90.68,91.05,89.62,89.67,1730519
2019-10-23 04:00:00,89.65,90.17,88.95,89.89,1093439
2019-10-24 04:00:00,90.59,91.51,89.22,89.8,1672688
2019-10-25 04:00:00,89.68,91.84,89.67,91.64,1757257
2019-10-28 04:00:00,91.83,92.8,91.78,92.18,1485453
2019-10-29 04:00:00,91.88,92.38,90.9,91.0599,1189605
2019-10-30 04:00:00,91.05,91.89,90.41,91.68,1441247
2019-10-31 04:00:00,91.12,91.4,90.41,90.85,1712200
2019-11-01 04:00:00,91.65,92.52,91.29,91.59,1929377
2019-11-04 05:00:00,92.31,92.96,92.03,92.37,1624150
2019-11-05 05:00:00,92.63,93.62,92.46,93.13,1571280
2019-11-06 05:00:00,93.42,93.6,92.58,93.34,933102
2019-11-07 05:00:00,94.0,95.16,93.56,93.805,1841354
2019-11-08 05:00:00,93.81,93.86,92.605,93.45,767392
2019-11-11 05:00:00,92.85,93.82,92.67,93.54,1044623
2019-11-12 05:00:00,93.44,93.88,92.66,92.71,1168720
2019-11-13 05:00:00,92.62,92.98,92.04,92.41,1303771
2019-11-14 05:00:00,92.42,92.95,91.9,92.49,903884
2019-11-15 05:00:00,93.0,93.5,92.32,92.53,1328976
2019-11-18 05:00:00,92.45,92.79,91.45,92.77,1205603
2019-11-19 05:00:00,93.13,93.72,92.42,93.32,1254139
