date,open,high,low,close,volume
2019-09-27 04:00:00,31.71,31.9,30.13,30.2698,11424132
2019-09-30 04:00:00,30.4,30.735,30.17,30.43,4762143
2019-10-01 04:00:00,30.37,30.51,28.65,29.16,12964383
2019-10-02 04:00:00,28.67,29.55,28.31,29.0,8456427
2019-10-03 04:00:00,28.97,29.88,28.52,29.72,8959572
2019-10-04 04:00:00,29.9,30.18,28.9,29.62,8247283
2019-10-07 04:00:00,30.6,30.75,29.83,30.41,9637464
2019-10-08 04:00:00,30.01,30.15,29.17,29.27,7459474
2019-10-09 04:00:00,29.62,29.62,28.81,29.04,6674042
2019-10-10 04:00:00,29.21,29.28,28.58,28.87,7392304
2019-10-11 04:00:00,28.95,30.4,28.94,30.09,9480163
2019-10-14 04:00:00,30.22,31.54,29.83,31.12,7262678
2019-10-15 04:00:00,31.2,32.17,31.195,32.02,7503969
2019-10-16 04:00:00,31.8,32.38,31.4376,31.85,7305910
2019-10-17 04:00:00,31.8,32.93,31.45,32.57,6878660
2019-10-18 04:00:00,32.55,32.66,31.27,32.04,7281229
2019-10-21 04:00:00,31.95,32.2828,31.185,31.405,6738390
2019-10-22 04:00:00,31.41,33.89,30.22,32.525,18712947
2019-10-23 04:00:00,32.87,33.27,32.17,33.04,6536786
2019-10-24 04:00:00,33.0,33.42,32.51,33.235,6445448
2019-10-25 04:00:00,33.2,33.48,32.61,32.66,7775467
2019-10-28 04:00:00,32.9,33.355,32.5,33.21,7123265
2019-10-29 04:00:00,32.37,32.92,31.8146,32.42,9045856
2019-10-30 04:00:00,32.51,33.8,32.11,33.71,10063232
2019-10-31 04:00:00,31.6901,31.93,31.26,31.48,9044092
2019-11-01 04:00:00,31.45,31.7,30.83,31.34,9561278
2019-11-04 05:00:00,31.45,31.75,30.12,31.08,23380215
2019-11-05 05:00:00,29.13,29.3,27.97,28.0125,48351876
2019-11-06 05:00:00,26.06,27.55,25.58,26.935,118974365
2019-11-07 05:00:00,26.8,27.42,26.45,27.34,62123650
2019-11-08 05:00:00,27.48,27.62,26.915,27.02,39098835
2019-11-11 05:00:00,27.03,27.21,26.23,27.13,35480855
2019-11-12 05:00:00,27.38,27.66,26.665,26.7,29387049
2019-11-13 05:00:00,26.47,26.82,26.14,26.71,30306913
2019-11-14 05:00:00,26.8,26.86,25.665,26.01,26392306
2019-11-15 05:00:00,26.18,26.8,25.955,26.8,38908372
2019-11-18 05:00:00,26.8,27.0,26.3,26.75,33788076
2019-11-19 05:00:00,26.77,27.22,26.61,27.03,29652167
2019-11-20 05:00:00,27.06,28.4,26.945,28.03,50597777
2019-11-21 05:00:00,28.67,29.6,28.5,29.46,52040594
2019-11-22 05:00:00,29.84,30.13,29.21,29.565,39899500
2019-11-25 05:00:00,28.69,29.6,28.38,29.13,30863971
2019-11-26 05:00:00,29.49,30.15,29.36,29.53,23716551
2019-11-27 05:00:00,29.42,29.59,28.88,29.48,17840454
2019-11-29 05:00:00,29.41,29.85,29.29,29.59,7515056
2019-12-02 05:00:00,29.32,29.525,28.7,28.99,15474657
2019-12-03 05:00:00,28.2,29.33,28.15,29.03,23739233
2019-12-04 05:00:00,29.1,29.2,28.7,29.06,21531038
2019-12-05 05:00:00,28.94,28.99,28.18,28.63,19146844
2019-12-06 05:00:00,28.4,28.925,27.8001,27.87,28158442
2019-12-09 05:00:00,27.96,28.36,27.7,27.7,17550168
2019-12-10 05:00:00,27.73,27.993,27.605,27.9,17992014
2019-12-11 05:00:00,27.99,28.545,27.8497,28.43,21086141
2019-12-12 05:00:00,28.29,28.75,28.19,28.67,21848844
2019-12-13 05:00:00,28.58,28.84,28.27,28.5,23840869
2019-12-16 05:00:00,29.11,30.13,29.1,30.03,41530745
2019-12-17 05:00:00,30.37,30.42,29.53,29.73,28759211
2019-12-18 05:00:00,29.62,30.14,29.34,30.13,25823446
2019-12-19 05:00:00,29.84,30.17,29.5301,29.96,24928237
2019-12-20 05:00:00,30.1,31.03,29.85,30.49,48492603
2019-12-23 05:00:00,30.49,30.94,29.83,30.3385,24387862
2019-12-24 05:00:00,30.33,30.84,30.11,30.48,12157042
2019-12-26 05:00:00,30.47,30.79,30.03,30.68,18491859
2019-12-27 05:00:00,30.8,31.06,30.17,30.18,16221565
2019-12-30 05:00:00,30.13,30.2,29.35,29.75,16134251
2019-12-31 05:00:00,29.11,29.95,28.9,29.73,15215857
2020-01-02 05:00:00,29.94,31.0,29.79,30.99,18861776
2020-01-03 05:00:00,30.62,31.43,30.48,31.37,17618472
2020-01-06 05:00:00,31.01,32.06,31.0,31.58,19647381
2020-01-07 05:00:00,31.79,32.84,31.36,32.81,25637541
2020-01-08 05:00:00,32.73,34.52,32.46,33.93,41666757
2020-01-09 05:00:00,34.45,34.47,33.22,33.96,26101646
2020-01-10 05:00:00,34.08,34.99,33.835,33.99,27308677
2020-01-13 05:00:00,34.29,34.34,33.55,34.14,15125166
2020-01-14 05:00:00,34.2,35.02,33.92,34.83,22850956
2020-01-15 05:00:00,34.9,35.1493,34.51,35.01,19489105
2020-01-16 05:00:00,35.03,35.06,34.18,34.67,20632185
2020-01-17 05:00:00,34.97,35.25,34.65,35.12,14599453
2020-01-21 05:00:00,35.5,37.8,35.41,37.62,84979473
2020-01-22 05:00:00,37.94,37.94,36.92,37.06,50483381
2020-01-23 05:00:00,36.97,37.95,36.725,37.41,39143769
2020-01-24 05:00:00,37.5,37.665,36.25,36.83,39843942
2020-01-27 05:00:00,35.23,36.65,34.19,36.31,17313500
2020-01-28 05:00:00,37.14,37.33,36.04,37.0,26900157
2020-01-29 05:00:00,36.98,37.565,36.8,37.0,15922958
2020-01-30 05:00:00,36.82,37.1319,35.95,36.68,17969319
2020-01-31 05:00:00,37.0,37.04,35.69,36.3,18621719
2020-02-03 05:00:00,36.75,37.64,36.53,37.58,21739327
2020-02-04 05:00:00,37.87,38.99,37.26,38.53,30149166
2020-02-05 05:00:00,38.89,38.97,36.735,36.88,35192904
2020-02-06 05:00:00,37.3,37.39,36.73,37.09,28879986
2020-02-07 05:00:00,39.98,41.0,36.5,40.64,104384467
2020-02-10 05:00:00,40.65,41.34,39.96,40.02,45840224
2020-02-11 05:00:00,40.25,41.465,40.05,41.27,31912196
2020-02-12 05:00:00,41.5,41.86,41.065,41.25,23460896
2020-02-13 05:00:00,40.93,41.55,40.0,40.09,22004986
2020-02-14 05:00:00,40.02,40.31,38.7,39.63,28460807
2020-02-18 05:00:00,39.49,40.27,39.45,40.17,18527479
2020-02-19 05:00:00,40.42,41.23,40.115,41.04,19615957
2020-02-20 05:00:00,41.0,41.19,39.85,40.915,22608491
2020-02-21 05:00:00,40.89,40.89,40.05,40.72,18926113
2020-02-24 05:00:00,38.21,39.14,37.75,38.32,34203023
2020-02-25 05:00:00,38.9,39.15,35.5,35.89,45518625
2020-02-26 05:00:00,35.53,36.165,33.89,34.46,40548990
2020-02-27 05:00:00,32.03,34.16,30.67,32.395,61616775
2020-02-28 05:00:00,31.81,34.29,31.0,33.87,40282402
2020-03-02 05:00:00,34.05,34.08,31.74,32.83,40780285
2020-03-03 05:00:00,34.02,34.18,31.9,33.03,33029095
2020-03-04 05:00:00,33.93,35.34,32.28,34.52,42775960
2020-03-05 05:00:00,33.47,33.57,31.97,32.21,30520256
2020-03-06 05:00:00,31.23,32.41,30.45,31.68,29274615
2020-03-09 04:00:00,29.26,30.32,28.15,28.1568,32836852
2020-03-10 04:00:00,29.47,29.86,27.0,28.97,33407347
2020-03-11 04:00:00,27.91,28.14,25.61,26.245,40128291
2020-03-12 04:00:00,23.26,24.69,22.11,22.61,51018573
2020-03-13 04:00:00,24.01,24.81,21.13,22.59,50272692
2020-03-16 04:00:00,20.15,21.49,19.1,20.29,52935270
2020-03-17 04:00:00,20.18,20.31,18.01,18.91,56934590
