date,open,high,low,close,volume
2019-09-27 04:00:00,16.94,17.7202,16.87,17.19,3899309
2019-09-30 04:00:00,16.76,17.02,16.03,16.22,4612847
2019-10-01 04:00:00,16.4,16.49,15.48,15.79,5117544
2019-10-02 04:00:00,15.84,15.84,14.96,15.24,4686857
2019-10-03 04:00:00,14.81,15.2189,14.28,15.05,5178120
2019-10-04 04:00:00,15.45,15.633,14.8977,15.35,3287478
2019-10-07 04:00:00,15.64,16.0404,15.21,15.37,3191611
2019-10-08 04:00:00,14.91,15.33,14.79,15.01,4017895
2019-10-09 04:00:00,15.72,15.8451,15.07,15.23,3451392
2019-10-10 04:00:00,15.59,15.87,15.4156,15.82,2833410
2019-10-11 04:00:00,15.99,16.6,15.99,16.47,4206717
2019-10-14 04:00:00,15.76,15.93,15.4,15.82,2415068
2019-10-15 04:00:00,15.74,15.99,15.3737,15.5,2089096
2019-10-16 04:00:00,15.4,15.96,15.4,15.74,1453363
2019-10-17 04:00:00,15.51,16.17,15.34,16.106,2214407
2019-10-18 04:00:00,16.23,16.36,15.71,15.93,1968508
2019-10-21 04:00:00,15.43,15.95,15.42,15.88,1905305
2019-10-22 04:00:00,16.2,16.55,16.01,16.29,3093279
2019-10-23 04:00:00,16.11,17.31,16.09,17.15,4984798
2019-10-24 04:00:00,17.33,17.6,17.25,17.43,1946208
2019-10-25 04:00:00,17.34,17.75,17.05,17.72,2173901
2019-10-28 04:00:00,17.76,17.8699,17.0537,17.19,1742768
2019-10-29 04:00:00,16.6,17.28,16.56,17.0,2075173
2019-10-30 04:00:00,16.98,16.99,16.4,16.62,2770677
2019-10-31 04:00:00,16.03,16.279,15.9515,16.15,1701053
2019-11-01 04:00:00,16.61,17.464,16.59,17.3,3259329
2019-11-04 05:00:00,17.95,18.12,17.52,17.62,2252805
2019-11-05 05:00:00,17.95,18.185,17.9,17.98,1436174
2019-11-06 05:00:00,18.06,18.39,17.3236,17.54,3235586
2019-11-07 05:00:00,18.06,18.37,17.74,17.8,2263319
2019-11-08 05:00:00,17.32,18.13,17.07,18.1,2857284
2019-11-11 05:00:00,17.49,18.07,17.47,17.79,1646891
2019-11-12 05:00:00,18.04,18.2046,17.58,17.77,1809324
2019-11-13 05:00:00,17.57,18.21,17.54,18.04,1737717
2019-11-14 05:00:00,18.25,18.3337,17.69,17.85,1452789
2019-11-15 05:00:00,17.77,18.51,17.7565,18.39,1687227
2019-11-18 05:00:00,18.1,18.16,17.61,17.8,2347660
2019-11-19 05:00:00,17.27,17.35,16.68,16.8363,3245680
2019-11-20 05:00:00,17.13,18.02,17.0052,17.82,3223721
2019-11-21 05:00:00,18.25,18.83,18.21,18.69,2405858
2019-11-22 05:00:00,18.67,18.72,18.09,18.4,1505513
2019-11-25 05:00:00,18.17,18.5,17.98,18.39,1458800
2019-11-26 05:00:00,18.63,18.76,18.31,18.63,1383485
2019-11-27 05:00:00,18.57,18.74,18.1,18.46,1394540
2019-11-29 05:00:00,17.86,17.87,16.67,16.89,3340406
2019-12-02 05:00:00,17.37,17.4198,16.8973,17.07,2298937
2019-12-03 05:00:00,17.03,17.59,16.8,17.29,3087386
2019-12-04 05:00:00,18.19,18.72,18.1401,18.56,3966464
2019-12-05 05:00:00,18.92,19.02,18.42,18.57,2168823
2019-12-06 05:00:00,18.34,19.49,18.34,18.98,2855469
2019-12-09 05:00:00,18.76,19.12,18.7436,18.96,1145682
2019-12-10 05:00:00,18.91,19.29,18.8,19.17,1320453
2019-12-11 05:00:00,19.0,19.0933,18.39,18.85,1553237
2019-12-12 05:00:00,18.91,19.4,18.89,19.12,1553711
2019-12-13 05:00:00,19.24,19.93,19.17,19.46,1993085
2019-12-16 05:00:00,19.75,19.86,19.69,19.7521,942315
2019-12-17 05:00:00,19.95,20.28,19.95,20.17,1067094
2019-12-18 05:00:00,19.98,20.38,19.88,20.23,1179912
2019-12-19 05:00:00,20.29,20.56,20.1734,20.35,871108
2019-12-20 05:00:00,20.24,20.24,19.77,19.95,1492598
2019-12-23 05:00:00,19.89,20.24,19.84,20.21,886042
2019-12-24 05:00:00,20.3,20.48,20.2745,20.41,483970
2019-12-26 05:00:00,20.57,20.93,20.5699,20.78,812854
2019-12-27 05:00:00,20.9,20.98,20.57,20.84,972138
2019-12-30 05:00:00,21.18,21.207,20.43,20.76,1390569
2019-12-31 05:00:00,20.19,20.93,20.1336,20.46,1207160
2020-01-02 05:00:00,20.43,20.59,20.14,20.46,1647386
2020-01-03 05:00:00,21.92,22.07,21.19,21.68,4151697
2020-01-06 05:00:00,22.07,22.13,21.465,21.6,2791985
2020-01-07 05:00:00,21.43,21.68,21.15,21.49,1973116
2020-01-08 05:00:00,21.3,21.36,19.12,19.94,5676345
2020-01-09 05:00:00,19.33,19.6,18.84,19.46,2555871
2020-01-10 05:00:00,19.29,19.43,18.99,19.17,1454990
2020-01-13 05:00:00,18.89,18.9,18.44,18.54,2430507
2020-01-14 05:00:00,18.77,18.91,18.59,18.77,1841722
2020-01-15 05:00:00,18.59,18.61,18.12,18.46,1928563
2020-01-16 05:00:00,18.58,19.02,18.5501,18.82,1471181
2020-01-17 05:00:00,18.96,19.07,18.681,18.94,1475052
2020-01-21 05:00:00,18.63,18.97,18.59,18.66,2254164
2020-01-22 05:00:00,18.06,18.06,17.56,17.64,7187149
2020-01-23 05:00:00,16.77,17.079,16.455,16.93,10380678
2020-01-24 05:00:00,16.42,16.4644,15.91,16.215,11617646
2020-01-27 05:00:00,15.31,15.73,15.095,15.33,5045141
2020-01-28 05:00:00,15.51,15.93,15.37,15.74,2698632
2020-01-29 05:00:00,15.77,15.78,15.28,15.48,2339800
2020-01-30 05:00:00,14.89,15.27,14.63,15.27,5913288
2020-01-31 05:00:00,14.69,14.9763,14.23,14.6,6040357
2020-02-03 05:00:00,14.33,14.58,13.63,13.7,7206481
2020-02-04 05:00:00,14.15,14.2,13.425,13.53,5114112
2020-02-05 05:00:00,14.32,14.69,13.92,14.23,5444717
2020-02-06 05:00:00,14.05,14.37,13.8,14.27,3199957
2020-02-07 05:00:00,13.93,14.25,13.7699,13.9,3333875
2020-02-10 05:00:00,13.62,13.82,13.36,13.43,4642595
2020-02-11 05:00:00,14.0,14.005,13.53,13.68,2876865
2020-02-12 05:00:00,14.48,14.58,14.207,14.48,4349253
