date,open,high,low,close,volume
2019-09-27 04:00:00,273.56,273.59,269.723,271.26,2497994
2019-09-30 04:00:00,271.82,273.265,271.7929,272.57,2232520
2019-10-01 04:00:00,273.44,274.08,269.09,269.3,3450609
2019-10-02 04:00:00,267.73,267.73,263.2501,264.56,4096462
2019-10-03 04:00:00,264.35,266.7,261.59,266.67,2676087
2019-10-04 04:00:00,267.45,270.56,267.355,270.34,1735490
2019-10-07 04:00:00,269.56,271.16,268.9,269.18,1675865
2019-10-08 04:00:00,267.28,268.0193,264.96,265.02,1853886
2019-10-09 04:00:00,267.04,268.437,266.39,267.46,1767621
2019-10-10 04:00:00,267.42,270.2,267.25,269.33,1380031
2019-10-11 04:00:00,272.1,274.35,271.94,272.14,2493955
2019-10-14 04:00:00,271.84,272.45,271.48,271.88,1026689
2019-10-15 04:00:00,272.87,275.25,272.77,274.5,1643629
2019-10-16 04:00:00,274.07,274.73,273.62,274.08,1050982
2019-10-17 04:00:00,275.24,275.72,274.185,274.83,2562244
2019-10-18 04:00:00,274.36,274.9671,272.81,273.69,1099434
2019-10-21 04:00:00,275.05,275.72,274.57,275.6,2881216
2019-10-22 04:00:00,276.09,276.33,274.52,274.62,1454464
2019-10-23 04:00:00,274.41,275.48,274.179,275.43,1205593
2019-10-24 04:00:00,276.38,276.505,275.05,275.88,2056943
2019-10-25 04:00:00,275.33,277.54,275.28,277.05,1237356
2019-10-28 04:00:00,278.22,279.07,278.22,278.62,1679013
2019-10-29 04:00:00,278.32,279.43,278.1844,278.45,1452450
2019-10-30 04:00:00,278.69,279.69,277.38,279.35,1538800
2019-10-31 04:00:00,277.56,278.65,277.25,278.55,1457823
2019-11-01 04:00:00,280.05,281.21,279.93,281.21,2250184
2019-11-04 05:00:00,282.79,282.9,281.96,282.32,3698455
2019-11-05 05:00:00,282.58,282.8198,281.71,281.99,2877136
2019-11-06 05:00:00,282.04,282.34,281.12,282.11,1322881
2019-11-07 05:00:00,283.46,284.23,282.58,283.09,2484405
2019-11-08 05:00:00,282.74,283.76,282.0,283.76,2248353
2019-11-11 05:00:00,282.43,283.371,282.24,283.26,1083338
2019-11-12 05:00:00,283.58,284.72,283.03,283.75,1479948
2019-11-13 05:00:00,282.83,284.3163,282.59,283.89,1581472
2019-11-14 05:00:00,283.64,284.4,282.99,284.32,2112550
2019-11-15 05:00:00,285.64,286.43,285.0,286.42,1713009
2019-11-18 05:00:00,286.18,286.85,285.71,286.58,2020109
2019-11-19 05:00:00,287.24,287.24,285.875,286.47,2897588
