date,open,high,low,close,volume
2019-09-27 04:00:00,6.52,6.6,5.8601,6.55,4507968
2019-09-30 04:00:00,6.37,6.68,6.08,6.54,2940165
2019-10-01 04:00:00,6.55,6.89,6.35,6.38,2526653
2019-10-02 04:00:00,6.32,6.62,6.25,6.58,1466192
2019-10-03 04:00:00,6.55,6.64,6.25,6.64,1187913
2019-10-04 04:00:00,6.67,6.925,6.58,6.92,1018271
2019-10-07 04:00:00,6.88,7.12,6.83,6.98,1623622
2019-10-08 04:00:00,6.93,7.17,6.87,7.135,1119973
2019-10-09 04:00:00,7.17,7.22,6.77,6.81,1190221
2019-10-10 04:00:00,6.8,7.15,6.7,7.03,819001
2019-10-11 04:00:00,7.15,7.29,7.01,7.09,1018229
2019-10-14 04:00:00,7.09,7.15,6.91,6.97,534289
2019-10-15 04:00:00,7.0,7.0,6.8,6.96,519191
2019-10-16 04:00:00,6.91,6.92,6.51,6.64,1064522
2019-10-17 04:00:00,6.65,6.805,6.65,6.73,467399
2019-10-18 04:00:00,6.7,7.07,6.67,7.01,894955
2019-10-21 04:00:00,7.11,7.245,6.92,6.94,904856
2019-10-22 04:00:00,6.92,6.98,6.38,6.405,1103124
2019-10-23 04:00:00,6.42,6.5581,6.195,6.39,1353406
2019-10-24 04:00:00,6.4,6.54,6.32,6.535,746147
2019-10-25 04:00:00,6.53,6.72,6.4,6.64,761978
2019-10-28 04:00:00,6.77,6.985,6.74,6.82,673108
2019-10-29 04:00:00,6.8,7.105,6.71,6.99,756184
2019-10-30 04:00:00,6.9,6.99,6.74,6.97,659246
2019-10-31 04:00:00,6.905,7.05,6.86,7.01,569827
2019-11-01 04:00:00,7.03,7.1,6.93,7.05,435478
2019-11-04 05:00:00,7.05,7.1,6.67,6.67,818729
2019-11-05 05:00:00,6.71,6.85,6.51,6.78,860456
2019-11-06 05:00:00,6.78,6.8908,6.51,6.64,1074074
2019-11-07 05:00:00,6.72,7.41,6.705,7.09,2162695
2019-11-08 05:00:00,7.09,7.26,6.91,7.16,853096
2019-11-11 05:00:00,7.15,7.26,6.85,6.905,771420
2019-11-12 05:00:00,6.94,7.035,6.85,6.92,449509
2019-11-13 05:00:00,6.9,6.9204,6.545,6.59,1138627
2019-11-14 05:00:00,6.58,6.7,6.47,6.68,722711
2019-11-15 05:00:00,6.7,6.8,6.6301,6.795,734851
2019-11-18 05:00:00,6.83,6.85,6.6,6.7,683233
2019-11-19 05:00:00,6.69,6.74,6.465,6.52,906001
2019-11-20 05:00:00,6.5,6.52,6.25,6.405,974211
2019-11-21 05:00:00,6.45,6.475,6.32,6.46,483838
2019-11-22 05:00:00,6.5,7.0,6.46,6.96,1006241
2019-11-25 05:00:00,7.01,7.3957,6.9,7.28,1121319
2019-11-26 05:00:00,7.29,7.56,7.21,7.29,993158
2019-11-27 05:00:00,7.3,7.46,7.14,7.44,430965
2019-11-29 05:00:00,7.4,7.45,7.31,7.35,217004
2019-12-02 05:00:00,7.39,7.41,7.175,7.24,437416
2019-12-03 05:00:00,7.14,7.22,6.96,7.19,420389
2019-12-04 05:00:00,7.22,7.38,7.11,7.32,663247
2019-12-05 05:00:00,7.31,7.5099,7.28,7.29,707000
2019-12-06 05:00:00,7.26,7.39,7.14,7.34,587737
2019-12-09 05:00:00,7.38,7.45,7.18,7.2,409773
2019-12-10 05:00:00,7.14,7.15,6.76,6.85,1211580
2019-12-11 05:00:00,6.9,7.11,6.7117,7.11,795284
2019-12-12 05:00:00,7.12,7.79,7.08,7.75,2212541
2019-12-13 05:00:00,7.74,7.96,7.58,7.71,1123258
2019-12-16 05:00:00,7.77,8.0,7.66,7.8,854983
2019-12-17 05:00:00,7.79,7.85,7.63,7.74,649566
2019-12-18 05:00:00,7.77,7.82,7.68,7.73,492715
2019-12-19 05:00:00,7.71,8.0,7.68,7.87,665036
2019-12-20 05:00:00,7.95,7.99,7.62,7.69,745446
2019-12-23 05:00:00,7.74,7.8,7.55,7.59,546079
2019-12-24 05:00:00,7.54,7.7,7.47,7.64,444377
2019-12-26 05:00:00,7.71,7.935,7.71,7.86,537463
2019-12-27 05:00:00,7.85,7.87,7.745,7.76,383040
2019-12-30 05:00:00,7.75,7.78,7.37,7.37,740440
2019-12-31 05:00:00,7.36,7.45,7.16,7.25,809857
2020-01-02 05:00:00,7.35,7.68,7.3247,7.56,1143690
2020-01-03 05:00:00,7.56,8.0,7.39,7.79,1384150
2020-01-06 05:00:00,7.77,7.93,7.48,7.7,1004236
2020-01-07 05:00:00,7.66,7.815,7.6,7.76,727496
2020-01-08 05:00:00,7.77,8.01,7.76,7.93,792052
2020-01-09 05:00:00,8.0,8.345,7.96,8.16,1040128
2020-01-10 05:00:00,8.19,8.22,7.91,7.95,742961
2020-01-13 05:00:00,8.07,8.245,7.92,8.195,1078164
2020-01-14 05:00:00,8.23,8.3,8.08,8.25,760450
2020-01-15 05:00:00,8.29,8.35,8.15,8.325,777186
2020-01-16 05:00:00,8.45,8.62,8.39,8.6,800386
2020-01-17 05:00:00,8.66,9.02,8.66,8.86,1507571
2020-01-21 05:00:00,8.94,8.99,8.6311,8.88,1963557
2020-01-22 05:00:00,8.93,8.98,8.8,8.875,1589228
2020-01-23 05:00:00,8.94,9.0,8.82,8.91,1698711
2020-01-24 05:00:00,8.96,8.99,8.61,8.67,1405590
2020-01-27 05:00:00,8.44,8.51,8.21,8.38,911181
2020-01-28 05:00:00,8.44,8.52,8.27,8.48,553843
2020-01-29 05:00:00,8.6,8.74,8.51,8.72,798534
2020-01-30 05:00:00,8.76,9.0,8.76,8.88,896846
2020-01-31 05:00:00,8.86,8.88,8.08,8.16,1713104
2020-02-03 05:00:00,8.2,8.22,7.93,7.95,1526461
2020-02-04 05:00:00,8.1,8.28,8.02,8.13,2008302
2020-02-05 05:00:00,8.25,8.8,8.17,8.8,2074464
2020-02-06 05:00:00,8.91,9.4399,8.74,9.27,2257631
2020-02-07 05:00:00,9.26,9.435,9.12,9.16,1325302
2020-02-10 05:00:00,9.15,9.5,9.06,9.5,1145921
2020-02-11 05:00:00,9.56,10.39,9.56,10.05,3193398
2020-02-12 05:00:00,10.13,10.95,10.0,10.92,2672760
2020-02-13 05:00:00,10.73,11.005,10.5,11.0,1453635
2020-02-14 05:00:00,11.03,11.27,10.84,10.92,1212204
2020-02-18 05:00:00,10.91,11.24,10.83,11.04,1272200
2020-02-19 05:00:00,11.23,11.81,11.16,11.8,2125951
2020-02-20 05:00:00,12.14,12.9899,11.91,12.84,4172138
2020-02-21 05:00:00,12.37,12.38,11.31,11.43,3112288
2020-02-24 05:00:00,10.57,11.95,10.2,11.75,2422080
2020-02-25 05:00:00,12.1,12.4583,11.46,11.58,1950619
2020-02-26 05:00:00,11.54,12.3,11.13,11.91,3535623
2020-02-27 05:00:00,11.44,11.5902,10.87,11.08,3207802
2020-02-28 05:00:00,9.89,11.28,9.89,11.23,2364037
2020-03-02 05:00:00,11.44,11.49,10.49,11.19,2565800
2020-03-03 05:00:00,11.48,12.2699,11.25,11.68,2753463
2020-03-04 05:00:00,12.07,12.15,11.61,11.9,1463044
2020-03-05 05:00:00,11.5,12.02,11.49,11.72,1406730
2020-03-06 05:00:00,11.14,11.3647,10.5,10.75,1915612
2020-03-09 04:00:00,9.66,10.19,9.19,9.41,1776667
2020-03-10 04:00:00,10.34,10.34,9.28,9.56,1832484
2020-03-11 04:00:00,8.08,8.8,8.0,8.245,4219412
2020-03-12 04:00:00,7.54,7.6,6.1,6.705,3507152
2020-03-13 04:00:00,7.1,7.2,5.65,6.2,2865330
2020-03-16 04:00:00,5.45,5.5,4.86,5.25,2686424
2020-03-17 04:00:00,5.42,5.44,3.93,4.31,5077857
2020-03-18 04:00:00,4.15,4.33,3.17,3.2801,2853423
2020-03-19 04:00:00,3.54,3.79,3.38,3.7,2892642
2020-03-20 04:00:00,4.07,4.69,3.95,4.0,3863639
2020-03-23 04:00:00,4.05,4.35,3.6,4.2,2447536
2020-03-24 04:00:00,4.62,5.0,4.55,4.74,2428057
2020-03-25 04:00:00,5.23,5.44,4.59,5.03,3953771
2020-03-26 04:00:00,5.0,5.77,4.86,4.98,3168547
2020-03-27 04:00:00,4.94,4.94,4.25,4.705,3441415
2020-03-30 04:00:00,4.79,4.9001,4.38,4.59,1927912
2020-03-31 04:00:00,4.83,4.88,4.2,4.36,2322520
2020-04-01 04:00:00,4.2,4.2,3.91,3.99,1759032
2020-04-02 04:00:00,3.98,4.25,3.98,4.1901,1384733
