date,open,high,low,close,volume
2019-09-27 04:00:00,50.395,51.41,50.25,50.72,52749738
2019-09-30 04:00:00,50.77,50.85,50.055,50.45,22493071
2019-10-01 04:00:00,50.65,50.78,49.0,49.06,23984297
2019-10-02 04:00:00,48.72,49.04,48.37,48.48,19004130
2019-10-03 04:00:00,48.3,48.505,47.323,48.49,17054704
2019-10-04 04:00:00,48.66,49.25,48.53,49.2,13531971
2019-10-07 04:00:00,48.95,49.29,48.75,48.8,13532143
2019-10-08 04:00:00,48.25,48.35,47.54,47.81,17122287
2019-10-09 04:00:00,48.17,48.42,48.08,48.14,11931631
2019-10-10 04:00:00,48.33,49.07,48.16,48.65,16305366
2019-10-11 04:00:00,49.46,49.92,49.15,49.19,19888670
2019-10-14 04:00:00,49.09,49.45,48.98,49.3,13910336
2019-10-15 04:00:00,49.28,51.25,48.78,50.07,34609891
2019-10-16 04:00:00,50.04,50.28,49.45,49.59,19832117
2019-10-17 04:00:00,49.98,50.17,49.48,49.61,16558933
2019-10-18 04:00:00,49.34,50.22,49.32,49.98,18939004
2019-10-21 04:00:00,50.28,50.5,50.175,50.45,16593154
2019-10-22 04:00:00,50.44,51.02,50.23,50.63,14396947
2019-10-23 04:00:00,50.72,50.97,50.57,50.95,12464843
2019-10-24 04:00:00,50.66,51.2,50.66,51.11,14728269
2019-10-25 04:00:00,51.08,51.73,51.0,51.545,14033998
2019-10-28 04:00:00,51.94,52.045,51.565,51.67,18648435
2019-10-29 04:00:00,51.5,52.36,51.5,52.165,17944416
2019-10-30 04:00:00,51.88,52.275,51.62,52.05,13878317
2019-10-31 04:00:00,51.4,51.66,51.145,51.65,8999031
2019-11-01 04:00:00,52.13,52.285,51.91,52.15,14246758
2019-11-04 05:00:00,52.58,52.795,52.24,52.72,13722351
2019-11-05 05:00:00,52.74,53.5,52.74,53.33,22094699
2019-11-06 05:00:00,53.29,53.84,53.17,53.81,17589773
2019-11-07 05:00:00,53.78,54.4,53.78,54.01,20043647
2019-11-08 05:00:00,53.83,54.23,53.56,54.09,12773449
2019-11-11 05:00:00,53.79,54.14,53.73,54.06,9090640
2019-11-12 05:00:00,53.75,54.24,53.62,54.23,13624617
2019-11-13 05:00:00,53.81,53.8969,53.21,53.27,14964759
2019-11-14 05:00:00,53.22,53.56,53.1,53.5,11029408
2019-11-15 05:00:00,53.78,53.94,53.43,53.79,10922732
2019-11-18 05:00:00,53.84,54.11,53.65,53.99,9757400
2019-11-19 05:00:00,54.1,54.329,53.87,54.03,9260213
2019-11-20 05:00:00,53.73,53.86,53.25,53.55,11579333
2019-11-21 05:00:00,53.84,53.93,53.34,53.56,12030053
2019-11-22 05:00:00,53.9,54.35,53.805,54.29,11564155
2019-11-25 05:00:00,54.53,54.53,54.04,54.21,11762773
2019-11-26 05:00:00,54.11,54.12,53.73,53.82,12349023
2019-11-27 05:00:00,54.15,54.395,54.01,54.34,12895224
2019-11-29 05:00:00,54.07,54.75,54.07,54.47,8034257
2019-12-02 05:00:00,54.31,54.44,53.55,53.64,16709874
2019-12-03 05:00:00,53.01,53.05,52.165,52.6,21422599
2019-12-04 05:00:00,52.6,53.48,52.535,53.25,16411531
2019-12-05 05:00:00,53.41,53.531,53.1,53.24,11305476
2019-12-06 05:00:00,53.86,54.41,53.69,54.38,15174919
2019-12-09 05:00:00,54.17,54.545,53.91,53.92,10879217
2019-12-10 05:00:00,53.49,53.87,53.3801,53.69,13256374
2019-12-11 05:00:00,53.74,53.98,53.07,53.15,13697694
2019-12-12 05:00:00,53.37,54.55,53.1,54.36,18719690
2019-12-13 05:00:00,54.05,54.42,53.43,53.79,16464082
2019-12-16 05:00:00,54.24,54.56,54.215,54.225,14075413
2019-12-17 05:00:00,54.11,54.51,53.99,54.33,12022583
2019-12-18 05:00:00,54.46,54.46,53.63,53.68,14093779
2019-12-19 05:00:00,53.74,53.83,53.42,53.63,11738681
2019-12-20 05:00:00,54.05,54.05,53.07,53.31,29043144
2019-12-23 05:00:00,53.34,54.0,53.25,53.82,11515288
2019-12-24 05:00:00,53.95,54.04,53.735,53.82,4020491
2019-12-26 05:00:00,54.05,54.39,53.95,54.15,8296293
2019-12-27 05:00:00,54.29,54.32,53.865,53.92,8201116
2019-12-30 05:00:00,54.17,54.26,53.5,53.61,8588837
2019-12-31 05:00:00,53.53,53.82,53.46,53.78,9004220
2020-01-02 05:00:00,53.85,54.035,53.51,53.77,13591298
2020-01-03 05:00:00,53.11,53.615,52.9,53.41,12332538
2020-01-06 05:00:00,52.74,53.2,52.72,53.1,10336515
2020-01-07 05:00:00,53.05,53.05,52.47,52.65,11119651
2020-01-08 05:00:00,52.84,53.33,52.795,52.81,13462595
2020-01-09 05:00:00,53.2,53.2,52.48,52.72,15735146
2020-01-10 05:00:00,52.79,52.9,52.48,52.5,11221781
2020-01-13 05:00:00,52.49,52.49,51.83,52.11,21081915
2020-01-14 05:00:00,50.23,50.74,49.25,49.3,49400285
2020-01-15 05:00:00,48.83,48.84,47.98,48.31,40676831
2020-01-16 05:00:00,48.46,49.32,47.84,49.26,32136576
2020-01-17 05:00:00,49.37,49.42,48.53,49.17,21647790
2020-01-21 05:00:00,49.09,49.88,48.8,48.94,48923622
2020-01-22 05:00:00,49.03,49.09,48.29,48.56,34288320
2020-01-23 05:00:00,48.39,48.45,47.98,48.23,28046461
2020-01-24 05:00:00,48.19,48.21,47.18,47.57,36570747
2020-01-27 05:00:00,46.89,47.415,46.74,47.09,14340209
