date,open,high,low,close,volume
2019-09-27 04:00:00,3.35,3.57,3.35,3.54,2203928
2019-09-30 04:00:00,3.51,3.56,3.37,3.5,1040722
2019-10-01 04:00:00,3.5,3.74,3.42,3.515,1334572
2019-10-02 04:00:00,3.44,3.54,3.22,3.4694,1087019
2019-10-03 04:00:00,3.36,3.5,3.3,3.45,744519
2019-10-04 04:00:00,3.44,3.5,3.38,3.46,1249237
2019-10-07 04:00:00,3.44,3.52,3.12,3.475,2335265
2019-10-08 04:00:00,3.69,3.77,3.52,3.54,5617966
2019-10-09 04:00:00,3.61,3.725,3.58,3.65,2026589
2019-10-10 04:00:00,3.65,3.73,3.6,3.69,1805071
2019-10-11 04:00:00,3.68,3.73,3.57,3.69,1565252
2019-10-14 04:00:00,3.72,3.72,3.53,3.65,1576144
2019-10-15 04:00:00,3.59,3.63,3.41,3.4887,1946448
2019-10-16 04:00:00,3.48,3.77,3.43,3.6,2620402
2019-10-17 04:00:00,3.69,3.7,3.55,3.62,1726503
2019-10-18 04:00:00,3.62,3.7154,3.45,3.46,2105535
2019-10-21 04:00:00,3.4619,3.56,3.36,3.46,640651
2019-10-22 04:00:00,3.49,3.5,3.26,3.28,1171702
2019-10-23 04:00:00,3.29,3.39,3.2,3.33,918312
2019-10-24 04:00:00,3.42,3.43,3.25,3.38,937261
2019-10-25 04:00:00,3.35,3.38,3.2,3.2,1006252
2019-10-28 04:00:00,3.25,3.2837,2.96,3.03,2056785
2019-10-29 04:00:00,3.0,3.05,2.8,2.93,1666897
2019-10-30 04:00:00,3.0,3.05,2.8,2.81,1467965
2019-10-31 04:00:00,2.89,2.89,2.31,2.52,2564042
2019-11-01 04:00:00,2.6,2.79,2.53,2.73,986730
2019-11-04 05:00:00,2.75,2.81,2.52,2.76,1453145
2019-11-05 05:00:00,2.72,2.72,2.47,2.505,1415510
2019-11-06 05:00:00,2.54,2.58,2.33,2.45,1567149
2019-11-07 05:00:00,2.45,3.28,2.14,3.16,7802903
2019-11-08 05:00:00,3.14,3.3,2.85,3.09,5421116
2019-11-11 05:00:00,2.99,3.09,2.8,2.875,1977900
2019-11-12 05:00:00,2.85,2.9,2.62,2.72,1741041
2019-11-13 05:00:00,2.65,2.68,2.53,2.585,1375745
2019-11-14 05:00:00,2.62,3.02,2.51,2.98,1974626
2019-11-15 05:00:00,2.94,3.0,2.7,2.735,2160505
2019-11-18 05:00:00,2.71,2.83,2.58,2.59,1389043
2019-11-19 05:00:00,2.59,2.66,2.53,2.595,972333
2019-11-20 05:00:00,2.55,2.59,2.5,2.53,723016
2019-11-21 05:00:00,2.52,2.68,2.48,2.645,922001
2019-11-22 05:00:00,2.87,2.96,2.66,2.75,2671963
2019-11-25 05:00:00,2.75,2.76,2.44,2.57,1466176
2019-11-26 05:00:00,2.56,2.69,2.55,2.67,752629
2019-11-27 05:00:00,2.68,2.78,2.52,2.74,1214866
2019-11-29 05:00:00,2.64,2.7779,2.55,2.73,638903
2019-12-02 05:00:00,2.65,2.9,2.62,2.87,1332734
2019-12-03 05:00:00,2.85,2.85,2.68,2.77,944167
2019-12-04 05:00:00,2.8,2.84,2.73,2.83,1257121
2019-12-05 05:00:00,2.85,3.175,2.78,3.01,5051639
2019-12-06 05:00:00,3.09,3.17,2.87,2.87,2302536
2019-12-09 05:00:00,2.9,2.92,2.76,2.9,1322444
2019-12-10 05:00:00,2.91,2.92,2.8,2.9,795614
2019-12-11 05:00:00,2.88,2.96,2.83,2.86,836232
