date,open,high,low,close,volume
2019-09-27 04:00:00,70.7,71.67,70.63,71.5,5662390
2019-09-30 04:00:00,71.24,71.45,70.58,70.6,6842257
2019-10-01 04:00:00,70.83,70.91,68.91,68.95,8523164
2019-10-02 04:00:00,68.27,68.59,67.005,67.19,11583748
2019-10-03 04:00:00,67.0,68.0,66.305,68.0,8692484
2019-10-04 04:00:00,68.11,69.07,67.82,68.95,8271125
2019-10-07 04:00:00,68.7,69.03,68.03,68.05,7562740
2019-10-08 04:00:00,67.54,67.92,66.64,66.69,7919730
2019-10-09 04:00:00,67.3,67.7,67.2,67.44,6955552
2019-10-10 04:00:00,67.43,68.36,67.38,68.27,5666627
2019-10-11 04:00:00,68.98,69.49,68.885,68.96,7998716
2019-10-14 04:00:00,68.6,69.37,68.59,69.19,4184663
2019-10-15 04:00:00,69.06,70.0,69.01,69.4,5436660
2019-10-16 04:00:00,69.21,69.53,68.21,68.235,7750047
2019-10-17 04:00:00,68.48,68.8847,68.08,68.14,7714175
2019-10-18 04:00:00,67.87,68.15,67.61,67.62,11608821
2019-10-21 04:00:00,67.82,68.77,67.82,68.74,7717258
2019-10-22 04:00:00,68.78,69.76,68.65,69.11,7847753
2019-10-23 04:00:00,68.96,69.76,68.78,69.75,5791386
2019-10-24 04:00:00,69.96,70.05,69.02,69.07,5766599
2019-10-25 04:00:00,68.9,69.48,68.9,69.2,6141377
2019-10-28 04:00:00,69.46,69.67,68.585,68.62,8271612
2019-10-29 04:00:00,68.48,69.03,68.24,68.45,10685266
2019-10-30 04:00:00,68.37,68.37,67.27,67.74,10770760
2019-10-31 04:00:00,67.28,67.68,67.14,67.57,8061868
2019-11-01 04:00:00,68.39,69.605,68.31,69.595,11119253
2019-11-04 05:00:00,70.07,71.87,69.94,71.67,12910779
2019-11-05 05:00:00,72.04,73.12,71.85,73.09,12015280
2019-11-06 05:00:00,72.73,72.87,71.2,71.49,10079085
2019-11-07 05:00:00,72.03,73.03,72.0,73.0,10128561
2019-11-08 05:00:00,71.61,71.8,70.66,70.77,9835213
2019-11-11 05:00:00,70.21,70.61,69.97,70.31,7356178
2019-11-12 05:00:00,70.27,70.41,68.98,69.38,11179807
2019-11-13 05:00:00,69.02,69.15,68.6,68.76,8907853
2019-11-14 05:00:00,68.86,68.97,68.18,68.53,9029062
2019-11-15 05:00:00,68.71,69.3,68.67,69.17,9063114
2019-11-18 05:00:00,68.7,68.82,68.3,68.51,8138196
2019-11-19 05:00:00,68.4,68.56,67.78,67.83,7859864
2019-11-20 05:00:00,67.67,68.54,67.32,68.01,10752951
2019-11-21 05:00:00,68.02,69.75,67.92,69.66,10939999
2019-11-22 05:00:00,69.71,70.18,69.33,69.35,9062947
2019-11-25 05:00:00,69.37,69.44,68.7083,68.9,7620635
