date,open,high,low,close,volume
2019-09-27 04:00:00,6.03,6.055,5.8,5.83,16825737
2019-09-30 04:00:00,5.85,5.86,5.725,5.82,14555793
2019-10-01 04:00:00,5.82,5.89,5.755,5.78,15246070
2019-10-02 04:00:00,5.75,5.77,5.63,5.735,17484215
2019-10-03 04:00:00,5.74,5.83,5.7,5.815,12037812
2019-10-04 04:00:00,5.84,5.97,5.82,5.96,18757641
2019-10-07 04:00:00,5.93,6.02,5.84,5.995,24229822
2019-10-08 04:00:00,5.96,6.07,5.88,5.97,55450729
2019-10-09 04:00:00,6.01,6.16,5.96,6.13,33049154
2019-10-10 04:00:00,6.12,6.15,6.02,6.09,31510822
2019-10-11 04:00:00,6.14,6.2,6.1,6.1416,21333288
2019-10-14 04:00:00,6.15,6.17,6.04,6.085,23998373
2019-10-15 04:00:00,6.12,6.2,6.1,6.2,24135281
2019-10-16 04:00:00,6.17,6.23,6.12,6.19,35975824
2019-10-17 04:00:00,6.23,6.31,6.175,6.24,26689734
2019-10-18 04:00:00,6.24,6.275,6.12,6.23,37727440
2019-10-21 04:00:00,6.24,6.35,6.21,6.29,12488044
2019-10-22 04:00:00,6.28,6.3,6.125,6.14,14259568
2019-10-23 04:00:00,6.1,6.22,6.03,6.07,12145112
2019-10-24 04:00:00,6.11,6.16,6.07,6.16,13655663
2019-10-25 04:00:00,6.16,6.2,6.1,6.14,9928585
2019-10-28 04:00:00,6.15,6.24,6.07,6.16,12480612
2019-10-29 04:00:00,6.16,6.17,6.052,6.07,19123868
2019-10-30 04:00:00,6.12,6.23,6.07,6.2,20140112
2019-10-31 04:00:00,6.35,6.465,6.04,6.175,27532397
2019-11-01 04:00:00,6.21,6.42,6.17,6.35,20184837
2019-11-04 05:00:00,6.34,6.34,6.235,6.25,14330113
2019-11-05 05:00:00,6.28,6.32,6.2,6.295,17113077
2019-11-06 05:00:00,6.27,6.32,6.22,6.3,9776847
2019-11-07 05:00:00,6.29,6.34,6.22,6.24,9490258
2019-11-08 05:00:00,6.27,6.29,6.18,6.28,9171051
2019-11-11 05:00:00,6.24,6.31,6.23,6.305,7961531
2019-11-12 05:00:00,6.3,6.39,6.275,6.34,12446047
2019-11-13 05:00:00,6.31,6.39,6.3,6.31,7596861
2019-11-14 05:00:00,6.3,6.36,6.28,6.32,4442769
2019-11-15 05:00:00,6.35,6.35,6.26,6.27,7892459
2019-11-18 05:00:00,6.27,6.28,6.19,6.25,8013977
2019-11-19 05:00:00,6.29,6.32,6.19,6.3,11124112
2019-11-20 05:00:00,6.29,6.3,6.21,6.23,9281039
2019-11-21 05:00:00,6.23,6.27,6.06,6.09,12136082
2019-11-22 05:00:00,6.1,6.1,6.04,6.095,8988117
2019-11-25 05:00:00,6.1,6.29,6.05,6.275,36429687
2019-11-26 05:00:00,6.26,6.28,6.2,6.25,10998919
2019-11-27 05:00:00,6.26,6.285,6.2,6.21,9241646
2019-11-29 05:00:00,6.22,6.275,6.16,6.22,4600849
2019-12-02 05:00:00,6.21,6.23,6.13,6.17,10437903
2019-12-03 05:00:00,6.15,6.17,6.11,6.14,10418029
2019-12-04 05:00:00,6.18,6.24,6.16,6.21,9567911
2019-12-05 05:00:00,6.25,6.29,6.19,6.24,6669269
2019-12-06 05:00:00,6.25,6.28,6.21,6.215,5720902
2019-12-09 05:00:00,6.24,6.26,6.12,6.16,8529850
2019-12-10 05:00:00,6.14,6.19,6.1,6.125,8534902
2019-12-11 05:00:00,6.13,6.15,6.03,6.14,12819755
2019-12-12 05:00:00,6.13,6.24,6.105,6.2,12384722
2019-12-13 05:00:00,6.23,6.2751,6.17,6.22,11017418
2019-12-16 05:00:00,6.22,6.32,6.21,6.27,6588800
2019-12-17 05:00:00,6.27,6.31,6.23,6.27,8640219
2019-12-18 05:00:00,6.26,6.3,6.22,6.275,7169647
2019-12-19 05:00:00,6.26,6.3,6.23,6.265,5880445
2019-12-20 05:00:00,6.28,6.295,6.11,6.255,20709392
2019-12-23 05:00:00,6.24,6.34,6.2,6.28,7142269
2019-12-24 05:00:00,6.28,6.33,6.25,6.32,3039347
2019-12-26 05:00:00,6.33,6.38,6.29,6.29,7372637
2019-12-27 05:00:00,6.35,6.35,6.22,6.25,6124390
2019-12-30 05:00:00,6.29,6.29,6.05,6.14,10873470
2019-12-31 05:00:00,6.16,6.175,6.11,6.12,9205683
2020-01-02 05:00:00,6.19,6.2,6.12,6.145,15869800
2020-01-03 05:00:00,6.12,6.23,6.11,6.23,9712794
2020-01-06 05:00:00,6.14,6.32,6.14,6.28,16982264
2020-01-07 05:00:00,6.33,6.5,6.31,6.49,22487249
2020-01-08 05:00:00,6.48,6.62,6.46,6.6,17494943
2020-01-09 05:00:00,6.66,6.78,6.66,6.7,14142354
2020-01-10 05:00:00,6.71,6.795,6.6,6.615,17210002
2020-01-13 05:00:00,6.66,6.8,6.61,6.77,9307187
2020-01-14 05:00:00,6.78,6.81,6.7,6.755,8051338
2020-01-15 05:00:00,6.86,6.92,6.79,6.85,12133828
2020-01-16 05:00:00,6.88,6.905,6.8,6.82,15773764
2020-01-17 05:00:00,6.83,6.84,6.63,6.67,22531095
2020-01-21 05:00:00,6.67,6.71,6.58,6.63,41721152
2020-01-22 05:00:00,6.65,6.66,6.5,6.515,26521932
2020-01-23 05:00:00,6.53,6.54,6.385,6.395,45196778
2020-01-24 05:00:00,6.41,6.425,6.09,6.1,65350948
2020-01-27 05:00:00,6.05,6.06,5.9,5.93,20574658
2020-01-28 05:00:00,5.98,6.19,5.94,6.08,23683296
2020-01-29 05:00:00,6.108,6.15,6.03,6.06,17263735
2020-01-30 05:00:00,6.06,6.13,6.01,6.08,20990561
2020-01-31 05:00:00,6.07,6.1,5.97,6.01,25412070
